id,origin,destination,demand,release_time,deadline,arc_list,node_list
k_0,node_19,node_13,74,51,108,"['e_180', 'e_133', 'e_11']","['node_19', 'node_7', 'node_9', 'node_13']"
k_1,node_5,node_1,61,54,122,"['e_125', 'e_18', 'e_132']","['node_5', 'node_15', 'node_6', 'node_1']"
k_2,node_18,node_17,46,43,90,['e_59'],"['node_18', 'node_17']"
k_3,node_9,node_6,90,53,116,"['e_11', 'e_100', 'e_80']","['node_9', 'node_13', 'node_10', 'node_6']"
k_4,node_0,node_11,38,45,83,"['e_41', 'e_100', 'e_6']","['node_0', 'node_13', 'node_10', 'node_11']"
k_5,node_19,node_18,85,53,99,"['e_180', 'e_133', 'e_7']","['node_19', 'node_7', 'node_9', 'node_18']"
k_6,node_6,node_11,74,44,93,"['e_132', 'e_50', 'e_24']","['node_6', 'node_1', 'node_2', 'node_11']"
k_7,node_12,node_5,47,43,127,"['e_172', 'e_190']","['node_12', 'node_3', 'node_5']"
k_8,node_4,node_3,41,38,92,['e_208'],"['node_4', 'node_3']"
k_9,node_12,node_8,79,42,140,"['e_172', 'e_190', 'e_87']","['node_12', 'node_3', 'node_5', 'node_8']"
k_10,node_5,node_16,63,48,119,"['e_66', 'e_23', 'e_41', 'e_31']","['node_5', 'node_11', 'node_0', 'node_13', 'node_16']"
k_11,node_15,node_12,4,29,99,"['e_214', 'e_51', 'e_6', 'e_23', 'e_9']","['node_15', 'node_3', 'node_10', 'node_11', 'node_0', 'node_12']"
k_12,node_5,node_7,77,63,148,"['e_66', 'e_23', 'e_9', 'e_181']","['node_5', 'node_11', 'node_0', 'node_12', 'node_7']"
k_13,node_9,node_14,85,40,86,"['e_11', 'e_100', 'e_103']","['node_9', 'node_13', 'node_10', 'node_14']"
k_14,node_16,node_4,48,41,148,"['e_85', 'e_133', 'e_7', 'e_40']","['node_16', 'node_7', 'node_9', 'node_18', 'node_4']"
k_15,node_3,node_16,77,60,143,"['e_51', 'e_6', 'e_23', 'e_41', 'e_31']","['node_3', 'node_10', 'node_11', 'node_0', 'node_13', 'node_16']"
k_16,node_10,node_11,19,50,67,['e_6'],"['node_10', 'node_11']"
k_17,node_13,node_3,53,42,72,['e_199'],"['node_13', 'node_3']"
k_18,node_6,node_12,71,46,92,"['e_132', 'e_55']","['node_6', 'node_1', 'node_12']"
k_19,node_2,node_10,25,46,97,"['e_24', 'e_23', 'e_41', 'e_100']","['node_2', 'node_11', 'node_0', 'node_13', 'node_10']"
k_20,node_5,node_7,73,36,122,"['e_66', 'e_23', 'e_9', 'e_181']","['node_5', 'node_11', 'node_0', 'node_12', 'node_7']"
k_21,node_0,node_6,47,42,99,"['e_41', 'e_100', 'e_80']","['node_0', 'node_13', 'node_10', 'node_6']"
k_22,node_10,node_12,75,48,78,"['e_6', 'e_23', 'e_9']","['node_10', 'node_11', 'node_0', 'node_12']"
k_23,node_18,node_7,40,52,122,['e_196'],"['node_18', 'node_7']"
k_24,node_14,node_7,67,52,148,"['e_75', 'e_24', 'e_23', 'e_9', 'e_181']","['node_14', 'node_2', 'node_11', 'node_0', 'node_12', 'node_7']"
k_25,node_15,node_5,21,49,113,"['e_129', 'e_229']","['node_15', 'node_8', 'node_5']"
k_26,node_2,node_7,53,55,132,"['e_24', 'e_23', 'e_9', 'e_181']","['node_2', 'node_11', 'node_0', 'node_12', 'node_7']"
k_27,node_3,node_12,65,35,87,"['e_51', 'e_6', 'e_23', 'e_9']","['node_3', 'node_10', 'node_11', 'node_0', 'node_12']"
k_28,node_19,node_16,3,61,102,"['e_180', 'e_152']","['node_19', 'node_7', 'node_16']"
k_29,node_12,node_15,44,44,131,"['e_220', 'e_37', 'e_110']","['node_12', 'node_17', 'node_19', 'node_15']"
k_30,node_16,node_19,94,49,136,"['e_207', 'e_37']","['node_16', 'node_17', 'node_19']"
k_31,node_2,node_4,79,43,133,"['e_24', 'e_23', 'e_41', 'e_100', 'e_80', 'e_160']","['node_2', 'node_11', 'node_0', 'node_13', 'node_10', 'node_6', 'node_4']"
k_32,node_16,node_2,76,48,109,['e_153'],"['node_16', 'node_2']"
k_33,node_15,node_0,22,37,97,"['e_214', 'e_51', 'e_6', 'e_23']","['node_15', 'node_3', 'node_10', 'node_11', 'node_0']"
k_34,node_7,node_4,95,34,103,"['e_133', 'e_7', 'e_40']","['node_7', 'node_9', 'node_18', 'node_4']"
k_35,node_7,node_4,20,46,121,"['e_133', 'e_7', 'e_40']","['node_7', 'node_9', 'node_18', 'node_4']"
k_36,node_17,node_18,66,53,117,['e_44'],"['node_17', 'node_18']"
k_37,node_9,node_18,64,40,65,['e_7'],"['node_9', 'node_18']"
k_38,node_9,node_13,7,47,84,['e_11'],"['node_9', 'node_13']"
k_39,node_8,node_13,20,43,89,"['e_229', 'e_66', 'e_23', 'e_41']","['node_8', 'node_5', 'node_11', 'node_0', 'node_13']"
k_40,node_2,node_7,31,39,124,"['e_24', 'e_23', 'e_9', 'e_181']","['node_2', 'node_11', 'node_0', 'node_12', 'node_7']"
k_41,node_16,node_7,12,38,88,['e_85'],"['node_16', 'node_7']"
k_42,node_13,node_3,98,51,84,['e_199'],"['node_13', 'node_3']"
k_43,node_18,node_1,99,41,135,"['e_135', 'e_51', 'e_80', 'e_132']","['node_18', 'node_3', 'node_10', 'node_6', 'node_1']"
k_44,node_4,node_19,75,56,114,['e_123'],"['node_4', 'node_19']"
k_45,node_19,node_17,51,32,81,['e_58'],"['node_19', 'node_17']"
k_46,node_7,node_8,15,51,158,"['e_152', 'e_56', 'e_87']","['node_7', 'node_16', 'node_5', 'node_8']"
k_47,node_7,node_13,63,47,82,"['e_133', 'e_11']","['node_7', 'node_9', 'node_13']"
k_48,node_8,node_1,92,27,92,"['e_229', 'e_125', 'e_18', 'e_132']","['node_8', 'node_5', 'node_15', 'node_6', 'node_1']"
k_49,node_6,node_14,75,49,113,"['e_132', 'e_213']","['node_6', 'node_1', 'node_14']"
k_50,node_12,node_13,38,54,118,"['e_172', 'e_51', 'e_6', 'e_23', 'e_41']","['node_12', 'node_3', 'node_10', 'node_11', 'node_0', 'node_13']"
k_51,node_18,node_11,41,46,110,"['e_135', 'e_51', 'e_6']","['node_18', 'node_3', 'node_10', 'node_11']"
k_52,node_18,node_1,63,42,141,"['e_135', 'e_51', 'e_80', 'e_132']","['node_18', 'node_3', 'node_10', 'node_6', 'node_1']"
k_53,node_18,node_4,28,42,102,['e_40'],"['node_18', 'node_4']"
k_54,node_13,node_4,49,43,108,"['e_100', 'e_80', 'e_160']","['node_13', 'node_10', 'node_6', 'node_4']"
k_55,node_13,node_2,29,52,92,"['e_100', 'e_103', 'e_75']","['node_13', 'node_10', 'node_14', 'node_2']"
k_56,node_3,node_15,61,49,137,"['e_190', 'e_125']","['node_3', 'node_5', 'node_15']"
k_57,node_18,node_10,49,50,114,"['e_135', 'e_51']","['node_18', 'node_3', 'node_10']"
k_58,node_13,node_12,99,51,88,"['e_100', 'e_6', 'e_23', 'e_9']","['node_13', 'node_10', 'node_11', 'node_0', 'node_12']"
k_59,node_9,node_14,84,48,97,"['e_11', 'e_100', 'e_103']","['node_9', 'node_13', 'node_10', 'node_14']"
k_60,node_11,node_1,96,40,115,"['e_23', 'e_41', 'e_100', 'e_80', 'e_132']","['node_11', 'node_0', 'node_13', 'node_10', 'node_6', 'node_1']"
k_61,node_5,node_9,61,45,111,"['e_66', 'e_206']","['node_5', 'node_11', 'node_9']"
k_62,node_5,node_2,73,50,92,['e_60'],"['node_5', 'node_2']"
k_63,node_6,node_3,34,43,98,"['e_132', 'e_55', 'e_172']","['node_6', 'node_1', 'node_12', 'node_3']"
k_64,node_16,node_8,61,53,144,"['e_56', 'e_87']","['node_16', 'node_5', 'node_8']"
k_65,node_9,node_1,60,57,131,"['e_11', 'e_100', 'e_80', 'e_132']","['node_9', 'node_13', 'node_10', 'node_6', 'node_1']"
k_66,node_14,node_5,78,54,135,"['e_154', 'e_190']","['node_14', 'node_3', 'node_5']"
k_67,node_8,node_4,25,46,121,"['e_229', 'e_125', 'e_18', 'e_160']","['node_8', 'node_5', 'node_15', 'node_6', 'node_4']"
k_68,node_3,node_10,88,46,94,['e_51'],"['node_3', 'node_10']"
k_69,node_2,node_9,58,39,96,"['e_24', 'e_206']","['node_2', 'node_11', 'node_9']"
k_70,node_0,node_18,29,63,96,"['e_41', 'e_218']","['node_0', 'node_13', 'node_18']"
k_71,node_6,node_3,83,45,96,"['e_132', 'e_55', 'e_172']","['node_6', 'node_1', 'node_12', 'node_3']"
k_72,node_3,node_6,52,49,108,"['e_51', 'e_80']","['node_3', 'node_10', 'node_6']"
k_73,node_2,node_9,29,33,90,"['e_24', 'e_206']","['node_2', 'node_11', 'node_9']"
k_74,node_3,node_13,63,53,114,"['e_51', 'e_6', 'e_23', 'e_41']","['node_3', 'node_10', 'node_11', 'node_0', 'node_13']"
k_75,node_14,node_13,97,55,114,"['e_75', 'e_24', 'e_23', 'e_41']","['node_14', 'node_2', 'node_11', 'node_0', 'node_13']"
k_76,node_3,node_0,38,49,91,"['e_51', 'e_6', 'e_23']","['node_3', 'node_10', 'node_11', 'node_0']"
k_77,node_7,node_10,78,52,101,"['e_133', 'e_11', 'e_100']","['node_7', 'node_9', 'node_13', 'node_10']"
k_78,node_17,node_16,81,59,144,"['e_37', 'e_180', 'e_152']","['node_17', 'node_19', 'node_7', 'node_16']"
k_79,node_5,node_14,11,49,104,"['e_177', 'e_51', 'e_103']","['node_5', 'node_3', 'node_10', 'node_14']"
k_80,node_3,node_2,25,58,121,"['e_51', 'e_103', 'e_75']","['node_3', 'node_10', 'node_14', 'node_2']"
k_81,node_5,node_3,65,49,73,['e_177'],"['node_5', 'node_3']"
k_82,node_13,node_2,31,45,90,"['e_100', 'e_103', 'e_75']","['node_13', 'node_10', 'node_14', 'node_2']"
k_83,node_11,node_6,83,37,95,"['e_23', 'e_41', 'e_100', 'e_80']","['node_11', 'node_0', 'node_13', 'node_10', 'node_6']"
k_84,node_11,node_9,20,57,105,['e_206'],"['node_11', 'node_9']"
k_85,node_9,node_0,64,44,92,"['e_11', 'e_100', 'e_6', 'e_23']","['node_9', 'node_13', 'node_10', 'node_11', 'node_0']"
k_86,node_19,node_4,89,49,101,['e_29'],"['node_19', 'node_4']"
k_87,node_10,node_7,6,53,127,"['e_80', 'e_132', 'e_70', 'e_180']","['node_10', 'node_6', 'node_1', 'node_19', 'node_7']"
k_88,node_1,node_10,76,47,106,"['e_50', 'e_24', 'e_23', 'e_41', 'e_100']","['node_1', 'node_2', 'node_11', 'node_0', 'node_13', 'node_10']"
k_89,node_12,node_2,62,54,118,"['e_172', 'e_51', 'e_103', 'e_75']","['node_12', 'node_3', 'node_10', 'node_14', 'node_2']"
k_90,node_11,node_15,9,48,110,['e_167'],"['node_11', 'node_15']"
k_91,node_9,node_18,74,53,76,['e_7'],"['node_9', 'node_18']"
k_92,node_16,node_19,53,48,142,"['e_207', 'e_37']","['node_16', 'node_17', 'node_19']"
k_93,node_19,node_11,27,48,101,"['e_145', 'e_66']","['node_19', 'node_5', 'node_11']"
k_94,node_8,node_14,66,50,108,"['e_229', 'e_177', 'e_51', 'e_103']","['node_8', 'node_5', 'node_3', 'node_10', 'node_14']"
k_95,node_16,node_6,25,41,145,"['e_85', 'e_133', 'e_11', 'e_100', 'e_80']","['node_16', 'node_7', 'node_9', 'node_13', 'node_10', 'node_6']"
k_96,node_14,node_16,92,40,117,"['e_75', 'e_104']","['node_14', 'node_2', 'node_16']"
k_97,node_19,node_11,48,36,93,"['e_145', 'e_66']","['node_19', 'node_5', 'node_11']"
k_98,node_3,node_10,52,42,82,['e_51'],"['node_3', 'node_10']"
k_99,node_19,node_11,48,44,100,"['e_145', 'e_66']","['node_19', 'node_5', 'node_11']"
k_100,node_13,node_19,81,53,120,"['e_100', 'e_80', 'e_132', 'e_70']","['node_13', 'node_10', 'node_6', 'node_1', 'node_19']"
k_101,node_8,node_12,60,40,76,"['e_229', 'e_66', 'e_23', 'e_9']","['node_8', 'node_5', 'node_11', 'node_0', 'node_12']"
