id,origin,destination,demand,release_time,deadline,arc_list,node_list
k_0,node_19,node_13,74,44,90,"['e_180', 'e_133', 'e_11']","['node_19', 'node_7', 'node_9', 'node_13']"
k_1,node_5,node_1,61,44,104,"['e_125', 'e_18', 'e_132']","['node_5', 'node_15', 'node_6', 'node_1']"
k_2,node_18,node_17,46,42,79,['e_59'],"['node_18', 'node_17']"
k_3,node_9,node_6,90,47,106,"['e_11', 'e_100', 'e_80']","['node_9', 'node_13', 'node_10', 'node_6']"
k_4,node_0,node_11,38,47,83,"['e_41', 'e_100', 'e_6']","['node_0', 'node_13', 'node_10', 'node_11']"
k_5,node_19,node_18,85,38,78,"['e_180', 'e_133', 'e_7']","['node_19', 'node_7', 'node_9', 'node_18']"
k_6,node_6,node_11,74,49,92,"['e_132', 'e_50', 'e_24']","['node_6', 'node_1', 'node_2', 'node_11']"
k_7,node_12,node_5,47,46,122,"['e_172', 'e_190']","['node_12', 'node_3', 'node_5']"
k_8,node_4,node_3,41,45,96,['e_208'],"['node_4', 'node_3']"
k_9,node_12,node_8,79,46,146,"['e_172', 'e_190', 'e_87']","['node_12', 'node_3', 'node_5', 'node_8']"
k_10,node_5,node_16,63,41,103,"['e_66', 'e_23', 'e_41', 'e_31']","['node_5', 'node_11', 'node_0', 'node_13', 'node_16']"
k_11,node_15,node_12,4,40,99,"['e_214', 'e_51', 'e_6', 'e_23', 'e_9']","['node_15', 'node_3', 'node_10', 'node_11', 'node_0', 'node_12']"
k_12,node_5,node_7,77,47,127,"['e_66', 'e_23', 'e_9', 'e_181']","['node_5', 'node_11', 'node_0', 'node_12', 'node_7']"
k_13,node_9,node_14,85,43,84,"['e_11', 'e_100', 'e_103']","['node_9', 'node_13', 'node_10', 'node_14']"
k_14,node_16,node_4,48,42,146,"['e_85', 'e_133', 'e_7', 'e_40']","['node_16', 'node_7', 'node_9', 'node_18', 'node_4']"
k_15,node_3,node_16,77,44,126,"['e_51', 'e_6', 'e_23', 'e_41', 'e_31']","['node_3', 'node_10', 'node_11', 'node_0', 'node_13', 'node_16']"
k_16,node_10,node_11,19,39,53,['e_6'],"['node_10', 'node_11']"
k_17,node_13,node_3,53,43,70,['e_199'],"['node_13', 'node_3']"
k_18,node_6,node_12,71,42,86,"['e_132', 'e_55']","['node_6', 'node_1', 'node_12']"
k_19,node_2,node_10,25,44,91,"['e_24', 'e_23', 'e_41', 'e_100']","['node_2', 'node_11', 'node_0', 'node_13', 'node_10']"
k_20,node_5,node_7,73,44,124,"['e_66', 'e_23', 'e_9', 'e_181']","['node_5', 'node_11', 'node_0', 'node_12', 'node_7']"
k_21,node_0,node_6,47,42,93,"['e_41', 'e_100', 'e_80']","['node_0', 'node_13', 'node_10', 'node_6']"
k_22,node_10,node_12,75,39,61,"['e_6', 'e_23', 'e_9']","['node_10', 'node_11', 'node_0', 'node_12']"
k_23,node_18,node_7,40,45,110,['e_196'],"['node_18', 'node_7']"
