commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_5,e_6,e_7,e_8,e_9
k_0,93,31,40,18,62,17,20,91,71,79,26,57,67,28,31,13,56,39,40,54,30,91,29,70,37,79,40,10,27,97,59,81,29,16,3,86,21,27,34,79,84,90,33,33,91
k_1,72,94,40,12,41,41,61,75,86,86,7,90,29,93,53,47,6,26,83,37,56,1,58,49,10,91,68,94,15,17,17,41,94,1,83,76,9,92,2,68,96,92,60,50,69
k_2,23,82,88,59,13,92,34,90,6,36,58,16,99,56,80,99,4,94,73,88,4,22,64,22,36,27,95,86,80,47,57,61,32,76,85,40,38,83,96,34,47,41,51,82,47
k_3,82,20,2,9,68,37,90,100,62,60,60,2,66,58,3,17,83,19,51,29,14,22,96,5,21,90,23,93,70,74,82,90,98,17,92,41,47,2,33,53,18,78,33,88,6
k_4,51,47,23,68,5,7,79,40,84,81,37,42,32,51,21,12,97,2,43,73,29,39,78,71,81,85,84,38,23,40,36,57,1,7,89,56,27,39,71,57,64,24,42,29,68
k_5,99,24,7,60,70,61,78,65,98,78,33,27,35,6,8,99,6,68,29,58,53,70,5,79,3,13,90,14,30,78,34,41,49,65,88,8,3,63,55,99,69,91,21,47,34
k_6,56,79,76,64,74,96,10,1,38,71,40,22,5,17,9,98,61,32,9,42,88,71,44,46,38,82,36,48,94,15,43,57,83,71,12,51,64,51,82,56,83,13,83,85,48
k_7,4,99,81,79,93,32,24,86,77,87,44,83,29,63,64,41,90,52,91,53,53,72,4,58,93,69,39,56,52,25,42,2,7,66,49,55,18,48,26,59,66,26,6,25,2
k_8,35,76,60,13,79,41,86,9,86,53,66,60,29,80,70,32,31,65,94,89,91,61,84,71,51,60,97,94,76,43,29,49,30,53,37,32,50,4,73,46,2,94,75,33,83
k_9,84,17,18,80,32,55,37,73,20,7,15,81,47,58,45,79,27,50,60,12,92,88,1,13,32,78,78,40,9,67,7,4,44,6,52,8,68,36,84,1,46,55,96,11,43
