commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_60,e_61,e_62,e_63,e_64,e_65,e_66,e_67,e_68,e_69,e_7,e_8,e_9
k_0,23,45,30,91,81,16,10,72,100,4,30,67,74,4,46,58,27,37,45,37,56,27,100,17,75,48,53,59,61,53,61,5,6,20,33,51,54,38,89,89,57,27,58,15,26,84,78,4,84,16,65,7,66,80,69,65,79,91,87,93,58,96,84,44,100,18,23,16,75,98
k_1,92,54,91,57,49,21,53,91,75,86,22,3,67,8,11,53,31,95,33,49,59,60,58,99,44,76,55,27,7,61,37,90,10,14,90,91,55,98,10,1,89,23,61,77,90,46,58,40,25,38,22,49,73,44,93,57,40,30,1,82,26,37,52,5,21,19,32,60,89,34
k_2,52,14,81,36,5,11,33,17,95,44,85,18,18,39,49,6,62,78,58,84,33,74,50,60,10,88,39,40,17,91,19,15,52,38,57,22,58,49,67,92,18,22,52,33,25,6,40,53,26,61,68,83,60,79,13,91,63,92,57,68,66,39,85,88,64,86,93,6,64,26
k_3,83,7,74,2,58,43,59,50,84,1,36,7,95,1,2,45,41,28,96,95,34,95,95,7,71,76,6,13,14,48,43,29,100,60,26,15,52,24,47,38,3,73,94,77,88,5,72,24,9,19,4,69,57,62,22,73,11,94,99,2,10,59,5,40,99,57,24,51,50,93
k_4,65,100,98,91,77,79,28,81,14,27,76,33,86,35,23,55,58,72,56,27,74,20,16,21,95,60,14,59,14,97,42,50,91,72,31,65,90,45,68,43,21,28,3,92,8,66,26,55,3,68,44,15,3,2,43,93,44,92,52,69,54,8,21,33,41,82,25,6,36,84
k_5,35,12,6,9,27,96,29,5,16,50,43,8,69,41,13,93,55,74,1,60,36,24,96,34,93,64,72,38,70,47,85,62,79,54,61,38,1,55,53,77,28,96,17,48,53,80,59,53,46,63,88,86,90,51,95,85,48,44,37,61,53,14,1,86,64,69,70,39,54,45
k_6,1,60,6,59,46,88,29,68,63,15,58,31,92,51,52,29,38,75,53,48,3,45,68,53,88,27,53,20,30,40,70,71,30,46,14,50,18,52,95,62,41,35,65,44,49,70,84,8,81,63,57,77,12,76,74,82,30,61,3,99,1,21,55,7,53,47,91,41,95,3
k_7,52,50,22,95,37,41,76,7,90,70,46,10,54,23,28,12,67,85,33,10,92,78,94,44,54,90,33,34,82,42,51,39,81,98,70,94,15,91,40,37,41,88,53,68,8,75,28,60,74,71,98,90,64,29,46,34,10,59,18,75,29,28,88,6,81,15,95,72,97,93
k_8,17,15,57,22,41,17,72,90,42,79,51,16,29,50,55,13,18,80,38,28,41,58,97,21,98,38,47,31,3,16,34,35,29,32,11,40,43,25,37,10,70,31,60,16,34,3,99,71,8,43,12,94,57,5,55,79,36,58,71,49,4,95,42,72,91,5,41,60,99,71
k_9,76,67,76,65,6,44,30,47,3,47,61,8,57,52,98,23,34,37,60,40,65,41,46,36,79,42,91,79,91,36,72,73,100,2,100,43,56,19,95,35,90,3,31,63,67,22,9,73,25,56,62,91,100,68,28,50,69,66,71,78,74,76,12,96,42,54,51,75,37,90
k_10,50,29,23,26,44,12,53,37,97,13,5,89,66,86,28,84,20,65,95,10,82,16,89,48,69,83,23,93,53,13,57,54,46,35,77,71,47,75,90,92,28,71,41,22,25,34,66,1,31,68,32,81,12,85,17,10,16,33,43,57,62,88,10,19,29,28,56,62,54,14
k_11,99,46,58,74,92,87,57,42,27,4,7,14,29,8,54,46,42,15,49,45,53,20,26,5,89,90,62,34,54,36,42,4,15,92,2,66,49,18,51,30,11,89,68,90,40,53,42,95,93,61,41,6,70,91,68,9,55,43,52,71,48,84,71,31,71,13,63,51,22,15
k_12,61,9,40,90,95,52,63,70,87,67,28,40,70,2,83,73,34,90,14,17,94,13,91,43,76,72,61,93,36,18,39,20,94,94,77,85,57,9,16,40,67,77,8,86,65,9,86,95,14,13,83,35,85,78,30,2,17,61,95,58,50,55,27,5,62,61,59,83,14,92
k_13,94,88,1,73,93,100,19,26,42,76,78,76,70,69,7,84,83,34,41,45,30,45,54,1,17,99,24,77,93,21,56,37,53,75,72,48,98,61,54,50,6,14,93,19,29,25,91,22,36,35,73,24,78,63,4,67,58,79,63,59,16,25,63,26,62,12,71,64,81,97
k_14,25,38,99,43,9,12,82,79,91,23,68,46,91,35,90,46,38,72,35,91,88,15,3,70,19,74,60,34,56,74,63,86,31,67,8,77,86,21,20,74,6,7,3,66,43,7,66,94,96,34,45,33,99,34,51,14,4,34,53,48,86,23,40,73,52,16,50,35,84,64
k_15,70,49,54,19,48,19,37,6,98,59,52,40,22,20,14,17,1,83,95,53,67,67,75,54,19,62,18,45,44,98,35,29,4,99,96,1,89,91,88,67,28,74,92,35,68,45,97,72,63,97,80,12,5,61,27,7,58,63,52,77,5,37,34,93,46,95,77,28,81,22
k_16,87,87,6,23,57,35,4,64,75,78,55,30,59,54,58,19,35,37,67,24,23,60,91,63,91,28,43,63,36,24,78,27,33,33,34,52,89,27,19,30,45,78,30,73,42,54,69,13,58,44,6,40,72,19,72,45,12,13,67,79,92,13,99,52,83,10,98,39,88,34
k_17,100,37,85,18,71,26,23,95,76,54,88,95,21,22,55,8,77,55,61,64,19,13,42,88,20,32,85,56,55,95,23,69,98,31,45,55,51,83,36,94,44,81,54,88,89,78,49,53,25,52,13,11,11,63,13,49,71,65,10,94,55,45,6,14,51,48,68,79,99,84
