commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_60,e_61,e_62,e_63,e_64,e_65,e_66,e_67,e_68,e_69,e_7,e_70,e_71,e_72,e_73,e_74,e_75,e_76,e_77,e_78,e_79,e_8,e_80,e_81,e_82,e_83,e_84,e_85,e_86,e_87,e_88,e_89,e_9,e_90,e_91,e_92,e_93,e_94
k_0,3,85,74,74,92,82,65,39,85,80,65,74,1,77,50,93,64,15,7,25,45,6,68,77,75,13,100,48,16,53,75,28,63,90,31,48,88,68,86,36,69,95,79,33,85,49,94,15,99,47,3,54,28,87,17,8,93,54,78,65,16,26,11,91,90,31,29,30,68,62,32,61,71,37,10,4,73,69,75,87,59,89,21,41,78,91,12,29,38,17,10,8,78,54,67
k_1,83,8,2,13,33,68,57,23,59,26,80,56,65,23,13,40,96,39,32,52,21,4,47,82,64,27,92,26,60,68,23,32,84,21,92,38,3,16,89,44,53,8,47,7,86,45,37,74,95,75,55,39,29,19,19,12,25,75,19,53,11,66,99,77,59,78,89,65,89,20,16,85,90,49,99,44,20,43,4,60,54,80,58,16,34,75,31,5,100,91,16,64,86,45,34
k_2,62,53,17,15,14,62,51,28,64,58,2,20,23,99,85,55,66,82,35,80,76,27,76,64,37,91,66,7,77,21,21,63,16,17,76,22,52,82,5,59,37,56,66,7,94,73,18,90,31,53,41,25,73,79,23,100,82,48,96,5,20,88,15,64,16,85,42,41,66,12,8,1,100,76,36,47,96,21,75,92,79,8,52,74,75,90,37,55,39,94,18,53,55,34,37
k_3,47,41,47,46,94,12,25,63,93,64,51,49,1,4,46,7,73,57,27,90,46,16,68,94,19,71,13,37,59,30,57,82,79,3,96,98,64,60,64,34,14,56,83,100,30,100,64,72,88,21,33,93,86,99,7,82,95,76,58,71,57,56,58,47,89,100,69,21,41,81,40,53,34,6,10,88,55,43,62,26,57,94,65,68,29,9,4,75,98,60,23,4,68,25,98
k_4,59,32,37,97,45,36,7,94,94,88,49,1,33,44,62,32,100,40,41,49,41,60,54,90,27,85,7,26,13,27,35,23,21,52,54,55,27,90,93,6,11,23,12,23,44,35,35,34,19,1,11,50,97,6,51,12,27,36,62,9,58,55,30,31,97,78,52,97,5,99,51,37,41,98,52,32,65,2,47,18,30,99,92,29,48,80,1,2,85,61,99,33,77,18,40
k_5,72,12,79,96,71,52,96,12,11,99,53,84,72,83,4,3,22,2,1,38,39,82,30,33,100,38,84,39,4,92,79,69,84,92,45,47,52,30,93,66,63,10,22,46,99,26,85,39,17,43,5,60,68,97,53,64,63,34,77,12,73,87,78,11,55,39,28,75,54,68,22,39,100,68,30,66,54,87,64,47,83,29,2,56,53,14,3,93,8,40,14,1,26,80,80
k_6,56,82,46,48,70,84,29,63,39,93,13,72,18,78,47,28,60,83,53,75,37,45,78,11,14,59,14,64,8,19,14,22,17,44,19,43,52,46,98,87,62,16,92,74,8,39,37,94,65,71,63,93,97,94,79,37,13,18,30,35,25,76,50,39,29,64,3,85,47,89,14,74,68,19,74,90,82,5,74,73,98,46,68,98,67,63,89,27,78,38,3,17,86,53,14
k_7,25,63,35,83,88,18,95,19,16,23,83,89,88,61,47,57,53,8,35,59,61,88,60,74,41,97,46,60,57,34,62,98,66,78,87,56,91,90,32,49,21,93,33,93,12,98,36,66,88,50,33,67,39,17,33,47,48,9,14,91,11,17,16,30,13,56,61,63,5,68,96,48,99,18,42,30,6,86,12,79,57,7,61,88,44,56,1,68,70,67,38,36,6,5,61
k_8,58,81,37,61,99,7,87,48,62,66,87,31,32,48,25,82,71,42,28,60,34,58,47,72,20,11,54,76,13,8,45,32,87,85,74,65,3,22,70,20,10,64,96,48,82,23,6,100,43,12,90,74,20,15,40,23,70,88,4,46,38,26,56,15,37,5,80,97,87,78,79,10,28,32,3,88,46,99,42,68,81,6,80,65,75,93,61,86,41,89,90,1,94,21,89
k_9,6,51,53,1,12,72,2,90,16,9,93,70,36,64,87,50,20,26,85,50,64,31,77,27,76,74,84,95,14,84,19,38,19,96,34,16,6,81,37,83,4,79,46,24,27,3,47,66,56,62,24,85,61,4,80,33,13,48,51,59,90,96,22,61,83,61,57,81,67,33,38,4,18,40,62,86,52,6,81,25,97,38,59,89,70,95,83,58,61,44,67,55,15,72,54
k_10,100,13,40,12,61,22,26,4,50,19,63,93,72,83,48,24,75,76,69,80,56,36,48,97,66,18,59,85,4,15,82,79,11,69,66,34,60,76,45,14,69,11,30,52,93,93,41,90,49,56,18,76,11,68,16,65,50,21,73,24,4,88,57,59,19,7,28,60,58,68,80,91,45,7,93,89,51,59,94,15,40,3,55,63,27,27,99,4,58,27,1,33,66,80,32
k_11,88,53,35,74,75,10,95,78,98,76,18,58,6,27,69,78,44,27,12,20,81,90,35,27,81,1,93,39,61,88,36,85,85,7,24,79,34,68,93,24,46,89,5,19,39,29,61,52,4,44,15,34,37,51,62,52,71,100,61,88,96,9,4,26,75,62,93,60,50,57,15,62,10,65,53,38,18,89,59,53,94,64,69,50,2,57,52,43,89,24,98,42,77,91,15
k_12,25,5,10,47,100,19,51,60,19,56,15,92,74,56,81,3,81,62,26,64,18,63,68,57,64,50,96,89,29,8,38,64,73,75,96,69,76,41,52,100,55,46,45,45,18,10,22,57,51,66,17,52,6,75,34,18,95,66,47,78,29,15,73,79,71,17,47,98,14,44,83,91,40,48,53,54,92,68,74,66,30,47,63,98,2,46,68,97,34,33,93,49,31,23,5
k_13,58,11,58,38,26,1,31,1,96,63,64,31,77,13,45,33,57,58,89,88,11,89,41,71,86,67,95,79,57,15,31,34,53,71,79,8,21,4,19,9,54,100,6,61,41,75,27,9,52,25,79,76,56,33,71,50,44,78,98,85,33,33,52,32,36,68,79,23,78,98,51,53,9,97,39,24,53,45,36,73,77,58,22,3,14,73,15,15,82,93,53,26,18,66,16
k_14,38,67,61,28,55,92,44,31,4,45,46,57,86,46,37,47,54,88,18,35,13,4,80,28,9,76,14,10,25,7,35,91,5,4,84,1,84,65,83,95,90,94,55,15,68,38,31,81,37,23,55,6,7,39,96,23,8,94,91,26,33,76,49,9,34,52,4,96,35,50,69,96,53,95,76,23,1,23,71,28,1,38,54,54,51,96,78,65,44,51,4,72,12,91,33
k_15,89,67,51,41,44,25,58,89,21,5,37,69,63,47,84,79,51,89,30,74,25,75,74,99,71,95,80,66,58,55,66,61,32,92,60,69,3,83,37,15,17,78,69,92,36,23,5,91,90,45,27,56,51,73,61,10,91,12,89,49,94,20,39,76,63,53,45,95,42,13,32,83,99,56,15,57,52,76,25,34,56,17,85,47,1,87,50,82,76,8,68,14,53,29,2
k_16,80,2,63,4,29,40,48,97,10,75,6,31,35,65,43,73,78,22,59,88,52,51,5,29,32,50,65,37,84,100,82,58,93,37,5,28,26,4,2,22,72,56,64,17,8,5,99,6,82,56,81,49,79,83,66,63,28,86,19,95,83,32,23,79,52,73,20,67,79,65,16,93,81,4,96,7,80,32,33,19,58,96,14,65,7,74,61,75,82,83,42,92,1,60,46
