commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_5,e_6,e_7,e_8,e_9
k_0,7,100,56,51,100,39,92,1,11,65,95,11,39,23,79,95,70,72,40,86,72,66,57,47,47,72,6,95,38,81,77,19,60,99,50,63,39,61,95,78,36,65,51,81,73
k_1,3,4,34,12,39,66,85,52,20,4,90,32,70,86,3,57,25,90,30,48,23,56,47,6,91,3,65,26,59,4,73,46,75,30,15,60,3,53,78,45,32,77,92,85,58
k_2,48,11,16,56,9,70,48,9,45,60,97,82,66,44,51,63,57,40,58,66,5,40,2,52,19,90,50,36,78,8,57,63,33,59,90,82,61,80,80,45,16,67,80,13,40
k_3,69,19,85,81,34,66,88,58,96,44,30,2,36,5,75,31,51,91,37,28,42,36,8,74,98,45,100,2,6,44,99,1,65,42,37,42,69,56,95,63,50,42,51,59,72
k_4,21,86,14,62,66,59,7,10,34,93,16,72,92,73,98,61,30,55,5,67,12,5,96,73,64,47,72,47,54,60,19,57,94,75,17,13,4,22,49,45,81,85,90,20,26
k_5,2,55,41,94,39,2,38,84,69,71,84,80,5,61,8,66,10,71,99,54,69,24,35,97,10,83,95,20,9,83,49,32,71,60,59,59,51,4,66,79,64,36,52,31,95
k_6,74,81,10,65,65,61,82,22,14,66,91,88,56,67,41,79,59,8,20,64,51,53,99,59,5,68,62,51,30,6,92,33,63,66,22,8,8,38,75,71,73,17,8,51,6
k_7,9,96,28,11,11,49,1,84,45,69,27,83,56,20,23,95,2,48,62,57,4,70,84,39,72,88,85,27,34,96,23,32,26,82,32,43,35,3,47,4,99,74,76,1,73
k_8,95,35,21,27,98,86,21,98,30,10,60,12,95,60,72,40,32,26,23,13,30,81,71,56,59,80,9,30,5,69,37,100,11,23,21,1,4,47,79,3,41,9,66,99,91
k_9,71,30,36,39,79,27,75,8,7,12,80,46,32,14,10,18,12,84,11,85,70,21,26,5,28,62,49,73,9,60,68,84,38,55,44,78,81,2,22,4,68,34,5,36,38
k_10,100,77,20,12,73,99,40,48,43,41,77,71,50,98,23,60,30,1,76,32,56,6,2,52,60,25,62,91,72,74,49,63,67,71,8,100,93,39,3,71,90,74,96,73,85
