commodity,e_0,e_1,e_10,e_100,e_101,e_102,e_103,e_104,e_105,e_106,e_107,e_108,e_109,e_11,e_110,e_111,e_112,e_113,e_114,e_115,e_116,e_117,e_118,e_119,e_12,e_120,e_121,e_122,e_123,e_124,e_125,e_126,e_127,e_128,e_129,e_13,e_130,e_131,e_132,e_133,e_134,e_135,e_136,e_137,e_138,e_139,e_14,e_140,e_141,e_142,e_143,e_144,e_145,e_146,e_147,e_148,e_149,e_15,e_150,e_151,e_152,e_153,e_154,e_155,e_156,e_157,e_158,e_159,e_16,e_160,e_161,e_162,e_163,e_164,e_165,e_166,e_167,e_168,e_169,e_17,e_170,e_171,e_172,e_173,e_174,e_175,e_176,e_177,e_178,e_179,e_18,e_180,e_181,e_182,e_183,e_184,e_185,e_186,e_187,e_188,e_189,e_19,e_190,e_191,e_192,e_193,e_194,e_195,e_196,e_197,e_198,e_199,e_2,e_20,e_200,e_201,e_202,e_203,e_204,e_205,e_206,e_207,e_208,e_209,e_21,e_210,e_211,e_212,e_213,e_214,e_215,e_216,e_217,e_218,e_219,e_22,e_220,e_221,e_222,e_223,e_224,e_225,e_226,e_227,e_228,e_229,e_23,e_230,e_231,e_232,e_233,e_234,e_235,e_236,e_237,e_238,e_239,e_24,e_240,e_241,e_242,e_243,e_244,e_245,e_246,e_247,e_248,e_249,e_25,e_250,e_251,e_252,e_253,e_254,e_255,e_256,e_257,e_258,e_259,e_26,e_260,e_261,e_262,e_263,e_264,e_265,e_266,e_267,e_268,e_269,e_27,e_270,e_271,e_272,e_273,e_274,e_275,e_276,e_277,e_278,e_279,e_28,e_280,e_281,e_282,e_283,e_284,e_285,e_286,e_287,e_288,e_289,e_29,e_290,e_291,e_292,e_293,e_294,e_295,e_296,e_297,e_298,e_299,e_3,e_30,e_300,e_301,e_302,e_303,e_304,e_305,e_306,e_307,e_308,e_309,e_31,e_310,e_311,e_312,e_313,e_314,e_315,e_316,e_317,e_318,e_319,e_32,e_320,e_321,e_322,e_323,e_324,e_325,e_326,e_327,e_328,e_329,e_33,e_330,e_331,e_332,e_333,e_334,e_335,e_336,e_337,e_338,e_339,e_34,e_340,e_341,e_342,e_343,e_344,e_345,e_346,e_347,e_348,e_349,e_35,e_350,e_351,e_352,e_353,e_354,e_355,e_356,e_357,e_358,e_359,e_36,e_360,e_361,e_362,e_363,e_364,e_365,e_366,e_367,e_368,e_369,e_37,e_370,e_371,e_372,e_373,e_374,e_375,e_376,e_377,e_378,e_379,e_38,e_380,e_381,e_382,e_383,e_384,e_385,e_386,e_387,e_388,e_389,e_39,e_390,e_391,e_392,e_393,e_394,e_395,e_396,e_397,e_398,e_399,e_4,e_40,e_400,e_401,e_402,e_403,e_404,e_405,e_406,e_407,e_408,e_409,e_41,e_410,e_411,e_412,e_413,e_414,e_415,e_416,e_417,e_418,e_419,e_42,e_420,e_421,e_422,e_423,e_424,e_425,e_426,e_427,e_428,e_429,e_43,e_430,e_431,e_432,e_433,e_434,e_435,e_436,e_437,e_438,e_439,e_44,e_440,e_441,e_442,e_443,e_444,e_445,e_446,e_447,e_448,e_449,e_45,e_450,e_451,e_452,e_453,e_454,e_455,e_456,e_457,e_458,e_459,e_46,e_460,e_461,e_462,e_463,e_464,e_465,e_466,e_467,e_468,e_469,e_47,e_470,e_471,e_472,e_473,e_474,e_475,e_476,e_477,e_478,e_479,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_60,e_61,e_62,e_63,e_64,e_65,e_66,e_67,e_68,e_69,e_7,e_70,e_71,e_72,e_73,e_74,e_75,e_76,e_77,e_78,e_79,e_8,e_80,e_81,e_82,e_83,e_84,e_85,e_86,e_87,e_88,e_89,e_9,e_90,e_91,e_92,e_93,e_94,e_95,e_96,e_97,e_98,e_99
k_0,29,66,2,39,45,59,5,32,55,44,78,34,83,20,58,100,9,1,47,20,62,87,93,75,71,56,20,6,80,67,73,16,74,12,29,87,99,75,96,50,90,15,14,92,38,42,2,49,6,21,76,87,74,95,15,53,60,12,48,32,20,27,6,9,14,42,45,37,12,39,33,65,67,8,4,98,31,57,21,42,41,91,83,10,45,42,83,72,47,49,33,50,3,7,54,45,86,88,73,35,66,25,93,83,73,28,44,37,19,70,26,59,57,24,63,25,88,52,7,93,4,79,1,30,27,20,16,62,39,77,19,76,57,31,25,58,34,35,26,53,87,71,75,74,93,39,53,70,19,57,94,73,47,10,84,71,16,51,38,9,77,93,91,73,21,58,25,34,67,16,20,39,94,32,72,1,43,5,26,20,16,35,26,90,68,53,39,42,61,75,67,10,11,48,93,99,40,69,65,75,45,92,29,65,56,59,32,79,29,85,36,7,27,87,1,99,50,71,15,97,89,98,22,31,12,14,91,43,73,72,89,3,13,64,44,5,90,58,92,13,41,13,99,62,64,99,7,63,30,99,26,50,31,22,35,88,82,84,85,8,38,31,52,20,66,96,82,18,65,7,57,86,15,80,71,95,54,85,72,29,1,60,22,86,27,66,87,66,74,41,30,42,12,13,63,58,26,38,89,47,92,74,89,19,91,56,59,10,9,98,43,80,55,23,88,4,62,40,75,34,27,87,71,91,76,75,7,58,85,45,25,21,86,2,35,28,91,95,57,21,2,52,19,10,49,8,56,66,68,71,62,62,44,16,94,34,99,36,42,28,89,50,5,93,90,93,69,44,3,71,21,47,74,24,6,60,65,2,88,72,86,45,25,60,100,26,94,10,36,97,92,64,88,35,76,39,14,66,23,20,73,59,37,24,90,5,15,35,93,94,39,61,57,100,1,68,23,94,85,62,46,47,50,3,25,50,16,88,29,42,5,88,10,90,87,90,33,41,38,56,57,51,69,95,9,40,24,21,23,68,82,46,76,68,12,96,58,27,86,46,16,42,61,96,2,11,46,4,70,75,2,11,22,17,28,50,15,25,67,58
k_1,80,51,90,62,14,2,39,56,77,10,68,63,35,7,74,80,14,94,88,58,59,66,7,45,43,77,14,55,10,68,83,62,96,93,94,7,56,2,13,69,65,61,40,72,6,97,21,38,15,24,71,47,57,40,79,88,68,47,35,68,44,25,95,95,33,100,28,96,9,14,86,98,72,64,76,14,50,93,3,22,85,10,13,52,67,92,56,26,5,12,3,36,21,38,92,87,79,8,89,11,31,96,14,54,43,88,86,27,3,51,79,39,88,43,95,33,91,55,29,31,11,48,74,53,1,15,84,16,99,5,10,19,14,92,87,43,80,1,60,83,65,58,29,39,34,60,66,76,22,44,74,9,41,31,33,13,95,41,10,88,13,48,18,50,12,17,36,74,19,70,2,45,15,23,90,78,52,53,39,76,72,63,88,24,17,91,55,45,79,23,6,69,37,73,48,62,79,27,54,26,25,80,26,47,62,36,74,36,46,67,19,26,52,30,45,59,29,53,13,87,90,74,92,20,8,64,41,9,58,49,82,56,18,49,98,23,92,46,33,72,55,99,67,4,84,4,93,60,76,71,57,41,23,25,53,74,4,57,42,45,50,7,52,42,82,26,5,18,74,93,59,72,15,45,52,16,97,71,36,4,16,41,23,8,86,49,49,35,78,12,28,92,75,93,46,36,75,2,24,75,6,33,78,29,97,68,41,96,22,6,38,96,58,21,18,8,48,49,10,91,90,2,55,79,85,10,81,47,70,2,17,46,17,48,39,9,97,39,85,31,50,85,96,68,78,62,54,53,19,8,33,64,90,10,47,53,9,26,61,66,76,81,11,29,65,22,66,52,51,71,91,38,54,85,30,71,13,70,72,93,90,4,79,23,85,6,25,35,95,78,87,83,57,89,4,66,33,42,81,88,97,83,23,1,30,62,12,47,27,61,19,98,15,82,78,90,5,14,55,38,42,95,9,78,62,47,5,82,82,31,22,23,20,27,44,82,52,99,59,25,89,39,18,25,82,89,22,73,20,72,46,9,37,92,7,22,64,15,32,13,67,66,6,68,70,61,59,60,32,7,16,66,84,82,15,74,43,8,61,89
k_2,32,40,95,30,60,41,76,54,73,22,99,46,37,80,37,9,20,8,97,84,19,35,78,4,52,24,18,41,24,64,38,46,59,10,17,55,67,6,26,93,73,2,24,3,69,1,59,5,87,67,29,18,9,93,17,95,3,90,21,77,45,6,66,25,82,28,54,28,29,35,20,41,51,85,18,7,30,42,52,38,6,68,82,20,10,25,76,4,26,7,59,23,14,65,100,49,20,93,71,73,80,82,70,8,57,23,50,11,4,97,89,77,85,35,52,71,75,19,52,38,32,22,68,85,90,76,63,12,48,100,98,75,54,3,75,70,29,4,19,99,67,63,99,3,19,71,65,68,49,91,100,91,29,68,8,20,24,27,70,2,49,79,52,66,80,90,6,15,69,78,36,73,1,52,7,75,83,90,4,83,50,8,78,5,40,84,46,90,74,37,4,80,45,43,31,87,53,72,47,46,99,61,90,43,51,83,30,69,22,9,43,45,46,28,58,99,26,7,67,84,82,57,9,69,5,69,50,75,76,53,2,22,32,46,34,51,36,97,95,99,6,79,36,12,66,82,59,14,25,54,68,15,20,98,2,94,8,38,48,65,29,92,49,3,37,46,40,54,13,81,33,36,79,96,98,47,14,41,49,51,11,67,29,58,72,85,82,98,90,50,35,73,81,56,72,38,63,61,78,50,19,68,67,33,81,18,61,36,82,26,35,9,6,57,54,52,96,30,37,94,97,12,21,87,96,64,36,2,48,12,88,16,3,12,80,37,4,5,53,38,93,25,36,86,100,43,11,82,62,43,26,91,18,7,27,26,99,39,61,18,95,70,2,25,40,84,35,55,3,72,52,70,49,19,79,75,93,44,15,65,11,71,78,22,55,67,5,30,98,6,93,82,15,48,66,17,79,42,80,54,65,38,98,38,22,32,29,51,97,12,65,34,72,2,1,11,89,77,75,36,37,9,22,99,9,82,23,29,52,71,26,2,43,7,77,100,77,65,45,21,91,54,27,4,47,9,15,45,93,56,11,87,46,86,13,38,57,12,79,19,42,22,63,84,78,35,8,47,17,89,30,3,73,48,84,42,28,100,53,22
k_3,67,87,86,33,30,16,79,8,16,50,65,88,46,23,44,24,64,87,53,68,13,9,28,80,71,9,62,36,89,10,93,15,89,17,87,28,30,98,66,75,1,5,75,32,68,96,86,50,31,61,70,25,12,46,90,68,95,65,93,85,80,9,44,98,35,84,31,32,56,42,63,67,64,7,24,68,84,83,86,90,68,33,29,88,15,68,86,23,62,32,65,91,61,52,91,2,23,52,2,25,76,97,43,18,11,71,87,53,29,65,100,36,50,65,4,49,27,32,27,38,66,94,52,38,69,59,24,26,18,97,20,18,47,5,15,64,69,23,84,25,34,36,16,82,24,27,74,86,21,92,91,79,93,91,96,17,15,79,16,71,24,54,69,52,83,15,6,84,10,19,53,64,54,97,61,49,57,49,12,56,6,12,92,82,20,1,94,99,100,14,68,23,100,52,8,19,46,13,56,25,12,79,85,82,73,62,3,37,69,63,8,76,70,13,23,71,51,59,77,7,72,75,59,54,6,3,6,23,47,20,80,43,11,80,82,93,9,72,53,42,90,70,46,94,43,78,5,66,73,9,57,64,57,98,39,43,83,55,27,51,40,94,26,45,27,95,35,75,11,13,100,69,52,34,33,15,29,61,91,82,43,68,68,5,4,63,3,88,55,35,52,4,65,5,32,77,7,97,64,3,54,92,87,57,89,24,94,17,93,69,28,42,51,71,86,97,98,61,13,25,22,22,11,62,19,45,65,76,75,20,21,59,57,90,43,3,33,99,24,79,47,18,4,13,31,81,13,74,5,53,72,84,5,28,33,78,42,57,24,31,100,65,17,79,73,21,4,53,38,93,4,79,11,54,73,74,28,34,9,59,95,90,28,69,100,64,81,80,52,82,26,46,68,32,85,100,54,10,8,90,43,49,47,70,88,99,44,92,37,39,47,83,16,100,2,88,28,45,69,51,26,85,26,41,81,90,100,63,84,20,7,15,22,67,61,80,82,84,45,52,13,34,35,45,35,42,88,96,26,99,72,60,29,12,26,33,58,65,4,50,78,16,92,78,83,10,46,64,100,25,31,26,2,12,51,65,21,82,82,15
k_4,31,96,19,24,79,7,81,87,92,85,62,17,10,16,46,48,22,83,88,12,11,96,3,58,84,26,100,99,44,69,28,24,13,91,7,47,92,96,19,59,77,11,4,51,48,65,10,71,98,97,16,38,25,17,65,76,86,34,82,97,61,10,12,7,92,49,94,24,69,23,69,45,82,8,98,74,36,8,27,93,8,81,83,4,17,32,12,93,51,48,70,24,23,60,87,8,48,99,49,95,24,84,71,91,12,13,97,38,50,57,44,37,72,84,6,57,44,20,4,32,1,100,91,38,71,61,64,74,69,40,30,64,28,6,38,86,39,58,16,93,34,21,73,11,27,70,55,44,80,13,55,97,64,98,83,25,47,2,98,30,65,19,18,58,62,81,21,6,51,91,53,39,91,90,15,68,74,42,91,80,22,94,84,69,72,27,36,14,48,63,94,32,44,73,29,17,91,13,79,2,81,19,17,19,71,85,13,47,28,88,32,16,86,67,2,16,12,54,3,18,56,83,67,77,88,94,62,93,42,82,9,62,65,49,7,38,20,82,18,18,55,11,11,70,85,75,82,35,59,49,80,51,8,64,6,22,24,4,35,53,91,64,82,77,28,63,71,54,3,23,21,81,79,23,24,1,54,44,35,76,76,99,40,2,13,94,1,35,1,3,2,31,74,3,75,90,5,88,7,30,34,2,5,30,30,81,24,71,85,17,92,50,17,34,15,27,63,42,27,26,49,8,22,47,25,62,43,3,64,18,45,74,83,55,25,39,54,33,45,11,3,30,10,41,62,75,83,83,57,25,76,98,71,100,65,98,59,56,37,70,32,70,14,56,86,25,22,90,2,29,14,15,95,60,48,34,46,43,96,67,86,29,91,50,65,36,51,83,26,78,17,45,23,64,48,7,90,11,66,90,4,34,36,86,50,73,1,18,36,40,14,73,72,85,65,81,67,25,87,10,17,65,37,84,77,32,12,75,75,20,46,48,56,87,66,47,86,38,87,5,55,40,55,58,1,66,84,63,93,91,36,80,18,98,86,21,24,41,9,100,96,3,37,44,43,58,49,40,17,31,62,34,41,2,16,18,49,32,62,39
k_5,23,87,63,73,90,100,91,13,11,92,75,64,62,64,42,54,77,75,37,61,88,74,68,36,38,24,43,12,79,11,32,39,65,4,51,34,32,47,44,5,33,1,55,36,27,48,46,28,64,30,40,97,36,87,84,3,66,58,47,58,46,18,38,77,40,32,57,3,6,13,95,84,54,12,57,59,99,51,83,94,33,59,44,12,92,73,70,36,53,11,17,33,43,81,27,21,48,86,9,95,94,10,70,13,43,56,39,32,47,41,57,23,67,22,56,78,88,88,11,9,78,16,29,15,93,85,64,49,77,7,100,38,70,84,5,69,94,58,44,32,88,11,76,72,42,87,2,8,58,92,21,95,33,12,2,40,27,27,27,53,20,18,61,15,14,24,73,77,82,31,12,57,2,64,11,13,69,98,9,22,48,10,31,14,32,50,87,33,85,59,60,29,29,9,27,64,36,71,88,43,8,25,54,88,82,36,10,49,43,93,9,91,32,79,87,81,59,92,3,1,20,73,15,4,21,80,56,43,78,20,89,69,95,14,77,21,13,47,41,45,86,34,99,41,78,99,35,42,38,67,55,86,94,46,37,94,84,61,72,7,20,48,53,26,44,97,38,95,49,5,66,2,26,76,8,30,79,13,68,96,40,92,63,63,22,96,28,45,28,60,43,16,53,97,45,100,70,15,55,52,100,40,57,90,67,1,47,41,78,50,67,75,96,45,72,87,14,8,41,49,80,7,3,36,34,4,69,81,18,55,30,79,90,57,55,91,93,4,79,47,52,16,12,100,9,6,61,50,20,11,6,30,14,69,96,60,75,35,94,50,21,54,85,17,12,43,33,43,9,19,66,66,61,47,23,4,79,51,60,30,34,54,2,58,59,16,57,18,92,84,55,58,19,53,50,40,2,79,2,27,62,64,87,55,56,89,77,91,57,90,86,56,94,76,41,35,61,95,93,81,52,58,86,66,9,49,85,22,89,69,69,17,100,21,94,33,89,53,84,35,56,1,13,29,48,73,59,62,5,65,80,51,76,46,83,68,45,98,5,39,68,22,50,90,10,17,6,13,41,80,48,91,64,54,71,99,95,48,24,6
k_6,11,14,34,67,79,94,55,54,81,58,93,3,31,65,14,9,25,34,91,67,40,2,45,33,64,38,6,67,99,88,65,20,72,61,4,70,30,27,78,10,78,94,3,94,70,14,14,26,26,11,81,31,3,26,94,29,54,3,68,7,96,57,13,12,75,65,80,100,17,17,50,96,74,50,64,29,69,64,24,4,12,86,11,10,8,7,51,47,72,64,49,84,14,61,37,96,66,13,52,39,11,44,17,66,85,19,100,23,17,15,69,24,55,72,69,30,88,57,72,19,17,55,34,28,84,75,48,71,14,78,85,67,66,26,19,21,48,1,78,70,47,72,18,92,62,70,53,58,59,100,54,95,56,31,71,12,37,4,81,71,20,77,93,72,100,38,15,83,59,76,45,10,93,85,15,70,23,71,41,18,78,6,100,9,60,9,40,37,63,68,92,58,35,42,4,4,97,21,29,36,32,61,70,36,33,25,95,9,82,45,1,34,73,27,88,46,21,92,29,73,64,78,16,36,38,17,81,32,68,22,33,55,62,45,17,18,67,72,4,39,88,58,72,89,100,54,78,55,53,99,50,7,35,66,8,1,15,9,65,3,75,95,41,35,14,95,13,49,15,52,35,35,92,48,87,58,1,98,1,41,49,71,53,5,10,4,68,35,34,56,29,77,56,36,6,20,56,86,1,30,96,2,27,50,44,35,27,45,27,35,29,80,50,44,87,25,56,44,11,54,21,11,99,77,38,79,41,37,38,1,10,99,71,14,23,25,57,55,62,80,10,22,8,50,42,5,37,17,19,5,97,79,69,1,73,87,10,50,82,89,89,59,22,42,56,38,10,63,39,89,12,20,9,20,99,40,1,90,64,29,4,23,25,44,93,33,25,40,62,94,22,60,22,74,6,47,97,94,80,63,17,9,98,96,81,30,15,83,19,21,19,67,69,98,52,68,38,100,80,78,29,36,25,73,66,23,15,87,52,1,96,39,36,84,85,94,99,85,3,61,48,6,89,63,26,87,63,9,52,83,22,17,11,19,83,97,59,91,62,18,66,28,42,82,71,98,62,89,33,35,23,53,58,14,58,30,99,38,71,86
k_7,16,90,48,50,14,28,63,62,50,60,24,77,87,92,98,71,86,25,92,78,2,41,85,43,96,77,62,10,95,64,63,85,5,10,36,14,34,33,11,14,57,13,80,83,75,38,99,76,42,90,58,49,100,12,74,3,56,57,57,88,74,73,33,43,38,65,4,72,12,7,97,34,63,98,52,5,94,76,68,73,85,41,28,47,30,45,83,32,30,17,12,15,54,90,21,84,6,20,83,1,22,67,84,88,50,66,3,41,80,4,21,25,9,8,89,94,57,22,13,11,2,45,54,7,17,39,78,26,66,15,10,45,35,27,65,73,19,9,13,94,84,85,93,79,91,64,74,90,66,50,96,39,82,91,40,16,43,52,67,99,77,96,65,17,93,21,31,31,76,87,23,41,98,57,25,68,22,91,79,32,76,2,55,49,72,42,83,9,57,62,43,41,36,32,58,83,58,56,96,29,59,98,91,60,66,81,92,13,1,29,17,35,33,94,65,66,26,13,18,90,35,74,22,81,36,24,95,11,14,22,80,49,40,50,51,99,58,25,12,81,56,86,27,88,61,65,23,45,30,98,57,38,83,42,7,55,31,1,29,75,89,23,70,100,64,62,57,5,91,31,43,77,50,60,92,29,56,57,10,41,87,90,47,30,81,84,52,68,33,25,70,67,93,5,18,59,53,75,88,81,13,48,93,10,23,85,18,72,29,31,97,46,60,36,63,32,26,91,60,31,2,33,74,40,50,23,88,97,15,1,26,44,26,73,34,9,24,80,37,74,98,97,23,96,28,29,93,9,42,32,24,5,69,87,87,73,57,95,46,91,19,19,69,36,59,99,61,61,74,12,78,45,3,62,11,58,92,63,88,98,59,1,95,46,45,7,69,87,79,94,32,13,34,52,2,31,3,81,9,12,40,88,89,1,14,5,51,44,33,39,74,9,22,25,34,25,11,97,60,79,78,25,28,76,91,39,68,13,48,26,84,32,83,28,59,99,80,64,30,94,66,86,15,45,37,49,7,48,26,70,56,17,59,45,46,54,8,2,13,8,6,28,79,61,38,83,56,23,45,2,9,24,79,15,70,51,77,99,78,6
k_8,43,22,61,38,75,45,64,65,5,78,17,91,47,46,36,1,82,32,11,26,60,58,100,5,92,96,61,77,92,57,100,38,44,48,73,69,85,8,2,3,12,20,29,20,6,14,71,89,15,84,90,64,23,78,54,36,10,73,58,90,35,12,7,4,30,96,51,74,94,67,33,59,42,14,5,79,93,96,60,43,64,86,22,74,71,15,66,6,21,55,44,33,37,84,4,5,18,51,35,79,95,52,90,1,31,57,79,19,97,34,25,81,63,54,89,75,63,42,93,12,51,87,63,2,96,25,83,20,69,71,54,97,88,38,86,5,13,62,53,38,86,87,42,16,53,37,25,56,44,77,37,14,95,20,66,61,14,88,17,25,73,71,9,58,76,73,8,97,44,55,44,12,40,86,87,82,8,12,11,54,9,85,62,59,71,5,77,57,83,53,30,17,57,41,39,45,83,21,79,23,66,66,95,81,97,78,30,41,44,61,85,53,82,64,6,28,42,22,24,10,65,79,84,97,14,76,41,54,88,87,35,79,30,11,65,76,8,13,13,17,68,84,56,75,55,76,67,56,92,89,93,81,92,87,40,25,74,14,56,86,75,10,44,57,95,56,85,42,45,87,96,33,48,64,46,45,53,13,12,12,57,69,41,82,28,84,78,34,16,67,62,60,83,74,37,9,2,87,18,62,63,44,67,91,42,14,51,100,17,100,15,78,40,65,96,90,71,7,18,68,97,82,23,72,12,32,13,62,31,10,43,17,91,64,67,76,70,91,25,86,47,53,51,17,52,88,18,72,97,65,61,73,89,50,18,54,54,56,87,19,69,86,1,32,71,92,41,23,79,70,77,95,69,23,90,5,75,66,45,69,32,89,21,39,39,9,77,18,29,76,73,60,40,92,78,19,98,98,18,20,23,27,74,65,35,52,94,13,70,42,43,76,58,80,1,3,23,15,49,38,58,54,55,63,4,82,47,21,33,78,65,99,99,100,80,73,24,11,29,32,95,78,5,74,34,55,4,26,87,45,100,94,59,82,61,96,72,9,38,96,16,76,58,17,63,72,51,66,61,44,82,68,80,67,12,22,78,61,36,13
k_9,50,16,67,7,80,87,56,67,14,54,81,7,10,96,52,77,37,93,70,79,73,97,10,28,56,98,32,34,82,31,47,42,69,88,92,41,87,74,38,58,11,96,67,58,1,95,97,100,36,12,81,80,13,13,40,96,17,47,23,31,42,62,74,24,1,85,61,67,14,74,83,77,64,85,40,47,84,62,71,31,31,10,11,24,15,89,5,48,7,39,45,34,15,82,22,66,83,96,8,21,66,14,6,37,4,43,63,77,55,34,73,71,35,21,18,31,43,7,22,23,46,75,18,5,51,58,50,71,14,9,18,90,91,1,99,15,97,23,28,9,16,35,84,16,56,76,61,76,4,35,19,95,23,51,58,74,65,67,44,56,37,17,36,72,77,4,97,53,24,3,99,7,73,54,92,51,41,85,43,28,76,74,30,36,53,93,40,100,49,38,18,85,4,79,20,16,69,54,83,63,12,26,97,9,18,80,91,50,13,60,96,15,99,23,16,61,86,43,63,13,38,64,33,60,85,81,53,9,44,66,11,66,69,6,7,85,41,76,67,89,88,59,10,90,31,56,92,81,85,37,63,29,85,18,45,62,24,54,39,20,69,98,41,14,73,19,16,90,33,71,100,36,66,27,95,64,71,79,34,58,86,89,71,32,27,100,1,57,36,41,84,89,52,24,80,8,34,49,37,8,94,41,62,11,44,54,35,45,1,87,95,11,5,97,13,82,47,30,82,76,89,22,25,35,92,36,98,21,10,4,33,95,99,19,23,50,65,53,12,33,48,10,79,37,53,57,73,17,47,72,54,17,41,58,27,92,82,79,3,76,52,83,9,20,48,94,10,20,35,82,14,95,47,38,53,96,65,82,10,71,49,74,77,33,72,31,45,73,10,85,46,74,94,93,51,23,60,67,18,46,64,87,15,34,25,4,43,81,87,45,94,15,80,37,35,91,34,84,23,87,16,93,20,21,43,52,54,64,21,22,85,90,27,22,61,92,12,49,1,91,65,2,100,80,23,47,25,67,91,8,32,80,77,43,53,10,84,4,4,10,61,54,98,20,89,56,71,3,32,17,47,68,22,11,30,41,49,50,95,50
