commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_7,e_8,e_9
k_0,1,62,34,27,57,57,6,57,1,25,16,22,2,87,37,66,97,79,29,88,24,25,65,44,65,22,92,11,11,2,34,40,91,69,48,21,2,30,70,31,85,88,42,64,76,9,5,93,48,24,5,90,21,76,20,80,23,12,64,76
k_1,42,93,52,91,78,45,18,73,26,22,69,29,50,88,10,16,15,7,83,71,52,79,27,42,8,55,69,98,33,53,18,79,18,65,98,67,41,94,98,54,10,87,65,5,12,94,54,22,48,70,90,34,63,77,18,38,83,26,96,6
k_2,34,75,50,86,81,18,43,23,88,88,11,79,29,62,87,100,12,58,97,30,100,53,71,45,4,84,81,1,48,86,11,25,39,47,99,16,60,31,24,86,27,83,43,90,39,63,44,66,62,24,52,19,88,98,21,31,38,67,69,36
k_3,72,10,97,51,90,34,29,76,64,74,93,53,57,18,70,76,25,14,63,9,82,24,3,37,5,8,26,37,10,72,86,27,97,91,77,34,91,47,18,82,39,95,54,31,6,28,40,75,33,55,73,70,7,79,53,13,10,39,45,27
k_4,25,4,45,67,42,51,30,57,73,70,36,78,24,87,91,3,1,5,55,21,69,10,55,69,35,82,49,42,46,59,65,86,79,85,10,94,93,85,65,10,10,100,83,62,36,10,41,11,8,80,32,34,78,94,7,7,11,60,14,63
k_5,6,15,88,22,8,90,94,77,93,100,74,8,12,90,8,59,76,54,22,65,65,90,65,100,15,19,27,84,70,38,18,39,40,7,1,37,1,15,3,91,15,11,58,87,29,79,43,77,10,46,38,22,16,36,92,3,37,5,90,46
k_6,5,85,70,83,19,69,65,88,100,14,36,72,79,91,54,15,68,99,57,88,68,19,89,70,31,82,4,95,7,95,3,50,76,50,27,54,60,68,83,42,84,49,55,86,35,22,80,54,5,42,28,64,67,20,98,61,36,84,16,31
k_7,52,47,93,21,25,67,78,25,30,72,7,73,2,74,88,67,55,31,40,97,78,63,30,21,38,95,66,45,67,68,66,67,19,25,54,18,52,15,96,5,52,40,22,76,73,22,4,25,47,95,90,22,57,8,76,8,9,97,26,34
k_8,59,21,45,30,62,60,44,90,62,54,10,63,31,97,26,34,7,5,23,96,67,41,54,84,78,87,42,10,9,28,83,92,65,45,26,78,56,92,91,65,71,3,5,56,57,8,36,71,68,81,61,10,4,98,58,12,81,82,84,8
k_9,91,88,43,55,72,30,86,13,1,57,92,16,14,32,88,33,75,13,84,38,98,19,16,81,90,57,87,75,32,95,42,93,82,10,98,1,20,56,86,46,62,90,40,2,70,2,10,53,84,53,6,97,18,14,62,57,22,72,55,41
k_10,63,48,38,68,60,60,13,92,16,18,81,20,4,85,25,31,33,58,63,58,20,36,34,44,34,55,96,39,11,22,42,21,78,79,77,49,17,56,65,66,57,31,20,46,34,5,96,67,70,34,84,5,25,47,62,22,66,18,77,55
k_11,68,58,90,84,64,45,8,12,53,85,95,70,10,39,66,45,8,3,35,9,9,62,78,76,44,45,42,92,20,52,60,90,97,65,99,42,94,74,84,19,30,47,5,3,11,91,48,28,43,6,31,91,29,77,33,40,52,88,78,29
k_12,82,60,74,97,61,82,6,43,75,12,15,87,99,39,8,87,60,89,74,12,8,39,18,18,91,15,38,27,20,46,48,11,14,41,54,58,33,10,8,73,71,66,77,38,80,15,91,72,1,94,1,78,66,38,67,86,11,40,97,97
k_13,76,4,3,48,59,39,75,8,63,4,27,26,12,48,59,65,80,52,14,58,43,12,97,33,4,27,84,53,60,41,57,16,32,79,38,77,63,55,30,84,46,44,38,69,10,67,40,70,23,100,57,24,9,78,8,52,89,30,61,37
k_14,41,38,22,18,81,47,48,14,69,100,98,18,1,29,36,37,28,17,75,37,99,39,90,14,75,71,44,22,44,93,46,61,17,19,85,6,68,74,19,64,70,80,79,12,17,70,85,20,4,31,28,2,6,31,87,54,60,43,63,20
k_15,79,3,83,51,27,26,74,15,92,47,93,64,62,28,98,100,11,45,9,81,7,34,34,5,95,86,86,67,62,73,94,63,68,31,97,39,61,99,100,41,74,71,84,65,4,55,18,36,60,58,20,18,97,42,55,32,71,59,17,20
k_16,54,98,82,78,76,19,95,86,89,83,60,58,74,27,92,44,93,74,26,76,16,37,86,4,69,100,80,36,53,57,60,79,75,39,84,70,8,54,62,15,1,76,70,39,82,99,86,87,51,37,90,98,95,92,19,35,20,54,3,94
k_17,66,11,54,17,77,94,46,66,2,5,14,94,90,7,98,85,95,76,2,52,9,67,57,62,19,5,4,26,18,53,42,50,13,36,43,94,85,50,29,60,92,55,62,42,79,61,44,34,97,48,42,98,92,75,28,27,79,20,57,91
k_18,15,9,46,42,82,68,22,92,36,44,26,89,82,95,87,100,26,90,3,66,6,7,13,43,29,3,55,86,37,9,89,3,97,89,77,63,5,30,55,42,97,76,70,27,75,77,54,27,10,50,56,62,73,94,96,16,93,32,70,89
k_19,68,64,12,27,51,6,5,73,75,71,92,4,85,3,63,90,45,42,65,28,55,70,47,34,64,14,76,81,70,96,30,44,66,98,89,43,82,80,51,98,94,22,22,52,91,9,62,23,34,77,82,10,63,83,86,73,28,34,12,17
k_20,68,77,50,17,98,68,85,68,5,6,35,27,53,81,54,42,49,98,68,62,29,64,44,49,54,42,11,72,68,14,83,81,35,7,18,75,4,59,15,13,25,61,12,6,49,59,89,27,34,74,37,21,86,95,10,54,15,70,24,15
k_21,5,22,76,24,20,32,96,66,8,36,23,62,46,96,94,87,76,50,18,80,94,73,76,21,35,16,9,54,58,63,95,73,100,52,50,2,66,69,15,90,21,66,59,73,10,91,13,85,89,66,20,82,38,70,55,48,64,82,62,77
k_22,63,63,7,10,54,4,11,18,94,89,89,86,46,100,14,59,73,94,6,20,74,84,58,84,67,46,41,81,54,69,14,27,42,77,6,83,84,56,75,47,66,17,4,95,17,80,22,95,52,22,57,87,83,47,9,35,74,19,45,77
k_23,29,79,11,44,51,38,90,56,76,92,11,45,43,57,6,84,31,65,43,60,86,85,20,22,56,64,75,27,21,82,22,14,78,69,10,61,1,46,40,51,27,76,2,64,70,40,48,83,85,79,60,75,18,41,34,96,5,43,25,95
k_24,16,97,18,74,16,6,8,42,68,83,39,66,13,97,67,41,80,42,92,41,90,9,44,52,55,45,71,43,46,95,46,46,33,76,85,93,37,39,5,83,31,22,34,82,4,8,74,7,35,1,5,34,84,85,47,79,89,56,23,46
k_25,91,95,11,90,69,65,24,71,84,61,98,43,23,91,97,47,21,1,14,91,19,94,7,75,85,61,100,51,38,3,44,3,37,94,97,7,63,37,47,11,64,43,28,82,72,50,23,50,100,63,46,36,49,39,3,38,8,11,94,66
k_26,87,3,74,97,90,48,82,22,26,49,9,100,38,24,77,65,38,56,2,32,41,76,21,14,4,17,14,28,65,71,55,71,32,67,59,74,97,22,3,66,82,21,61,84,74,5,51,8,75,37,42,91,44,80,44,1,27,61,7,92
k_27,35,48,15,43,49,71,1,63,26,1,74,47,54,2,69,26,91,30,52,67,13,28,73,13,56,6,26,62,52,44,79,7,9,85,32,65,59,64,82,14,27,11,38,85,62,38,75,44,21,52,76,8,26,78,95,57,78,72,91,50
k_28,22,10,72,39,33,90,76,33,36,10,3,16,22,39,79,46,10,43,42,57,90,98,76,46,75,48,75,35,10,5,62,12,10,80,72,1,22,24,40,62,43,52,39,7,9,78,28,40,74,27,71,95,31,61,30,93,62,91,22,11
k_29,58,13,9,15,16,73,42,19,74,58,35,1,94,61,45,87,7,77,38,43,2,40,8,100,49,31,36,50,1,6,24,68,76,79,7,27,27,75,80,3,3,24,24,11,7,14,19,74,6,40,48,15,49,73,67,99,44,29,21,7
k_30,27,99,81,30,42,47,70,93,12,11,59,13,24,9,36,29,8,5,28,51,39,55,65,83,75,32,35,15,54,97,98,18,7,30,76,39,43,27,17,18,80,73,44,11,98,66,14,48,32,72,58,62,37,61,62,63,69,93,89,84
