commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_60,e_61,e_62,e_63,e_64,e_65,e_66,e_67,e_68,e_69,e_7,e_70,e_71,e_72,e_73,e_74,e_8,e_9
k_0,50,73,56,53,77,82,50,19,24,31,81,44,95,70,90,64,57,74,57,84,69,4,18,85,12,91,22,37,88,77,53,92,32,20,5,4,75,79,42,40,80,87,95,16,4,86,17,62,31,68,15,26,38,60,70,57,89,61,71,46,42,75,74,71,62,98,100,7,93,40,22,61,53,44,12
k_1,25,98,77,69,43,88,15,74,91,19,45,23,37,39,3,67,38,76,15,55,35,60,2,24,90,31,10,79,91,96,46,71,37,73,51,2,43,42,20,90,56,41,62,78,43,97,85,98,9,57,78,58,58,10,72,26,79,92,17,6,32,13,1,58,37,25,27,26,47,1,15,20,26,98,54
k_2,17,33,10,39,59,33,6,57,4,42,42,40,48,29,69,3,84,58,99,86,13,17,12,100,38,43,62,11,34,77,4,28,20,97,63,86,34,25,22,97,72,62,51,9,50,85,9,58,18,19,47,97,16,79,57,45,61,48,28,100,37,33,82,21,49,2,13,13,29,8,41,88,41,89,73
k_3,77,83,80,57,4,43,30,90,94,44,7,46,29,12,22,67,35,3,27,8,99,1,61,28,16,100,5,14,15,93,84,28,15,28,19,58,47,24,70,64,92,44,36,16,83,39,92,98,54,1,57,4,89,38,14,10,93,53,51,54,100,98,70,96,19,1,68,62,87,74,51,3,87,86,12
k_4,35,64,77,9,88,69,48,94,86,10,10,87,5,100,40,63,6,49,86,11,85,10,49,35,60,67,68,87,70,58,44,72,38,25,62,16,37,1,93,39,55,53,52,32,98,64,24,32,9,55,68,78,29,5,77,27,3,39,7,62,2,39,20,58,91,15,45,78,23,68,45,13,84,33,58
k_5,30,58,15,90,21,76,6,22,84,9,50,84,68,2,16,34,96,16,86,79,19,57,27,15,12,15,63,48,96,26,65,50,85,9,81,33,9,59,32,35,80,39,97,20,57,69,57,79,20,58,62,66,9,66,53,31,33,62,64,19,88,24,92,17,18,49,46,67,74,84,7,28,30,20,72
k_6,32,40,71,57,75,23,44,15,49,77,3,3,92,9,3,84,3,13,1,90,88,73,40,26,40,20,33,52,48,74,48,80,55,16,65,14,99,71,73,45,1,86,92,85,53,78,40,39,16,6,6,57,24,69,43,90,9,33,99,20,26,11,56,54,8,94,36,97,21,38,55,89,38,2,34
k_7,64,86,45,29,68,37,12,39,64,50,90,2,90,59,1,39,94,15,60,63,16,22,81,35,64,87,76,52,10,24,86,93,69,9,88,10,97,46,63,74,82,18,11,12,43,17,29,19,66,5,1,49,95,60,15,25,84,49,12,77,30,72,20,99,39,66,12,10,60,86,32,77,40,16,94
k_8,83,28,47,38,7,80,4,59,39,46,7,56,52,43,54,3,4,59,35,61,78,56,17,55,51,52,66,5,21,73,3,47,64,79,77,66,68,91,92,38,89,24,31,72,42,64,85,75,63,3,69,100,53,46,71,25,27,94,78,43,10,27,46,77,97,87,52,1,10,16,86,60,97,15,40
k_9,23,14,12,89,56,4,67,51,85,3,4,64,79,36,5,9,48,51,94,44,90,18,36,28,60,57,95,57,59,20,70,38,15,12,75,26,23,58,44,100,73,60,58,78,60,84,33,70,76,54,91,81,37,73,47,52,90,20,88,25,46,48,25,29,93,87,84,79,83,64,83,21,44,26,1
k_10,96,69,32,32,94,76,35,11,33,51,1,36,47,83,19,91,61,51,57,39,45,53,33,51,61,100,71,21,90,23,36,74,23,75,99,19,52,39,90,18,95,80,95,20,6,55,12,48,43,93,64,5,89,43,26,74,18,9,92,80,32,40,44,55,83,89,24,1,70,1,25,34,49,23,18
k_11,100,42,75,71,70,48,65,59,27,60,81,78,98,13,65,64,92,46,41,2,63,47,86,57,47,30,93,63,55,51,83,25,52,40,71,76,94,24,60,74,21,64,43,47,71,39,50,33,81,52,62,94,1,33,68,6,21,5,54,66,34,20,24,35,7,19,19,32,62,26,100,32,40,31,80
k_12,91,15,83,71,45,91,9,97,41,91,85,45,90,24,48,74,68,80,71,92,70,1,62,47,18,82,49,42,55,3,96,54,29,8,71,47,48,86,7,57,61,24,55,83,45,33,2,10,82,75,55,10,1,27,12,41,47,8,65,25,32,78,94,48,5,58,94,84,68,83,70,95,81,47,86
k_13,79,43,64,91,3,23,94,89,23,38,97,39,19,77,21,25,64,15,79,96,74,31,42,53,99,59,48,36,62,15,89,53,18,83,82,87,97,45,65,86,63,34,91,44,17,97,48,92,34,83,19,75,5,29,43,46,33,45,100,13,59,74,68,16,80,15,92,68,54,90,44,77,42,21,44
