commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_6,e_7,e_8,e_9
k_0,28,34,1,11,15,87,97,10,2,97,100,44,72,48,56,82,89,10,37,8,56,5,72,85,73,92,68,36,2,38,34,49,59,67,93,29,80,40,41,71,41,23,70,36,91,27,53,82,20,59
k_1,34,99,8,27,82,25,40,4,32,51,42,4,31,81,59,21,87,49,49,59,18,52,96,18,59,38,74,34,44,61,60,16,100,9,9,44,18,91,19,16,55,95,51,88,69,26,26,59,22,6
k_2,1,45,5,52,32,49,7,75,21,77,67,75,90,66,20,100,59,97,23,46,13,13,77,1,71,56,86,14,32,48,24,36,62,38,65,16,34,25,97,61,23,45,70,40,27,62,16,23,21,51
k_3,46,17,37,95,24,5,7,86,24,23,100,11,7,12,32,86,55,38,85,70,21,53,44,16,50,35,1,63,48,37,90,1,55,35,100,77,94,18,17,13,90,21,12,96,17,14,17,35,10,97
k_4,55,91,13,65,84,39,20,8,67,13,6,94,23,44,80,78,9,55,44,35,53,45,25,59,100,64,14,14,28,78,1,8,74,46,30,59,24,23,10,13,55,1,85,98,29,42,94,50,56,88
k_5,45,29,60,74,69,84,58,88,8,2,65,34,100,14,27,98,52,53,65,83,94,69,19,41,83,74,66,54,5,25,28,57,93,23,99,83,18,2,91,71,63,91,30,30,26,94,65,42,87,7
k_6,44,24,77,86,29,19,71,41,38,8,22,22,14,4,12,1,63,10,5,76,39,52,96,15,42,1,9,52,68,89,46,12,56,69,71,6,13,35,74,43,12,3,33,82,93,93,85,18,28,8
k_7,29,38,30,63,60,75,39,1,50,10,44,79,14,93,49,42,32,7,98,72,84,22,18,97,45,12,14,31,57,29,73,99,89,89,34,3,15,39,15,38,48,31,62,96,35,17,47,76,25,43
k_8,10,2,77,70,86,5,52,28,66,78,69,86,68,82,65,96,21,18,86,17,18,10,74,56,15,75,35,93,51,77,77,62,27,73,29,43,53,24,93,79,57,5,44,5,44,29,9,55,92,12
k_9,54,76,34,49,36,98,56,60,63,14,70,22,98,59,36,58,47,53,65,66,7,13,30,23,87,94,51,18,8,17,74,78,35,93,71,41,73,63,39,8,72,83,92,65,41,90,68,20,35,97
k_10,65,84,16,80,5,67,30,70,16,31,69,100,66,54,31,1,75,67,37,7,94,38,33,17,86,60,25,81,84,21,72,20,37,34,59,84,28,55,44,50,63,55,12,37,52,75,11,59,97,77
k_11,81,84,48,11,16,18,82,47,25,27,75,38,64,85,51,87,78,7,3,5,7,38,30,46,27,52,82,10,63,72,96,31,10,72,34,46,9,1,1,57,91,35,48,60,46,27,100,37,43,38
k_12,77,38,27,82,21,50,80,12,71,39,59,56,98,7,78,86,90,46,95,23,81,68,15,52,13,39,99,28,39,76,75,8,7,97,52,61,26,20,42,18,23,73,62,28,36,75,76,25,10,69
