commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_60,e_61,e_62,e_63,e_64,e_7,e_8,e_9
k_0,37,19,37,5,51,28,51,23,60,60,56,73,63,99,69,11,25,84,5,17,15,46,4,21,24,69,38,94,34,36,58,14,14,22,98,95,65,83,12,72,18,34,25,48,79,34,72,14,46,11,98,55,25,9,43,34,9,92,77,10,18,42,78,67,74
k_1,34,31,9,5,57,93,17,27,9,91,79,3,51,6,22,63,76,10,41,6,59,72,51,75,36,38,1,54,26,40,66,68,9,34,8,6,100,28,38,67,33,75,26,28,38,50,22,45,87,51,88,73,58,63,85,10,53,26,56,79,88,10,13,64,96
k_2,59,83,93,36,52,10,14,85,72,9,63,2,82,38,58,27,45,41,63,43,64,53,56,63,71,76,63,36,68,50,64,25,89,75,88,40,27,97,7,68,47,55,49,76,3,97,67,39,26,28,90,24,63,32,84,92,45,23,93,15,44,42,46,40,13
k_3,5,83,21,57,43,85,85,72,50,65,59,51,67,96,98,45,80,70,34,46,4,10,79,17,59,76,37,26,45,45,65,89,29,78,90,84,60,47,6,53,65,60,36,66,11,74,48,86,78,14,36,5,15,77,9,67,51,8,44,60,68,58,89,19,89
k_4,11,35,36,21,86,81,13,83,97,11,47,5,36,13,57,64,45,87,20,95,17,30,18,87,49,73,91,52,3,31,93,8,2,75,7,23,92,33,64,57,63,56,46,35,12,69,1,99,87,90,72,61,99,4,50,15,42,5,37,74,88,42,54,19,22
k_5,70,28,39,96,47,48,54,85,11,69,77,90,8,94,53,80,2,27,6,97,31,28,88,81,76,7,52,85,94,22,74,83,93,83,19,100,66,68,12,14,99,97,19,33,32,4,25,29,68,16,29,90,37,47,40,76,100,91,21,77,37,23,39,38,14
k_6,29,7,61,30,82,6,94,100,9,53,29,57,6,85,19,15,57,22,68,21,85,79,87,2,1,57,62,98,12,90,95,94,83,78,82,3,9,5,16,32,66,22,86,7,17,53,45,39,10,39,96,100,21,9,94,14,68,63,23,85,10,90,91,6,41
k_7,81,69,33,8,69,97,78,23,19,77,76,82,35,37,17,42,81,74,50,14,17,70,59,44,80,58,2,40,95,31,7,43,67,62,92,63,45,76,11,51,40,31,49,11,56,9,56,99,20,99,79,4,22,57,96,85,99,43,11,29,50,42,42,51,81
k_8,51,69,32,38,86,48,23,37,29,34,23,92,34,100,10,66,64,94,45,86,97,33,30,59,57,11,12,96,82,8,34,36,48,54,72,27,5,20,2,4,38,18,74,47,60,22,45,27,56,84,29,70,91,8,93,18,30,63,23,92,38,56,53,27,14
k_9,59,49,56,20,50,4,11,45,85,3,27,43,11,65,85,81,36,39,19,76,31,36,65,49,12,91,90,13,62,100,69,98,89,9,51,37,94,95,5,15,66,84,13,31,56,35,29,30,77,14,13,49,16,2,6,84,31,42,97,34,67,3,22,32,98
k_10,12,23,82,68,18,73,100,16,65,35,61,80,31,41,86,49,33,73,52,38,80,4,49,1,29,66,74,49,88,93,9,16,62,42,63,62,42,81,95,77,50,37,22,7,75,56,86,100,21,45,42,65,71,70,98,63,77,72,20,21,29,93,2,17,4
k_11,42,21,18,65,18,91,58,33,32,3,21,43,78,47,75,32,71,20,81,74,26,97,8,6,21,40,14,66,90,37,26,23,91,25,15,73,21,10,19,94,75,45,34,76,66,12,68,48,82,51,67,60,1,64,74,8,74,63,96,70,33,53,74,77,46
k_12,23,76,20,35,30,4,59,56,17,7,52,42,76,70,68,74,80,36,24,73,88,29,34,40,66,68,51,74,47,46,5,45,6,25,89,44,30,67,97,42,58,79,63,84,71,43,36,90,17,69,46,66,49,26,28,29,77,83,67,75,22,11,4,33,50
k_13,48,1,52,92,3,25,4,86,43,59,82,33,63,32,61,100,70,100,94,59,41,24,17,48,99,85,68,94,88,84,41,16,38,61,59,95,92,70,44,57,38,12,4,54,68,70,28,61,67,41,45,65,82,34,15,71,63,21,79,85,90,42,97,35,96
k_14,18,54,43,54,10,32,27,37,28,95,51,6,25,65,84,82,56,2,25,80,46,85,84,94,71,70,50,39,89,17,96,75,59,73,91,1,77,49,46,3,70,73,55,52,66,85,63,71,95,74,14,40,52,28,11,4,30,91,5,83,45,38,65,79,40
k_15,39,3,4,47,30,8,52,32,4,90,63,78,62,46,10,20,24,54,22,65,41,17,62,9,69,53,84,19,83,37,12,65,27,65,87,94,77,45,69,33,78,34,63,63,83,100,100,36,2,64,47,59,30,59,40,100,68,41,59,4,87,77,44,19,69
k_16,42,34,98,48,63,11,40,80,39,28,15,23,88,17,7,32,83,78,82,3,31,56,76,37,58,86,95,36,39,60,8,36,34,62,28,80,92,67,50,47,59,16,88,51,34,64,83,83,79,98,78,89,69,87,12,77,28,69,64,48,35,72,16,41,48
k_17,60,49,17,16,50,4,42,32,35,76,51,11,43,7,100,32,82,11,80,35,68,4,58,99,70,11,79,86,97,30,91,2,82,90,8,12,26,43,60,14,42,45,58,57,56,26,36,91,24,83,76,24,57,24,36,99,87,10,25,34,75,11,81,16,85
k_18,47,53,8,34,44,97,74,27,37,29,83,33,99,99,68,94,53,95,62,51,16,32,11,51,69,76,51,47,99,89,71,36,97,81,45,12,59,89,26,57,67,39,12,12,62,9,68,61,40,78,71,39,75,23,19,62,87,54,98,73,33,50,56,98,89
k_19,66,99,25,43,77,67,82,79,7,46,50,63,22,50,14,13,95,94,16,94,30,39,13,35,6,42,80,7,79,19,1,93,26,93,22,66,16,72,15,80,5,81,94,43,46,31,71,64,16,41,51,98,59,28,8,59,63,11,97,8,61,79,12,84,25
k_20,13,26,35,79,64,86,58,35,69,92,58,56,8,24,45,50,65,60,62,61,31,6,38,61,6,52,46,15,67,36,17,21,75,43,4,64,77,12,57,37,12,13,99,23,52,63,57,90,58,88,24,29,58,77,57,60,32,23,34,12,43,73,74,84,22
k_21,70,10,66,25,38,51,22,59,98,75,95,37,65,17,97,54,9,57,28,28,1,65,92,8,84,53,95,33,97,77,67,28,41,22,61,83,2,70,26,95,96,57,11,24,22,41,11,77,21,27,25,48,47,62,26,17,28,99,4,87,60,62,39,100,46
k_22,72,18,36,10,44,50,48,39,62,54,100,52,28,7,38,69,19,100,62,89,54,52,86,36,17,46,80,75,45,99,13,60,25,33,64,71,96,27,58,96,43,38,39,42,11,5,85,45,99,99,35,74,44,18,22,49,26,23,92,8,94,30,20,86,23
k_23,5,16,85,12,59,100,57,41,66,12,36,49,57,28,17,11,87,47,53,14,54,29,95,33,43,39,27,86,85,26,98,64,10,53,53,92,55,4,27,53,73,55,2,79,2,16,100,37,80,30,10,69,92,58,66,33,19,94,58,54,75,67,67,14,84
k_24,64,68,46,13,77,9,97,78,79,1,58,98,67,84,39,100,27,85,45,30,83,52,47,75,12,58,18,61,45,64,21,4,84,76,28,34,12,40,20,23,29,48,26,38,22,63,26,37,43,18,20,78,23,52,93,87,80,5,88,12,49,75,2,27,29
k_25,36,72,45,91,94,45,44,66,86,8,73,26,65,67,24,36,42,42,82,20,34,58,37,98,55,24,61,88,4,44,78,51,32,82,36,36,90,34,63,82,69,39,82,16,94,100,14,6,42,11,95,84,78,83,50,41,62,83,87,31,83,65,21,40,61
k_26,74,43,38,67,77,9,36,9,12,90,13,45,39,77,68,85,1,17,29,7,12,17,42,98,63,28,8,48,46,43,40,61,22,98,5,59,11,76,8,84,76,14,59,53,93,11,16,48,95,84,78,54,88,4,97,43,98,37,100,19,66,6,55,36,84
k_27,53,56,2,33,70,46,45,94,59,7,20,70,79,42,14,31,97,29,56,7,71,54,51,18,26,33,87,51,69,85,20,52,29,60,93,79,78,14,6,78,50,66,96,97,29,30,11,94,15,54,56,35,10,33,80,1,48,89,16,82,20,49,63,97,59
