commodity,e_0,e_1,e_10,e_100,e_101,e_102,e_103,e_104,e_105,e_106,e_107,e_108,e_109,e_11,e_110,e_111,e_112,e_113,e_114,e_115,e_116,e_117,e_118,e_119,e_12,e_120,e_121,e_122,e_123,e_124,e_125,e_126,e_127,e_128,e_129,e_13,e_130,e_131,e_132,e_133,e_134,e_135,e_136,e_137,e_138,e_139,e_14,e_140,e_141,e_142,e_143,e_144,e_145,e_146,e_147,e_148,e_149,e_15,e_150,e_151,e_152,e_153,e_154,e_155,e_156,e_157,e_158,e_159,e_16,e_160,e_161,e_162,e_163,e_164,e_165,e_166,e_167,e_168,e_169,e_17,e_170,e_171,e_172,e_173,e_174,e_175,e_176,e_177,e_178,e_179,e_18,e_180,e_181,e_182,e_183,e_184,e_185,e_186,e_187,e_188,e_189,e_19,e_190,e_191,e_192,e_193,e_194,e_195,e_196,e_197,e_198,e_199,e_2,e_20,e_200,e_201,e_202,e_203,e_204,e_205,e_206,e_207,e_208,e_209,e_21,e_210,e_211,e_212,e_213,e_214,e_215,e_216,e_217,e_218,e_219,e_22,e_220,e_221,e_222,e_223,e_224,e_225,e_226,e_227,e_228,e_229,e_23,e_230,e_231,e_232,e_233,e_234,e_235,e_236,e_237,e_238,e_239,e_24,e_240,e_241,e_242,e_243,e_244,e_245,e_246,e_247,e_248,e_249,e_25,e_250,e_251,e_252,e_253,e_254,e_255,e_256,e_257,e_258,e_259,e_26,e_260,e_261,e_262,e_263,e_264,e_265,e_266,e_267,e_268,e_269,e_27,e_270,e_271,e_272,e_273,e_274,e_275,e_276,e_277,e_278,e_279,e_28,e_280,e_281,e_282,e_283,e_284,e_285,e_286,e_287,e_288,e_289,e_29,e_290,e_291,e_292,e_293,e_294,e_295,e_296,e_297,e_298,e_299,e_3,e_30,e_300,e_301,e_302,e_303,e_304,e_305,e_306,e_307,e_308,e_309,e_31,e_310,e_311,e_312,e_313,e_314,e_315,e_316,e_317,e_318,e_319,e_32,e_320,e_321,e_322,e_323,e_324,e_325,e_326,e_327,e_328,e_329,e_33,e_330,e_331,e_332,e_333,e_334,e_335,e_336,e_337,e_338,e_339,e_34,e_340,e_341,e_342,e_343,e_344,e_345,e_346,e_347,e_348,e_349,e_35,e_350,e_351,e_352,e_353,e_354,e_355,e_356,e_357,e_358,e_359,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_60,e_61,e_62,e_63,e_64,e_65,e_66,e_67,e_68,e_69,e_7,e_70,e_71,e_72,e_73,e_74,e_75,e_76,e_77,e_78,e_79,e_8,e_80,e_81,e_82,e_83,e_84,e_85,e_86,e_87,e_88,e_89,e_9,e_90,e_91,e_92,e_93,e_94,e_95,e_96,e_97,e_98,e_99
k_0,57,7,20,73,82,67,74,38,59,44,65,4,4,11,87,42,83,81,33,76,91,72,8,7,42,45,95,29,93,2,72,19,16,14,96,25,100,51,98,55,60,56,38,87,95,42,70,77,94,82,70,38,18,54,91,41,9,19,13,57,87,55,22,71,92,24,67,28,48,25,87,98,45,26,18,77,54,86,82,50,33,97,29,27,40,78,43,18,25,15,12,84,71,40,8,79,90,53,72,65,93,21,35,76,35,52,30,53,22,70,31,17,28,46,81,86,76,84,80,49,58,16,22,34,72,56,20,18,76,90,28,43,6,20,23,28,14,84,52,95,58,54,88,89,59,83,80,56,60,87,57,7,46,50,45,9,70,72,85,64,84,74,74,79,12,97,67,18,24,59,81,69,25,20,40,91,3,99,39,7,23,65,16,65,8,21,41,8,42,87,52,27,33,27,5,83,24,92,44,27,96,68,79,57,14,65,6,5,59,81,87,67,10,80,54,40,3,35,7,84,54,10,10,60,55,83,74,64,47,37,56,26,28,59,81,34,54,84,12,99,96,34,59,31,15,14,76,3,52,37,36,66,82,11,89,22,80,19,20,8,80,10,56,24,30,6,35,73,27,38,77,45,98,49,35,28,67,77,44,91,81,50,17,58,70,15,19,54,76,50,51,41,14,54,63,23,36,50,22,14,83,51,31,72,63,87,38,91,6,86,3,66,85,26,10,72,73,22,62,59,100,24,72,83,90,30,84,74,71,92,5,72,32,93,48,62,15,81,20,69,91,77,4,45,73,22,95,42,8,84,63,86,87,22,26,49,1,25,1,31
k_1,74,28,22,42,70,84,9,3,5,43,9,33,65,100,45,80,29,8,40,11,22,32,37,36,16,41,28,98,100,25,14,66,52,44,20,56,58,30,62,59,1,48,45,30,45,72,77,19,20,59,19,91,43,12,33,69,55,82,34,63,1,88,71,100,71,97,93,74,24,27,35,43,100,34,60,38,21,10,1,51,92,56,15,79,61,91,62,71,28,50,42,70,79,96,27,89,88,87,40,8,62,27,86,35,72,52,58,82,79,28,67,27,44,27,41,94,87,77,48,9,49,71,30,81,72,57,84,87,35,89,8,21,47,22,31,87,29,94,51,89,71,75,84,9,64,63,43,24,93,38,33,61,89,84,48,2,19,68,62,92,36,11,79,12,93,79,29,81,58,98,99,78,97,64,82,3,34,50,32,48,96,38,21,1,32,15,55,28,94,34,63,81,69,14,30,32,88,52,19,56,13,83,30,76,22,44,10,41,84,32,58,49,82,72,87,98,82,2,43,27,2,80,2,90,9,69,20,41,70,3,12,7,8,74,47,82,37,80,44,85,58,7,6,36,11,78,33,83,16,59,53,49,84,100,31,72,18,22,41,70,29,25,34,41,45,51,49,13,99,3,16,84,74,70,40,54,87,33,78,13,49,39,75,73,38,14,33,57,73,46,61,37,37,65,65,35,91,56,88,29,16,83,30,92,40,81,79,68,10,41,7,11,36,68,86,32,67,19,88,92,61,47,19,17,19,8,6,11,78,68,46,86,85,57,33,61,89,6,63,64,34,12,93,87,99,41,92,55,72,75,58,66,88,65,13,25,78,27,78,68
k_2,65,3,78,31,73,36,83,13,10,93,54,79,2,86,73,29,46,69,52,95,75,47,38,9,39,93,95,88,96,100,3,50,71,97,57,84,90,93,71,68,27,76,9,27,51,8,42,31,29,72,89,76,99,4,3,81,68,69,87,38,28,99,58,86,23,65,39,54,94,73,19,85,13,93,53,92,100,6,36,71,95,47,23,52,59,50,86,9,22,99,16,73,27,68,67,64,33,51,92,93,42,29,9,61,80,66,8,63,45,70,31,91,91,5,6,74,72,64,39,43,78,6,3,22,67,70,63,98,59,63,82,65,87,91,68,94,65,56,21,47,71,95,96,54,96,7,94,94,87,23,43,73,36,71,2,59,41,32,89,72,95,54,51,60,43,2,89,32,95,4,34,1,81,18,29,32,99,30,87,28,38,7,72,15,25,17,6,44,81,72,51,63,15,99,53,77,13,89,11,99,10,80,49,20,12,16,84,70,72,87,33,43,10,56,96,35,87,31,17,12,71,12,11,69,3,7,75,43,14,57,30,92,44,54,64,4,45,36,22,29,74,69,49,29,13,86,10,49,45,85,28,73,98,74,26,43,68,48,43,61,36,64,59,55,45,79,63,45,99,15,74,65,32,39,78,46,18,31,89,21,8,49,2,1,62,92,15,54,30,66,93,35,44,75,63,84,70,79,26,49,60,9,47,23,42,7,44,80,88,32,51,37,37,97,30,67,57,93,4,10,96,11,47,75,3,68,39,5,98,66,71,76,63,36,30,42,44,69,89,3,4,87,1,38,25,38,91,45,42,14,97,21,83,15,94,42,58,52,68,97
k_3,36,58,10,72,22,20,33,97,21,59,24,59,54,47,32,91,75,50,18,65,33,63,54,36,74,63,9,69,21,71,35,69,11,56,12,18,65,98,7,7,47,33,86,23,67,36,52,16,79,22,7,21,41,53,91,42,89,15,72,84,67,60,77,54,18,14,75,21,72,33,32,65,63,40,73,87,7,30,11,21,62,38,14,92,83,80,39,51,82,94,63,8,98,80,60,2,39,66,80,10,63,11,74,71,41,67,7,78,81,23,14,10,71,90,38,37,67,58,81,44,61,1,55,45,34,11,45,53,61,19,96,66,75,57,44,35,27,70,68,60,92,11,18,15,49,94,35,85,57,14,50,45,44,95,81,72,64,30,41,12,55,87,90,53,61,100,14,93,73,39,80,15,91,68,39,52,9,86,21,52,37,37,68,53,78,56,5,31,82,45,65,27,93,5,84,51,54,10,46,31,98,25,2,1,62,25,52,20,26,46,55,87,30,27,76,91,68,60,46,10,7,57,80,95,21,6,45,96,33,15,27,16,94,48,21,37,56,79,68,64,67,70,8,13,4,4,61,36,90,14,29,69,93,24,67,46,92,62,32,73,19,92,49,41,22,65,42,54,96,5,4,94,75,53,56,67,3,70,39,38,91,94,66,6,6,11,67,88,27,84,95,82,76,50,75,23,82,12,100,49,78,90,63,41,47,69,27,19,13,80,21,78,60,43,8,6,58,99,66,40,33,75,95,77,45,93,6,33,10,30,1,35,57,93,76,6,18,28,9,4,13,53,26,8,72,18,92,23,51,83,100,4,54,19,10,76,69,83,17,90
k_4,42,100,33,70,10,21,4,41,82,67,69,75,46,87,6,17,11,80,94,26,79,42,23,31,59,48,87,7,99,63,7,19,29,29,91,88,100,53,39,33,58,94,42,13,34,43,17,70,72,56,78,42,64,83,52,93,47,27,33,8,75,44,94,42,8,100,51,85,55,16,82,90,53,7,55,49,57,26,6,60,61,92,82,2,3,70,2,12,39,86,23,31,86,83,22,60,71,10,42,86,34,100,5,68,96,61,44,5,63,4,34,67,64,35,100,1,64,62,65,15,59,84,56,21,49,42,72,79,68,27,76,21,50,27,6,69,67,43,29,3,14,70,6,65,66,34,82,88,43,75,65,70,56,50,90,45,22,22,73,71,81,35,52,93,74,61,85,85,84,44,82,53,41,28,28,7,59,52,8,25,1,79,36,13,13,43,60,55,43,42,14,63,59,19,89,66,75,97,81,90,21,21,97,68,7,70,43,11,73,27,61,87,38,44,7,62,31,64,49,72,3,95,63,22,90,41,89,87,91,41,36,9,19,19,3,38,1,34,95,71,77,100,4,21,29,96,8,33,83,24,27,77,18,96,42,73,37,40,32,7,66,94,30,9,64,44,29,54,99,91,3,84,48,77,77,61,4,18,67,59,91,47,79,27,68,92,6,40,98,37,33,81,27,77,24,49,11,72,68,73,21,10,81,17,28,96,68,69,2,40,47,37,49,85,70,77,97,47,32,80,23,60,17,11,75,97,41,88,67,60,42,11,58,86,66,43,61,75,21,66,33,96,57,98,67,66,65,62,6,1,39,36,35,89,47,22,27,29,40,51
k_5,23,79,15,62,51,27,85,1,81,23,25,39,95,44,40,58,32,66,15,12,76,30,99,29,74,73,91,83,71,12,26,44,32,3,1,48,36,36,2,30,3,56,15,81,97,28,8,25,67,74,16,46,62,56,5,23,18,66,26,100,84,78,69,1,50,29,93,50,90,93,52,14,45,76,37,92,34,33,50,69,38,22,60,75,85,88,25,25,10,47,59,15,29,28,1,75,76,58,84,61,97,46,99,13,43,70,26,7,86,79,61,88,57,45,73,40,41,15,82,44,14,2,25,95,18,82,100,73,99,13,25,61,30,57,58,15,57,10,85,94,20,36,58,13,100,18,14,21,47,90,61,55,7,2,59,11,76,16,90,65,90,57,89,12,52,19,4,20,17,44,29,62,65,94,75,69,75,93,35,61,38,99,98,87,50,7,76,6,22,19,31,33,88,10,70,73,35,46,29,17,99,97,45,86,45,67,59,83,74,5,91,27,6,69,53,43,48,87,88,93,20,27,58,83,14,76,21,62,39,90,2,24,41,30,84,31,32,66,50,82,72,70,63,40,84,74,41,64,20,68,29,91,60,2,74,45,66,40,15,16,4,28,66,32,39,88,81,11,63,35,18,28,96,40,100,66,65,76,29,46,44,13,59,82,2,51,91,64,80,1,67,31,42,9,22,36,4,40,40,29,11,77,5,37,53,32,17,25,82,83,90,10,1,19,35,45,68,2,26,72,82,11,42,5,94,76,41,16,67,73,9,89,51,36,63,81,35,79,21,10,100,97,17,36,70,72,9,96,29,76,8,58,85,71,80,83,86,61,41,58
k_6,39,24,40,80,11,1,67,63,61,99,22,35,78,96,87,90,40,75,76,16,82,24,86,73,47,39,65,73,4,10,8,23,93,93,51,4,45,88,47,84,24,61,53,4,81,16,38,72,83,33,34,31,65,7,25,55,36,7,28,26,56,50,29,84,72,45,56,8,27,56,79,13,31,7,42,52,14,95,49,96,24,21,35,84,82,81,2,2,53,88,51,42,15,20,26,73,50,16,46,21,16,7,87,81,97,83,18,9,5,71,86,83,95,8,35,55,37,27,70,50,72,83,98,66,4,13,62,35,12,66,70,100,28,94,84,17,90,17,84,15,40,5,92,58,49,70,91,37,64,89,10,38,35,86,84,48,67,47,85,36,30,84,62,35,44,13,97,100,93,43,70,71,10,36,41,70,44,4,21,42,49,37,91,66,48,77,52,9,78,88,22,68,50,38,74,94,18,53,35,91,96,99,55,74,87,4,70,36,28,90,75,74,98,48,70,17,94,57,39,89,5,61,28,34,75,59,91,83,100,63,78,91,2,25,61,91,68,64,14,74,52,86,100,28,89,6,8,82,59,86,30,50,69,100,36,11,90,7,53,5,8,84,88,8,54,44,81,76,14,85,47,37,79,62,10,14,18,46,90,79,25,39,56,21,50,43,24,58,94,19,7,14,67,33,34,97,97,45,84,61,34,56,8,99,41,36,24,23,28,87,62,89,33,71,38,17,79,71,86,18,42,75,55,43,19,24,10,29,94,53,67,5,96,47,41,4,45,68,49,32,27,50,48,88,22,16,10,95,60,76,61,46,1,27,68,62,74,73,83,9
k_7,57,65,62,76,82,23,44,38,82,61,63,30,18,84,62,25,17,100,95,54,38,53,93,82,14,85,96,26,81,13,64,51,14,19,87,3,14,83,99,16,5,11,90,3,71,41,3,52,44,17,21,82,19,99,30,60,40,46,27,11,56,48,96,61,93,76,18,14,1,79,63,43,3,65,16,47,59,28,97,83,71,24,34,41,91,14,11,48,11,63,52,5,93,73,41,25,70,54,50,20,85,29,22,43,4,48,51,74,5,96,38,38,8,36,41,43,42,85,57,21,84,37,36,64,66,33,23,19,88,53,67,78,35,78,99,3,25,65,35,43,13,59,61,48,86,25,49,95,9,33,66,25,11,20,33,18,82,60,31,58,54,99,28,57,1,16,13,53,28,83,45,86,66,59,94,34,14,11,52,7,93,69,14,30,10,88,78,4,22,1,87,6,21,71,65,74,35,61,17,61,22,97,95,19,42,79,87,41,82,18,71,28,21,51,27,99,31,70,29,78,57,92,29,2,26,13,57,30,10,87,30,15,69,84,35,45,1,37,13,100,39,24,37,7,48,96,82,19,36,100,18,4,96,70,62,93,96,29,17,63,84,34,94,18,39,98,97,97,52,52,91,54,39,65,81,33,1,4,45,39,61,34,52,68,83,39,7,59,39,17,53,19,41,15,62,15,70,33,19,41,10,59,70,76,31,87,58,19,43,36,20,34,70,36,65,13,18,48,53,94,52,65,96,26,12,37,17,48,13,75,22,42,25,70,93,56,88,33,8,32,66,27,53,36,31,100,46,2,80,31,89,35,40,7,100,26,91,14,99,58
k_8,59,56,10,75,76,3,6,84,12,10,84,79,22,19,94,71,97,92,91,82,16,4,5,13,73,29,53,4,39,41,84,34,78,4,77,100,75,74,15,35,59,47,4,22,46,17,47,100,14,19,34,64,20,99,25,62,40,43,31,2,3,65,27,25,11,83,28,68,95,38,3,42,67,10,5,37,33,22,41,64,88,57,29,98,35,19,47,50,48,36,76,16,76,5,19,97,100,16,42,99,33,51,49,84,9,99,88,17,46,29,83,82,34,3,4,1,62,7,93,11,52,4,86,4,32,19,34,54,44,89,42,6,5,4,87,45,2,44,71,75,73,4,4,76,53,86,83,98,6,38,84,74,62,46,69,42,27,60,46,99,84,45,59,93,22,57,42,20,93,74,27,65,56,22,47,41,72,15,61,12,63,50,20,58,45,12,9,29,11,75,57,59,83,55,85,36,57,44,49,24,90,90,12,15,40,36,59,73,56,51,33,6,25,95,7,74,17,9,98,72,29,9,87,10,10,79,52,72,80,30,53,19,92,96,51,65,98,13,72,56,68,76,43,59,90,32,36,73,52,66,97,9,39,9,28,84,37,85,44,82,78,28,90,23,55,96,77,16,15,26,66,81,72,50,50,8,94,50,59,34,95,83,91,2,44,52,83,55,88,80,41,42,86,44,85,65,44,40,35,75,43,35,35,43,54,25,13,8,33,81,22,30,54,3,85,97,9,89,88,46,25,37,24,51,40,9,71,35,73,79,48,95,78,51,16,59,24,6,72,87,33,37,43,80,54,93,70,99,55,65,37,66,57,55,4,54,29,85,32,25
k_9,27,17,3,59,78,96,2,9,64,26,80,23,1,25,50,23,68,81,62,27,23,90,22,15,22,32,98,93,29,64,59,34,21,61,22,72,68,78,17,57,47,65,84,77,9,13,11,87,47,93,29,5,82,15,36,54,45,38,32,42,82,28,96,44,51,24,46,66,21,18,74,8,59,78,99,49,55,99,10,73,17,73,71,95,51,36,11,13,42,47,39,86,21,40,78,22,51,5,46,40,90,33,99,3,60,56,11,29,64,99,94,90,11,6,68,59,38,14,8,25,23,6,63,14,67,7,90,69,26,22,94,100,55,97,89,97,94,72,14,87,49,81,3,58,85,60,98,95,53,92,24,90,89,22,38,83,17,6,12,74,85,92,65,4,59,71,28,34,19,53,57,76,30,26,21,79,32,61,13,6,27,52,71,92,21,22,78,80,84,95,82,27,82,30,95,40,5,50,36,45,21,18,89,13,11,12,55,18,53,60,30,8,61,99,82,12,61,54,98,5,52,100,77,90,1,66,97,47,90,47,24,100,5,65,21,86,2,42,42,40,72,89,78,3,82,63,23,67,76,76,58,52,24,100,47,95,13,5,12,73,52,62,23,84,67,48,60,86,43,86,5,75,72,84,22,97,28,43,32,17,41,84,75,7,54,60,84,11,84,2,74,59,86,89,28,23,49,57,37,44,49,61,48,57,93,75,67,64,67,45,8,99,22,15,63,15,99,39,3,72,52,39,14,47,53,7,24,76,21,8,37,60,28,80,31,26,37,33,54,61,23,77,47,56,70,79,93,20,50,93,5,4,82,73,32,42,62,45,100,49
