commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_60,e_61,e_62,e_63,e_64,e_65,e_66,e_67,e_68,e_69,e_7,e_8,e_9
k_0,66,100,4,17,44,68,31,7,79,47,94,23,21,26,37,96,7,1,53,97,72,36,48,81,9,40,58,47,29,99,97,67,22,56,94,6,72,29,94,59,71,92,42,33,41,33,59,100,18,47,82,46,45,48,23,82,3,77,53,22,22,90,70,77,57,88,20,65,94,23
k_1,43,57,82,33,6,13,28,61,37,28,16,56,86,61,36,9,7,95,88,46,47,84,37,27,64,99,16,59,58,54,11,34,86,29,40,61,57,23,74,70,62,75,15,4,49,99,35,22,44,69,12,99,47,21,27,5,89,65,24,49,37,74,82,95,4,48,3,11,86,34
k_2,22,2,62,1,54,18,56,1,8,75,96,81,67,66,96,97,29,94,33,47,62,23,70,40,34,38,74,46,21,20,91,75,67,56,86,75,9,19,20,66,26,57,65,54,92,25,19,5,40,31,43,3,73,17,73,86,43,72,51,72,89,3,12,75,15,35,82,40,81,1
k_3,19,61,97,65,79,17,66,73,70,22,73,44,39,1,26,77,18,4,55,37,74,73,60,40,82,74,70,38,40,95,95,81,77,62,52,67,40,68,72,81,71,47,65,81,7,70,47,66,60,89,32,19,52,10,61,41,51,20,81,85,42,60,99,72,18,54,27,36,60,22
k_4,47,17,77,11,78,70,97,18,85,55,34,84,58,15,6,87,83,89,53,93,20,87,15,38,37,95,96,20,37,10,10,41,83,32,44,37,85,11,66,4,7,95,13,95,14,91,1,72,53,17,29,53,91,63,60,93,91,57,70,65,58,96,53,28,36,95,65,1,34,3
k_5,25,74,40,25,72,70,39,74,39,14,8,59,24,18,77,11,51,35,21,12,7,93,55,11,6,72,48,56,21,73,91,78,9,89,59,94,80,47,81,10,58,25,95,77,39,35,11,82,6,25,79,43,39,22,48,74,79,87,40,39,68,77,62,34,6,31,17,83,60,81
k_6,41,77,73,83,79,61,98,3,26,2,31,53,41,64,41,61,41,76,99,56,31,79,65,75,44,38,52,68,94,58,64,17,58,29,81,37,69,49,2,75,91,86,35,92,62,42,96,92,77,44,84,89,6,10,1,13,50,52,87,18,19,95,67,13,48,89,50,68,62,3
k_7,38,58,62,66,67,46,62,49,62,27,97,83,94,24,47,60,75,15,17,8,88,8,48,42,48,97,10,57,95,78,93,50,6,34,89,90,67,16,37,40,36,56,25,59,62,59,20,3,47,17,72,86,52,2,11,81,2,12,12,80,16,33,32,26,6,67,77,60,76,51
k_8,2,83,18,61,64,53,11,58,58,55,50,100,35,98,52,69,6,53,35,14,65,84,56,24,13,60,4,37,14,96,63,52,41,66,56,100,54,21,38,59,91,83,8,8,17,39,45,52,85,2,89,56,58,55,31,84,35,77,9,55,23,96,50,15,12,44,50,44,60,71
k_9,89,62,76,62,17,35,22,85,86,94,37,86,43,59,89,15,23,20,33,19,26,36,27,12,80,47,41,29,63,47,12,56,71,15,13,43,25,59,65,56,4,40,60,38,97,22,71,27,82,43,13,1,16,26,56,62,56,27,49,1,65,32,98,85,17,55,23,16,76,31
k_10,1,56,64,38,80,45,63,49,11,85,13,70,52,14,37,35,75,88,82,31,87,30,38,22,40,3,87,51,59,80,77,43,8,96,96,72,18,97,83,70,92,87,20,71,58,89,85,64,66,66,31,55,93,73,36,76,1,83,6,81,27,25,24,42,22,49,15,32,99,77
k_11,41,2,27,23,64,63,65,32,6,57,38,19,43,86,4,58,4,54,48,84,82,71,23,27,2,19,72,44,73,83,31,97,81,38,11,36,71,11,1,33,12,74,45,56,64,44,19,77,16,10,39,39,97,34,76,73,35,69,56,23,48,89,77,97,37,66,19,2,69,11
k_12,26,23,42,62,35,14,85,7,67,40,60,76,45,33,50,37,99,82,19,8,79,39,18,59,1,58,11,29,91,57,31,68,18,56,69,44,14,47,46,83,47,24,85,14,71,42,20,5,91,63,46,31,18,76,15,92,95,68,56,54,93,9,91,38,49,40,16,53,23,4
k_13,92,43,75,21,35,91,73,58,18,2,69,14,10,3,26,70,6,93,35,95,27,79,60,25,7,61,96,3,54,2,11,90,10,53,19,29,82,29,16,51,66,93,1,60,9,14,74,87,60,51,43,38,73,45,89,45,4,31,79,14,69,80,83,72,91,27,91,90,98,35
k_14,95,59,40,100,1,30,6,16,33,46,31,19,73,12,46,27,31,9,17,92,59,48,100,68,7,30,53,28,37,30,13,80,84,42,80,15,65,33,30,10,50,31,37,3,33,31,72,74,31,24,82,13,64,80,79,58,50,62,66,39,1,50,43,67,73,50,31,61,35,36
k_15,11,85,97,9,6,97,88,79,38,96,59,90,15,36,68,62,20,99,91,79,71,3,66,18,81,100,16,5,58,26,9,15,90,72,34,92,63,51,8,81,85,57,77,50,75,90,36,61,56,67,91,32,67,5,90,22,89,25,58,80,97,27,96,89,78,74,75,50,87,20
k_16,25,71,94,67,78,12,63,65,38,10,3,14,77,45,24,46,73,54,8,18,52,3,20,76,16,8,81,20,57,50,30,29,7,15,55,16,97,4,62,26,68,28,7,46,40,87,95,22,3,88,57,8,9,99,49,72,80,50,37,93,26,35,70,34,50,62,81,77,10,76
k_17,91,5,95,73,32,53,34,83,46,98,12,13,48,18,41,89,62,29,36,79,7,98,86,94,87,90,61,72,14,5,77,83,86,24,81,95,62,92,23,16,76,61,22,78,68,29,70,45,40,47,47,16,86,39,46,91,33,85,36,47,94,58,29,83,34,36,1,48,4,30
k_18,95,18,98,65,92,47,17,33,4,5,57,92,92,17,64,95,97,77,30,83,88,59,88,97,73,100,68,98,72,7,58,44,46,97,76,23,74,66,9,49,21,23,36,42,38,25,48,91,38,78,27,7,2,99,99,61,46,43,68,74,44,29,52,20,5,21,2,42,71,40
k_19,18,39,16,79,10,25,88,92,3,63,79,20,78,61,6,87,23,2,39,63,70,76,19,31,33,76,7,96,37,76,59,88,43,61,23,27,68,45,76,88,97,91,95,48,5,48,92,79,54,48,57,92,6,70,35,70,41,90,28,69,18,59,40,26,62,71,74,46,62,62
k_20,67,6,30,22,17,93,39,35,3,43,10,68,88,80,13,40,34,71,58,36,49,13,33,82,96,80,74,71,4,16,52,81,8,79,13,5,18,42,5,75,21,50,85,40,30,89,48,63,64,98,77,100,28,61,26,83,61,63,15,68,18,67,57,98,7,25,91,43,32,13
k_21,24,86,50,55,59,47,18,49,15,14,18,62,11,28,99,67,34,98,69,32,89,72,42,1,84,37,12,60,52,90,13,74,14,74,19,76,44,4,13,9,23,51,73,55,87,84,74,68,53,99,10,63,88,39,70,100,16,40,15,97,10,34,11,46,58,14,16,48,73,60
k_22,35,41,93,81,67,39,29,90,67,19,11,52,11,53,61,3,25,15,7,85,82,27,73,63,22,61,94,20,98,76,85,30,72,67,36,79,82,80,34,54,60,21,24,88,13,90,62,6,73,72,80,86,56,99,8,76,62,97,27,8,57,49,90,87,81,49,56,47,11,4
k_23,58,66,12,53,53,44,64,94,84,86,50,43,38,73,88,55,27,88,33,48,60,23,38,70,52,26,37,6,1,43,66,16,78,97,52,96,45,96,53,35,75,3,63,73,22,84,51,47,79,53,67,50,29,1,26,46,89,33,85,10,71,1,27,27,42,27,94,19,13,16
k_24,12,99,29,94,59,77,18,48,45,97,41,58,84,24,64,78,44,59,5,15,74,9,84,47,47,23,17,33,28,71,51,48,95,8,17,12,72,16,28,92,57,65,57,91,63,46,55,82,72,47,78,5,87,15,78,3,70,63,57,65,28,43,82,19,72,99,60,9,68,33
k_25,8,1,58,25,21,27,13,56,56,34,24,61,9,96,84,78,72,94,68,79,3,99,96,91,73,79,95,79,71,58,34,49,25,26,98,86,57,37,20,100,31,64,48,52,8,2,12,12,16,12,17,50,78,97,94,82,90,14,34,53,72,17,19,76,59,10,46,32,82,88
k_26,96,14,54,2,17,33,73,33,48,74,81,2,55,82,81,100,7,21,50,42,37,51,76,43,85,100,54,98,94,50,16,51,90,49,66,92,99,99,98,16,79,11,73,82,73,64,48,36,86,82,74,14,84,96,45,90,2,8,23,58,49,98,52,44,19,31,11,61,85,34
k_27,22,73,26,26,22,79,75,93,27,92,85,75,43,27,86,24,75,12,31,39,59,90,95,80,88,6,44,92,91,94,19,22,87,57,70,83,17,63,24,50,27,60,54,73,78,82,58,71,42,65,91,32,40,62,23,45,54,60,34,6,7,39,20,70,46,65,76,41,42,10
k_28,76,22,35,90,24,41,16,71,61,63,3,35,21,97,26,12,89,70,13,14,97,85,8,26,58,84,14,65,45,67,83,7,35,20,100,91,74,46,32,71,25,14,14,92,34,50,39,94,83,61,99,86,39,63,99,58,79,21,19,7,23,42,55,19,94,77,84,33,12,43
k_29,71,11,29,61,91,42,86,97,99,65,81,54,67,42,67,24,92,92,59,43,45,46,3,10,58,94,96,46,33,76,70,89,13,22,35,76,3,76,45,70,90,5,91,65,95,40,38,50,73,76,83,66,81,7,12,86,82,94,76,19,98,49,92,55,43,18,88,88,98,75
k_30,73,63,47,70,93,69,18,81,9,34,79,35,31,55,95,100,26,91,62,28,56,96,13,57,8,97,16,24,38,76,27,83,62,65,52,49,54,86,30,11,71,24,98,9,17,64,59,71,19,75,46,51,88,94,59,93,95,35,28,62,44,36,76,48,22,21,64,75,59,8
k_31,18,89,90,68,40,91,11,97,100,26,35,100,47,78,91,84,1,90,50,23,56,3,7,81,48,15,35,64,26,88,36,13,93,71,99,86,38,38,39,43,99,81,61,34,51,69,18,33,81,49,99,96,97,18,33,41,24,44,26,96,85,14,9,93,71,78,81,76,32,72
k_32,11,28,73,32,20,13,76,26,37,80,91,92,9,9,56,79,11,91,99,80,27,20,25,44,67,91,53,68,43,37,44,42,39,36,15,67,61,3,4,59,24,33,66,29,10,10,8,60,27,49,93,46,59,36,12,70,82,33,78,63,15,3,20,92,55,16,58,12,95,88
k_33,15,40,77,44,5,41,78,78,2,31,93,70,42,26,98,27,85,6,59,41,34,2,72,45,48,69,73,44,12,11,12,53,80,28,63,57,86,81,50,68,53,29,15,46,10,16,97,86,92,64,49,32,87,58,82,23,1,98,84,78,12,100,71,87,82,25,61,44,54,13
k_34,76,39,19,60,84,3,35,32,59,56,92,78,17,34,25,42,72,62,5,25,21,37,69,4,56,2,81,59,99,8,21,52,45,23,89,46,74,64,42,79,100,57,29,38,60,55,44,78,35,4,54,37,23,17,65,72,13,66,78,33,32,93,29,97,38,4,85,2,43,26
k_35,2,78,48,25,51,30,97,99,83,16,66,24,99,48,47,11,75,34,8,79,24,37,61,20,9,28,2,48,7,21,57,68,93,87,98,80,33,54,71,75,78,7,78,28,6,48,45,21,22,51,45,46,42,73,17,94,89,53,52,57,50,72,11,33,80,89,92,9,74,71
k_36,42,17,99,63,66,41,10,22,90,31,49,54,6,46,45,91,40,24,82,50,44,27,56,19,14,29,28,69,10,61,6,100,82,79,82,22,35,44,49,11,6,57,21,37,79,58,79,70,11,61,11,40,7,58,29,67,1,55,89,24,13,22,69,15,44,10,66,66,42,30
k_37,78,46,66,46,89,50,41,83,44,6,10,47,89,37,81,89,51,31,21,87,49,59,65,58,100,70,2,53,78,79,65,30,80,86,54,47,27,74,54,29,18,74,20,84,42,36,97,12,44,89,69,26,80,62,23,1,15,88,21,98,10,11,71,34,65,46,92,81,76,32
k_38,4,22,75,38,24,86,12,68,43,21,100,71,5,42,60,70,69,91,36,51,22,97,1,60,46,10,48,31,63,88,14,22,67,24,65,84,30,68,47,22,87,36,45,74,16,58,58,45,12,55,75,91,91,74,24,43,9,94,97,29,85,57,50,97,95,72,60,70,43,42
k_39,94,97,32,10,59,35,16,66,71,13,78,88,2,77,37,70,11,91,90,35,58,51,30,43,56,85,29,85,69,27,29,9,3,95,24,62,68,43,66,72,76,49,98,93,47,74,22,42,85,88,64,42,3,27,98,58,23,89,23,4,61,66,52,62,18,38,96,69,82,23
k_40,95,60,83,19,32,14,21,74,4,39,93,56,95,25,18,71,41,16,8,46,41,89,45,48,60,27,29,22,77,82,18,92,81,60,35,77,31,65,19,18,96,66,18,32,72,80,93,19,71,14,91,31,84,89,67,82,58,68,88,81,55,44,90,81,28,88,95,8,90,92
k_41,61,22,86,11,14,28,92,57,39,4,30,83,36,25,43,43,59,6,77,82,45,51,49,34,6,84,7,99,35,8,80,76,18,86,55,91,66,54,92,1,46,97,32,30,75,58,3,35,65,97,54,72,84,44,36,53,64,17,66,51,1,38,37,6,99,74,65,22,17,62
k_42,84,51,42,41,2,29,72,90,62,85,49,93,63,59,33,84,58,3,66,54,13,18,98,5,78,46,88,31,1,68,91,83,73,47,86,41,38,62,95,64,20,36,87,41,47,57,44,40,58,82,72,66,7,26,3,46,95,84,45,36,97,71,81,48,39,84,33,59,6,52
k_43,81,44,90,22,44,37,58,51,43,60,53,89,7,18,30,89,95,52,6,19,87,12,89,11,17,26,1,40,83,67,65,55,42,25,64,55,20,2,59,1,4,70,26,75,85,41,77,52,54,82,59,21,85,24,100,6,58,99,27,18,83,30,68,98,24,30,17,56,84,60
k_44,16,1,53,75,30,47,93,28,65,19,75,82,95,38,19,19,53,97,22,58,76,15,34,14,89,6,4,58,12,86,74,28,79,3,21,87,95,78,74,75,60,26,44,21,43,28,3,62,38,42,98,12,98,13,40,73,4,29,25,58,92,46,32,21,68,80,28,35,92,45
k_45,51,4,73,64,43,99,16,15,100,9,36,44,50,89,54,11,42,24,5,7,77,3,17,18,62,39,45,32,20,57,37,35,87,18,75,15,56,13,73,55,30,49,7,37,61,20,42,41,21,2,80,56,46,77,78,27,28,18,21,95,64,38,62,10,49,68,82,25,2,28
k_46,13,63,5,76,33,93,36,72,4,36,85,100,74,90,55,6,49,22,98,25,54,6,82,79,27,76,76,29,62,36,56,68,89,72,83,43,69,67,13,22,1,63,93,100,6,74,88,73,52,49,75,19,63,28,7,69,70,3,20,55,81,53,58,23,13,31,76,57,5,98
k_47,83,79,90,58,48,40,32,77,47,24,30,50,30,54,35,6,36,24,76,70,6,75,66,32,3,1,4,22,2,36,18,36,4,39,88,77,22,13,64,11,42,2,35,97,43,92,64,64,70,31,24,68,55,16,10,31,45,92,84,30,27,57,18,97,22,8,77,14,33,56
k_48,83,62,95,52,61,84,44,11,9,57,51,65,6,70,34,22,92,25,64,70,75,6,30,56,27,32,80,91,85,60,64,84,61,81,1,62,45,63,70,35,7,97,62,22,87,67,33,57,56,66,46,39,80,43,46,32,36,56,33,93,17,67,53,86,72,56,65,20,95,82
k_49,29,43,69,53,38,73,6,18,69,60,27,31,42,74,71,37,44,26,11,64,95,40,82,39,100,82,66,57,85,35,96,59,47,68,44,95,18,89,39,64,34,41,90,33,91,88,29,55,96,28,20,94,84,81,12,13,89,48,86,13,40,8,69,71,84,76,89,92,6,30
k_50,48,59,3,21,62,40,19,47,15,73,85,21,67,80,22,46,4,97,100,58,52,16,63,49,12,39,24,3,99,90,40,6,100,68,67,1,91,34,14,5,5,19,98,68,28,56,62,19,48,2,91,91,55,77,6,50,2,34,90,61,74,11,67,36,1,2,22,41,71,37
k_51,82,31,17,62,46,20,31,54,2,71,66,44,74,27,82,61,51,7,15,36,50,26,36,90,49,73,9,50,71,53,13,72,11,7,60,19,56,47,43,16,47,95,90,66,65,23,97,57,53,24,27,42,10,35,44,36,94,12,21,24,67,20,71,11,14,19,92,74,95,45
k_52,14,36,45,93,77,67,42,88,77,56,18,28,29,41,50,22,67,77,6,45,21,63,85,1,88,61,66,57,83,100,81,50,5,18,49,37,25,33,49,18,88,54,27,51,70,94,51,8,64,88,68,56,1,81,60,29,23,30,94,33,26,58,71,56,59,22,53,53,35,2
k_53,97,80,31,52,39,19,86,25,51,97,81,33,47,76,47,60,88,6,9,89,13,84,47,27,61,70,96,57,68,78,84,45,1,6,80,65,32,32,83,78,96,38,78,46,80,19,99,75,26,39,43,32,46,11,4,1,61,44,68,41,65,95,42,49,39,17,42,69,29,53
k_54,34,2,40,43,9,74,94,19,59,70,27,20,13,18,52,39,69,5,78,14,74,85,51,46,94,87,43,73,84,98,9,84,29,98,21,87,21,56,94,49,42,43,4,69,92,37,65,56,37,11,99,77,54,17,89,39,13,73,2,35,23,89,4,9,12,18,56,95,40,79
k_55,34,45,20,40,26,83,39,87,90,26,68,60,14,92,30,77,3,49,24,25,57,98,8,78,6,70,10,73,64,49,86,5,5,85,97,39,62,71,69,81,11,46,5,65,32,3,1,38,88,70,50,19,82,90,92,52,21,35,98,27,28,47,98,45,4,13,30,49,76,40
k_56,92,36,79,51,52,95,29,58,98,44,32,36,98,54,2,23,26,23,44,28,58,20,25,76,96,11,49,75,63,82,95,85,97,7,52,1,39,6,70,59,72,86,79,21,52,59,92,98,41,99,84,9,4,47,15,64,21,82,14,69,27,14,1,55,78,49,71,28,41,82
k_57,34,40,81,91,42,65,11,21,4,4,74,89,83,69,26,42,63,45,95,68,32,58,77,27,15,68,93,72,45,38,75,11,50,72,6,67,58,28,98,34,52,79,80,36,46,77,59,96,42,14,48,48,8,20,53,19,61,84,97,52,79,57,40,31,80,53,5,78,70,64
k_58,29,77,79,53,3,47,42,44,1,48,46,11,47,40,96,36,95,84,29,90,66,80,92,80,51,5,23,83,27,87,68,95,96,43,92,25,41,74,14,80,91,77,100,70,73,58,86,58,44,16,73,44,1,2,62,97,69,46,70,89,78,27,84,36,82,59,42,23,36,91
k_59,5,99,100,65,89,37,13,1,15,17,82,85,90,43,5,87,18,65,97,93,77,64,3,24,26,55,83,66,69,18,47,35,97,2,67,44,83,64,47,69,94,77,30,43,32,10,51,80,77,11,70,85,29,32,1,55,89,13,14,84,76,46,41,4,79,35,11,6,59,50
k_60,84,19,4,16,54,44,6,99,53,16,44,27,46,65,2,47,7,24,35,81,5,41,95,71,3,71,85,27,86,89,87,30,33,4,57,85,84,58,20,96,82,77,48,60,76,34,54,75,38,53,37,34,67,84,72,72,40,5,67,91,21,34,58,33,59,43,90,34,57,96
