id,origin,destination,demand,release_time,deadline
k_0,node_13,node_0,79,0,52
k_1,node_8,node_16,75,0,19
k_2,node_7,node_13,7,0,39
k_3,node_11,node_13,49,0,13
k_4,node_5,node_13,85,0,19
k_5,node_10,node_16,58,0,28
k_6,node_7,node_1,17,0,44
k_7,node_14,node_13,78,0,31
k_8,node_5,node_7,2,0,35
k_9,node_19,node_14,38,0,56
k_10,node_14,node_11,10,0,21
k_11,node_2,node_16,26,0,66
k_12,node_5,node_2,5,0,14
k_13,node_9,node_6,33,0,67
k_14,node_10,node_13,74,0,74
k_15,node_13,node_4,49,0,34
k_16,node_2,node_14,87,0,18
k_17,node_16,node_4,94,0,64
k_18,node_4,node_15,35,0,45
k_19,node_5,node_3,37,0,15
k_20,node_10,node_1,91,0,77
k_21,node_15,node_6,36,0,36
k_22,node_13,node_7,52,0,41
k_23,node_4,node_8,13,0,69
k_24,node_9,node_4,93,0,28
k_25,node_19,node_12,66,0,49
k_26,node_7,node_2,54,0,28
k_27,node_14,node_13,61,0,28
k_28,node_18,node_5,45,0,33
k_29,node_15,node_11,58,0,36
k_30,node_10,node_17,55,0,62
k_31,node_5,node_11,89,0,16
k_32,node_7,node_11,47,0,35
k_33,node_13,node_14,23,0,29
k_34,node_16,node_13,31,0,64
k_35,node_13,node_2,25,0,19
k_36,node_9,node_2,100,0,11
k_37,node_15,node_16,4,0,42
k_38,node_1,node_15,37,0,34
k_39,node_17,node_16,31,0,68
k_40,node_4,node_11,31,0,24
k_41,node_7,node_14,5,0,39
k_42,node_13,node_0,39,0,52
k_43,node_15,node_9,70,0,35
k_44,node_17,node_8,84,0,56
k_45,node_19,node_7,59,0,26
k_46,node_1,node_7,11,0,33
k_47,node_6,node_12,24,0,33
k_48,node_6,node_2,54,0,45
k_49,node_17,node_7,65,0,31
k_50,node_15,node_16,37,0,40
k_51,node_5,node_11,89,0,14
k_52,node_1,node_17,91,0,12
k_53,node_12,node_7,80,0,31
k_54,node_3,node_11,38,0,14
k_55,node_7,node_13,45,0,42
k_56,node_19,node_7,40,0,27
k_57,node_1,node_6,5,0,65
k_58,node_9,node_2,7,0,10
k_59,node_9,node_2,71,0,15
k_60,node_2,node_4,66,0,23
k_61,node_17,node_0,84,0,40
k_62,node_10,node_12,7,0,46
k_63,node_14,node_6,34,0,72
k_64,node_6,node_13,90,0,59
k_65,node_14,node_16,95,0,79
k_66,node_17,node_12,42,0,23
k_67,node_4,node_16,96,0,78
k_68,node_3,node_6,92,0,61
k_69,node_16,node_12,42,0,35
k_70,node_15,node_8,33,0,32
k_71,node_14,node_12,4,0,35
k_72,node_14,node_17,13,0,19
k_73,node_10,node_15,47,0,43
k_74,node_12,node_15,97,0,17
k_75,node_2,node_15,38,0,30
k_76,node_2,node_9,15,0,13
k_77,node_14,node_4,96,0,35
k_78,node_8,node_6,18,0,12
k_79,node_19,node_5,72,0,50
k_80,node_10,node_16,70,0,31
k_81,node_4,node_8,17,0,68
k_82,node_6,node_3,61,0,44
k_83,node_12,node_17,1,0,22
k_84,node_12,node_17,85,0,24
k_85,node_3,node_11,27,0,15
k_86,node_4,node_6,95,0,75
k_87,node_8,node_1,70,0,67
k_88,node_15,node_12,18,0,15
k_89,node_6,node_13,85,0,55
k_90,node_10,node_3,47,0,62
k_91,node_16,node_0,80,0,67
k_92,node_6,node_0,21,0,63
k_93,node_13,node_16,99,0,74
k_94,node_2,node_8,80,0,57
k_95,node_18,node_2,33,0,29
k_96,node_13,node_15,67,0,41
k_97,node_19,node_14,32,0,56
k_98,node_6,node_14,1,0,56
k_99,node_14,node_13,31,0,29
