commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_60,e_61,e_62,e_63,e_64,e_7,e_8,e_9
k_0,25,24,71,45,10,66,52,63,64,84,36,30,48,44,75,57,63,86,27,96,37,4,49,25,87,99,57,37,67,16,80,47,26,81,69,76,72,67,93,64,87,63,56,24,95,57,31,50,23,1,45,1,70,96,24,32,54,53,80,20,5,11,9,49,27
k_1,66,55,26,99,84,52,97,76,55,96,25,78,63,9,18,28,11,46,61,66,17,41,56,2,71,20,27,80,28,7,13,22,39,10,6,25,95,79,77,94,26,74,97,43,76,12,44,78,45,40,70,91,52,23,15,34,6,20,42,6,58,40,55,1,92
k_2,21,36,100,72,84,4,60,95,61,99,10,2,2,62,82,17,35,98,92,32,77,56,23,36,20,75,78,25,42,14,87,45,57,70,64,74,45,7,39,24,3,46,77,18,53,5,13,27,91,31,8,23,6,33,9,39,97,42,18,35,9,49,19,8,8
k_3,14,61,22,40,25,76,41,54,6,31,85,44,15,79,25,49,23,51,63,18,15,1,95,17,37,17,74,53,76,22,100,20,73,7,95,21,88,17,62,53,17,1,78,7,95,20,42,1,39,53,91,10,39,55,3,73,79,26,43,86,98,91,28,2,98
k_4,32,23,69,84,32,28,20,65,40,54,75,61,60,5,83,54,27,14,16,27,64,34,90,34,38,38,76,54,14,95,30,96,76,65,16,95,4,9,67,87,1,62,47,80,36,44,43,95,7,38,79,53,6,53,87,31,29,90,48,27,52,32,14,28,68
k_5,24,91,64,4,28,55,60,14,19,49,60,22,40,96,99,13,46,32,57,3,4,55,25,59,62,73,85,4,39,53,59,38,1,57,17,91,21,74,89,56,83,16,89,61,27,1,36,26,72,84,63,87,82,79,17,87,40,51,19,40,11,64,55,2,22
k_6,66,99,73,74,95,76,53,88,40,29,3,62,44,58,94,20,40,26,7,78,53,29,92,63,24,14,31,16,45,8,76,86,94,3,71,43,19,39,56,40,81,94,59,68,86,85,65,31,7,21,28,23,26,18,100,96,56,51,15,83,10,47,71,88,31
k_7,49,55,62,74,50,1,40,97,18,71,97,68,39,72,29,16,98,26,47,1,37,74,33,84,95,38,33,93,16,11,56,88,86,13,71,10,44,58,82,52,19,15,82,82,7,27,39,84,35,97,84,41,27,40,90,43,98,4,48,75,47,99,72,60,91
k_8,13,9,81,10,56,67,13,91,19,18,22,28,72,30,83,42,22,64,45,79,43,86,39,5,84,94,11,79,97,76,73,87,53,91,60,27,25,66,71,34,10,51,52,18,98,52,48,21,18,70,86,33,36,42,66,43,66,79,5,35,2,86,24,29,70
k_9,91,67,42,80,89,70,81,100,42,96,86,56,94,56,41,12,34,68,34,84,58,89,87,17,8,70,99,69,79,55,54,100,31,78,76,58,2,94,64,84,80,78,64,23,88,30,80,33,1,78,84,16,59,32,77,43,54,15,68,32,17,19,8,73,69
k_10,13,33,73,46,93,84,94,83,20,62,43,86,10,36,85,95,1,92,13,23,45,51,43,47,18,92,17,66,97,81,98,40,93,95,96,1,22,51,12,100,65,94,62,89,75,93,84,27,18,44,99,85,43,94,9,68,92,18,55,73,75,79,35,43,65
k_11,9,11,19,42,55,2,89,42,26,68,68,23,75,98,24,74,3,35,23,57,100,74,82,2,57,22,27,57,23,46,5,79,18,40,60,35,69,24,2,83,79,31,52,38,43,34,68,85,76,30,58,71,77,8,25,43,46,49,89,67,72,91,44,89,32
k_12,40,87,84,73,43,98,76,89,9,32,81,26,54,45,100,13,27,29,16,68,92,40,33,84,79,6,80,4,20,43,80,75,29,34,1,19,41,93,24,97,18,9,48,44,90,12,82,40,11,9,34,3,3,53,44,90,72,23,72,37,8,77,13,48,69
k_13,38,95,78,73,41,50,1,15,17,12,83,14,60,24,71,40,74,61,36,71,18,17,80,63,59,28,68,34,14,80,49,71,17,32,72,20,67,88,7,29,76,41,16,41,20,26,36,68,93,9,32,49,87,83,46,40,80,100,10,23,20,57,59,40,65
k_14,32,21,33,43,91,47,40,55,73,70,10,67,73,23,96,13,77,90,96,14,14,8,28,71,63,87,25,42,14,63,5,30,24,76,72,77,8,48,28,60,17,80,29,53,39,28,45,63,46,84,17,81,69,14,43,34,46,6,60,80,23,6,99,20,6
k_15,3,96,100,41,57,36,54,65,96,56,9,62,2,9,95,74,97,68,71,46,91,25,83,17,69,91,78,7,93,15,46,68,99,48,86,12,64,78,83,23,18,93,2,57,14,41,90,69,17,84,94,43,76,47,41,13,76,61,55,82,10,72,46,56,31
k_16,2,19,88,59,71,38,37,17,54,50,99,53,1,8,90,46,19,84,93,100,49,61,72,34,77,85,1,89,49,54,27,79,88,82,15,3,36,55,58,8,54,83,81,44,94,5,73,82,10,43,29,77,13,58,70,53,1,70,100,7,72,21,77,38,53
k_17,34,1,4,13,23,93,81,48,51,67,22,22,29,72,94,65,11,9,99,99,67,55,80,100,92,65,78,16,22,36,1,4,88,6,91,10,38,97,85,84,34,34,49,41,63,17,97,57,63,57,59,24,88,19,8,11,8,43,8,31,16,28,15,60,72
k_18,58,64,60,51,66,83,66,88,59,57,19,93,89,18,25,94,43,9,15,40,95,39,31,88,27,96,13,43,36,50,34,43,18,60,57,61,82,44,26,1,12,78,7,45,56,26,52,87,9,78,80,69,45,51,81,49,41,84,47,76,11,67,15,77,57
