id,origin,destination,demand,release_time,deadline
k_0,node_7,node_11,6,0,45
k_1,node_13,node_6,10,0,53
k_2,node_10,node_15,87,0,50
k_3,node_19,node_1,8,0,91
k_4,node_12,node_7,24,0,32
k_5,node_18,node_6,49,0,55
k_6,node_10,node_5,6,0,49
k_7,node_8,node_17,77,0,67
k_8,node_4,node_6,79,0,16
k_9,node_10,node_0,37,0,17
k_10,node_8,node_9,42,0,43
k_11,node_4,node_15,6,0,10
k_12,node_12,node_2,17,0,61
k_13,node_19,node_17,80,0,54
k_14,node_11,node_5,23,0,38
k_15,node_17,node_1,50,0,124
k_16,node_18,node_4,39,0,43
k_17,node_7,node_5,50,0,59
k_18,node_4,node_3,84,0,30
k_19,node_12,node_5,93,0,48
k_20,node_10,node_12,29,0,9
k_21,node_0,node_17,19,0,15
k_22,node_10,node_5,63,0,49
k_23,node_18,node_15,44,0,44
k_24,node_14,node_19,81,0,36
k_25,node_3,node_0,87,0,34
k_26,node_2,node_1,27,0,43
k_27,node_13,node_10,78,0,27
k_28,node_14,node_16,81,0,18
k_29,node_11,node_9,75,0,24
k_30,node_16,node_15,46,0,44
k_31,node_4,node_14,47,0,48
k_32,node_7,node_6,92,0,69
k_33,node_7,node_4,15,0,57
k_34,node_7,node_17,54,0,30
k_35,node_3,node_15,98,0,33
k_36,node_12,node_8,5,0,45
k_37,node_11,node_3,4,0,18
k_38,node_7,node_11,20,0,42
k_39,node_7,node_0,66,0,27
k_40,node_19,node_14,72,0,47
k_41,node_17,node_0,73,0,15
k_42,node_16,node_6,45,0,51
k_43,node_0,node_10,40,0,37
k_44,node_10,node_3,51,0,26
k_45,node_17,node_0,67,0,14
k_46,node_3,node_9,18,0,14
k_47,node_7,node_17,5,0,32
k_48,node_0,node_14,94,0,72
k_49,node_17,node_8,73,0,80
k_50,node_0,node_13,55,0,55
k_51,node_16,node_9,92,0,14
k_52,node_18,node_2,26,0,55
k_53,node_7,node_8,92,0,58
k_54,node_18,node_15,60,0,44
k_55,node_3,node_2,45,0,42
k_56,node_11,node_5,49,0,40
k_57,node_14,node_17,60,0,50
k_58,node_14,node_2,49,0,49
k_59,node_10,node_11,34,0,31
k_60,node_11,node_19,10,0,22
k_61,node_16,node_6,26,0,50
k_62,node_16,node_17,36,0,54
k_63,node_8,node_15,100,0,61
k_64,node_4,node_9,69,0,36
k_65,node_4,node_1,82,0,48
k_66,node_8,node_7,84,0,77
k_67,node_8,node_0,28,0,60
k_68,node_15,node_11,5,0,45
k_69,node_12,node_13,81,0,28
k_70,node_17,node_12,15,0,44
k_71,node_16,node_19,41,0,40
k_72,node_15,node_9,88,0,40
k_73,node_3,node_12,33,0,26
k_74,node_7,node_15,1,0,58
k_75,node_19,node_1,88,0,89
k_76,node_3,node_6,55,0,40
k_77,node_9,node_3,38,0,16
k_78,node_13,node_9,39,0,26
k_79,node_16,node_5,75,0,16
k_80,node_9,node_1,21,0,74
k_81,node_19,node_4,87,0,52
k_82,node_19,node_6,72,0,59
k_83,node_15,node_9,40,0,37
k_84,node_16,node_1,76,0,77
k_85,node_4,node_1,93,0,46
k_86,node_18,node_13,34,0,13
k_87,node_0,node_11,92,0,61
k_88,node_16,node_7,61,0,61
k_89,node_11,node_17,26,0,47
k_90,node_17,node_13,85,0,63
k_91,node_10,node_13,37,0,28
k_92,node_4,node_5,54,0,52
k_93,node_9,node_13,81,0,26
k_94,node_9,node_8,53,0,23
k_95,node_11,node_14,47,0,35
k_96,node_7,node_0,29,0,27
k_97,node_4,node_1,79,0,46
k_98,node_4,node_0,96,0,56
k_99,node_8,node_1,40,0,96
