commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_7,e_8,e_9
k_0,95,95,83,18,2,32,10,67,85,99,1,90,62,8,83,25,65,44,18,76,72,56,62,79,41,97,91,76,74,52,26,56,53,31,24,44,47,20,92,73,71,80,46,11,100,94,8,30,15,14,92,10,12,2,73,87,63,5,83,16
k_1,82,49,53,41,15,83,69,55,67,81,68,26,13,27,52,30,14,86,79,21,57,41,26,5,53,42,69,37,58,23,88,94,55,73,62,14,40,100,91,93,15,2,53,5,40,55,47,82,56,49,66,10,79,80,39,29,88,84,71,92
k_2,79,33,12,81,82,97,94,89,38,88,75,10,26,41,48,52,77,49,39,16,91,6,33,79,73,85,3,94,9,96,22,61,51,95,90,46,56,59,3,30,51,100,93,95,26,70,25,15,61,4,78,61,95,27,87,73,62,48,96,100
k_3,58,83,58,59,59,72,25,11,27,34,1,71,33,61,88,95,86,16,23,29,13,27,12,88,95,81,87,93,19,98,74,88,53,15,20,41,76,88,60,44,19,21,54,15,16,75,92,6,25,83,65,1,58,79,81,41,41,30,38,25
k_4,45,28,6,44,49,70,52,54,32,45,90,95,80,58,45,50,89,70,29,91,10,41,57,65,14,81,67,45,67,31,79,5,40,53,45,27,76,33,29,55,90,38,36,85,69,85,90,14,79,5,19,56,10,51,15,20,91,9,14,73
k_5,10,43,76,85,96,99,100,83,17,38,22,30,21,77,81,7,32,52,99,13,64,62,91,68,72,59,18,51,32,26,40,66,72,47,90,99,58,54,98,21,75,13,89,97,40,61,57,39,89,35,43,4,82,99,66,16,40,1,6,6
k_6,85,35,54,48,94,90,82,73,51,3,75,42,19,90,5,24,87,87,8,92,41,48,52,81,45,75,40,51,83,98,9,64,43,53,29,9,23,95,88,15,62,4,56,83,79,25,45,25,73,75,8,33,33,99,43,75,38,79,92,68
k_7,17,57,50,80,4,87,9,48,25,84,91,72,40,40,96,65,91,79,41,60,74,20,24,80,4,68,85,19,20,35,48,53,73,9,70,94,14,17,20,41,53,24,16,53,90,55,48,6,15,82,48,26,81,63,60,60,41,59,27,72
k_8,64,72,87,87,66,70,80,36,35,17,100,52,86,49,9,10,89,83,63,57,78,78,57,34,45,34,28,51,66,44,11,76,93,29,74,4,60,57,85,84,59,13,57,54,13,94,58,33,48,99,71,33,75,16,38,17,77,88,44,97
k_9,10,91,12,49,24,72,87,59,65,30,3,49,59,67,16,35,29,64,17,17,15,16,48,73,2,64,65,39,6,44,77,85,90,33,24,23,11,53,71,28,74,57,43,70,30,4,30,14,29,55,21,11,53,68,94,61,48,54,37,56
k_10,58,37,45,68,6,4,8,34,92,26,3,86,49,1,62,93,45,70,94,44,39,93,14,94,26,13,75,53,47,12,16,43,53,60,20,95,14,14,8,79,77,57,53,26,91,26,93,55,28,2,1,25,97,21,36,47,2,75,14,25
k_11,55,85,15,70,1,20,21,35,97,60,36,53,94,98,8,46,66,67,91,24,12,78,46,20,85,30,95,52,26,80,48,94,97,78,61,13,97,38,3,5,57,68,23,68,67,70,53,8,70,48,61,81,54,91,92,52,16,95,35,42
k_12,17,29,9,13,69,9,99,36,18,88,23,69,43,47,10,29,52,24,53,15,55,15,29,30,90,83,77,15,43,5,85,41,78,12,25,42,16,42,7,61,16,70,69,62,30,73,79,67,91,31,40,82,92,78,16,9,26,64,98,35
k_13,67,97,14,84,27,10,53,32,59,82,82,92,15,31,3,54,61,4,24,5,1,7,82,90,73,35,49,80,54,41,52,85,59,96,42,88,30,3,65,82,58,82,1,19,17,68,20,85,60,62,93,40,100,20,65,24,98,94,41,65
k_14,35,28,46,35,62,3,83,80,14,91,4,96,69,1,10,55,34,53,14,91,10,78,51,56,53,85,69,78,13,75,71,87,19,23,12,62,78,57,81,29,68,42,72,2,49,22,66,44,97,63,55,69,82,84,20,14,13,86,21,20
k_15,38,75,79,67,3,70,97,53,99,16,17,73,59,100,31,24,89,63,17,27,80,24,29,1,86,88,52,21,37,96,34,53,39,84,81,70,30,48,7,6,77,73,2,29,90,99,17,38,15,39,63,36,33,58,1,81,90,87,64,22
k_16,35,1,58,52,22,96,11,56,80,6,44,61,53,21,74,75,80,9,41,91,38,35,32,97,48,50,76,10,5,74,29,11,92,70,50,60,79,53,7,34,47,44,47,97,97,41,91,14,77,24,7,95,39,5,72,96,68,42,9,72
k_17,97,23,81,78,93,14,46,77,48,89,73,50,83,93,7,55,9,73,20,86,79,67,32,55,1,86,9,74,87,19,7,31,63,58,39,87,17,83,10,13,42,91,46,58,97,52,40,58,58,100,78,39,89,42,40,82,31,84,65,11
k_18,12,3,66,54,60,94,37,45,46,71,24,73,59,79,69,81,35,98,74,92,23,64,67,33,56,66,90,90,5,89,69,27,91,70,8,64,14,50,78,100,95,13,47,88,92,47,74,61,66,73,100,47,20,84,53,24,64,22,70,90
k_19,100,50,69,19,62,15,20,61,89,12,79,71,23,62,25,90,67,3,8,88,16,11,100,68,67,5,70,57,26,100,23,6,83,63,11,12,98,54,45,20,53,36,99,51,19,14,6,100,34,79,41,17,94,47,41,40,19,10,59,56
k_20,36,82,55,23,64,85,31,25,61,13,41,52,43,1,43,88,98,14,54,76,79,15,84,84,58,80,39,47,22,92,16,77,1,61,87,5,59,18,78,7,74,95,92,31,13,37,55,94,44,50,59,14,45,35,69,17,57,15,98,53
k_21,16,1,43,88,57,89,69,55,60,12,8,67,69,27,32,45,9,13,95,85,91,5,71,58,34,85,42,76,39,1,34,60,5,8,96,92,75,40,70,43,84,98,42,92,31,44,11,13,56,72,10,56,62,75,5,95,66,27,85,80
k_22,65,59,24,21,10,76,35,45,15,49,56,10,9,74,9,82,82,92,49,87,64,18,28,66,67,57,67,3,1,91,90,74,14,29,98,81,30,71,21,50,58,55,27,22,56,91,93,83,26,86,64,57,67,49,9,82,1,72,9,91
k_23,53,10,88,80,14,77,91,27,11,8,27,12,41,91,16,23,86,96,18,34,27,61,69,23,60,43,32,94,93,89,33,89,45,88,28,40,49,80,45,25,96,67,72,12,84,97,35,28,25,39,13,77,45,78,71,45,65,26,73,87
k_24,97,4,86,38,42,41,80,1,29,35,34,65,8,81,6,8,36,65,67,5,63,4,8,74,83,47,15,91,52,39,36,65,3,13,53,10,57,55,43,2,86,23,14,24,31,46,83,41,94,6,96,19,73,18,4,53,15,49,38,23
k_25,95,40,93,76,49,50,72,35,65,53,5,9,35,85,99,70,41,75,50,10,83,19,66,91,63,58,64,28,30,66,45,58,36,79,13,61,58,30,34,11,98,63,63,92,42,88,12,52,95,51,37,84,92,85,62,42,10,41,67,76
k_26,43,94,61,99,90,55,4,78,80,12,46,88,36,21,19,86,4,61,28,82,3,93,79,99,40,98,86,48,17,89,53,35,76,60,88,49,73,46,39,17,78,27,84,69,60,39,52,78,17,27,21,90,33,3,5,42,86,23,96,56
k_27,91,67,18,88,26,79,20,80,39,56,89,1,85,62,29,24,87,70,40,81,91,71,60,49,4,11,25,32,76,20,56,24,36,69,19,22,57,4,59,29,14,30,63,55,96,33,62,95,24,76,60,26,1,9,62,58,11,93,7,79
k_28,27,24,59,12,82,63,21,3,45,96,34,98,91,47,62,66,22,4,97,92,8,25,11,74,18,64,68,53,62,46,38,76,17,12,23,47,48,3,50,87,44,85,56,83,3,46,79,43,16,6,34,28,4,72,18,54,44,43,30,33
k_29,36,40,72,34,63,81,48,24,98,93,48,9,59,6,9,48,89,29,14,86,87,59,57,100,96,90,83,33,82,58,84,13,9,68,3,40,51,13,59,28,11,78,32,17,83,56,6,3,98,5,92,3,97,34,11,68,66,45,81,56
k_30,55,100,72,98,4,83,96,24,61,100,99,69,64,40,44,13,82,3,39,35,99,24,99,49,49,20,78,4,85,7,34,4,27,27,60,27,54,65,57,74,25,9,32,93,22,97,38,25,95,62,1,56,66,4,18,71,82,42,89,43
k_31,9,50,42,28,45,73,79,100,42,51,86,80,45,20,56,5,97,12,32,69,34,68,84,8,57,76,20,73,25,20,29,18,86,18,73,61,77,5,66,49,5,38,69,86,57,54,54,27,15,9,100,46,8,82,75,33,93,89,98,8
k_32,23,6,95,82,25,68,93,85,91,82,50,70,32,70,53,5,53,16,27,77,20,4,30,20,75,21,29,38,28,37,86,62,100,18,16,5,86,98,97,42,92,74,8,32,71,61,83,29,34,73,38,85,34,6,1,17,2,79,61,60
k_33,39,23,99,13,85,92,82,64,55,35,29,75,62,42,88,6,61,67,36,25,59,30,82,63,36,13,86,8,81,34,54,80,96,3,50,10,21,99,4,23,17,10,88,78,10,52,34,49,51,6,4,31,100,56,98,12,96,84,31,70
k_34,74,36,68,42,80,20,14,13,94,89,66,54,87,48,33,59,22,86,68,94,84,90,33,26,86,87,8,68,43,2,64,23,65,54,58,29,5,65,55,85,44,81,20,53,99,27,13,14,4,41,87,72,58,69,12,46,18,100,16,34
k_35,34,90,1,10,61,87,42,32,50,57,40,23,43,99,39,94,29,10,29,34,60,84,33,71,34,71,2,61,27,26,66,65,16,57,34,6,62,29,5,47,55,12,62,85,33,64,6,35,60,82,10,52,60,40,84,61,30,59,36,31
k_36,27,5,18,8,13,20,83,40,29,78,37,28,38,70,19,76,63,97,39,85,32,20,85,91,26,86,8,22,75,32,95,61,73,48,32,29,83,99,48,100,56,31,17,54,39,71,43,56,12,77,49,43,22,51,33,11,78,44,75,79
