commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_60,e_61,e_62,e_63,e_64,e_65,e_66,e_67,e_68,e_69,e_7,e_70,e_71,e_72,e_73,e_74,e_8,e_9
k_0,85,37,58,31,41,58,54,99,22,88,42,63,8,52,88,58,57,81,78,73,16,28,25,61,94,21,7,70,28,58,11,74,62,8,9,53,37,6,80,42,47,71,81,10,56,72,15,71,93,1,26,80,40,84,38,49,25,63,81,16,79,32,91,51,22,74,76,92,25,80,47,45,11,29,84
k_1,4,43,21,88,23,83,49,41,64,23,94,23,50,43,56,8,30,27,75,58,34,43,20,6,57,38,38,79,86,1,75,70,31,44,51,46,29,62,33,4,1,67,59,28,62,88,8,83,66,48,36,81,70,41,51,85,12,10,70,71,26,30,4,68,96,57,36,56,7,14,52,73,7,31,51
k_2,45,4,67,72,24,27,1,16,5,2,79,64,60,77,83,52,75,53,85,13,34,52,61,16,77,93,82,56,17,5,92,28,77,81,30,8,42,75,94,45,1,36,83,51,84,54,40,14,66,71,43,98,81,43,29,22,14,12,1,87,31,61,7,95,17,92,4,58,6,57,4,86,50,34,75
k_3,2,82,63,87,71,31,86,82,99,49,4,67,6,93,68,94,88,76,49,79,85,51,66,29,80,32,23,30,25,29,91,58,69,59,21,6,21,11,72,17,82,31,10,99,65,78,59,2,90,37,95,35,84,52,21,79,5,83,29,19,32,58,11,67,78,27,21,52,74,95,2,40,100,76,31
k_4,52,46,69,16,98,57,1,35,72,65,20,38,59,80,12,35,88,38,100,85,62,82,90,61,99,95,17,72,58,82,11,43,98,40,49,44,52,64,83,68,96,21,17,64,49,57,62,23,57,60,98,91,44,22,73,47,77,51,32,21,1,5,66,91,74,99,6,25,1,85,77,44,91,47,69
k_5,77,80,35,8,5,58,34,72,77,72,96,89,28,5,43,4,28,9,40,18,32,36,35,99,6,32,65,56,9,31,38,58,56,98,83,58,98,5,21,10,35,7,71,51,67,73,38,39,38,78,1,86,27,94,28,35,33,45,17,71,25,89,4,75,68,10,84,73,39,8,1,61,88,83,96
k_6,78,39,67,30,1,89,76,34,59,46,18,62,47,30,77,35,3,79,37,54,83,42,63,31,65,23,85,64,94,64,51,83,56,44,35,68,2,62,29,11,86,17,100,3,75,79,2,29,35,64,58,55,49,81,32,97,68,26,28,38,63,68,85,78,7,91,4,14,99,13,41,62,57,16,19
k_7,14,75,32,46,42,53,92,44,92,99,22,34,94,58,73,59,83,56,95,98,38,54,10,85,14,20,87,24,10,43,82,17,36,38,75,42,51,47,31,94,59,98,73,28,77,12,93,10,12,48,50,72,57,89,44,56,98,84,98,93,12,87,60,35,54,7,67,37,44,29,11,81,27,60,21
k_8,66,72,91,6,22,96,11,55,79,52,98,26,94,45,20,15,14,10,40,14,39,25,68,83,98,22,44,65,79,71,79,25,84,16,79,74,50,2,4,72,65,44,18,25,22,15,62,23,47,76,91,78,85,28,44,84,91,56,95,25,23,11,31,44,70,37,22,50,67,58,37,87,12,44,5
k_9,93,65,34,98,61,97,45,36,70,44,21,29,91,90,38,74,47,29,60,25,84,79,27,75,58,64,67,85,61,15,50,20,43,80,71,52,86,75,54,22,55,56,21,49,3,56,48,35,85,32,52,66,70,52,15,11,84,97,44,89,6,20,19,17,96,78,82,10,35,84,69,84,87,60,81
k_10,7,77,91,21,75,4,18,82,24,73,43,62,7,54,89,61,12,94,27,81,88,11,15,56,79,39,59,13,82,24,34,68,11,34,25,46,22,48,98,47,40,36,68,45,56,78,64,76,4,89,15,28,70,79,33,84,17,61,7,41,46,68,100,43,30,28,33,37,65,9,44,35,69,42,99
k_11,66,58,6,3,86,46,30,83,98,67,74,80,94,69,36,93,63,51,99,9,50,83,39,31,81,10,6,76,31,73,31,52,54,61,3,99,40,45,14,65,30,31,19,96,71,66,43,89,55,37,78,53,12,54,17,18,72,45,74,83,28,55,93,87,62,61,93,92,74,68,12,58,45,72,66
k_12,50,74,27,64,92,27,42,63,22,13,5,34,8,92,90,70,61,2,16,50,18,46,41,69,17,8,19,14,57,71,23,100,5,46,25,1,97,96,74,66,12,48,4,50,42,28,90,7,67,83,90,79,24,39,24,10,79,72,70,78,92,10,100,12,3,20,20,45,77,27,58,51,67,57,49
k_13,6,70,68,47,78,75,94,67,61,19,67,39,18,89,30,96,58,35,72,70,77,97,79,71,16,15,57,72,92,45,36,50,59,57,86,65,45,51,34,52,52,36,25,1,37,34,63,91,93,25,28,48,70,71,87,85,58,11,33,45,27,30,57,5,76,69,78,34,85,72,36,88,48,70,61
k_14,24,53,94,9,63,32,76,32,83,40,73,69,30,10,68,88,3,43,31,97,47,22,90,20,80,33,96,4,15,55,87,63,40,90,74,54,19,27,21,22,98,80,26,6,94,35,34,75,96,65,19,75,69,98,47,93,92,57,94,51,36,37,57,76,85,21,48,35,6,73,5,11,57,90,99
k_15,91,9,1,47,96,31,54,46,55,9,24,55,92,40,46,18,34,50,65,17,82,10,8,18,91,82,68,47,9,21,32,61,45,32,55,88,1,15,5,65,15,13,59,95,68,88,7,75,38,72,86,92,18,47,57,26,87,28,84,78,1,55,96,57,92,98,19,7,10,53,3,3,7,97,13
k_16,18,69,76,31,50,80,27,26,17,17,2,37,79,3,67,47,12,93,48,80,92,86,73,95,16,50,12,72,51,74,47,78,13,4,73,90,19,18,11,12,42,3,100,10,85,98,30,63,54,20,33,69,84,65,40,7,22,48,94,6,64,22,71,27,79,46,50,15,86,35,11,93,25,26,5
k_17,31,83,2,46,7,65,89,51,55,37,99,42,83,95,91,60,60,51,37,58,12,88,61,98,48,83,89,77,7,37,55,89,84,12,2,99,1,99,4,72,74,89,71,90,62,87,15,76,69,58,97,92,12,51,86,64,61,27,68,57,26,25,80,20,26,71,25,54,42,5,12,63,46,17,86
k_18,39,91,63,44,96,39,4,74,27,2,24,65,20,64,5,47,71,25,53,69,95,80,70,71,21,24,99,49,80,57,29,22,88,53,77,59,20,41,5,4,25,22,44,39,44,86,70,61,97,66,61,70,78,41,39,85,57,92,43,18,16,56,29,86,33,98,66,25,89,7,50,83,23,77,24
k_19,71,46,49,77,57,75,63,24,54,60,16,18,5,10,96,94,17,31,76,44,55,94,72,73,89,97,43,57,75,10,53,1,37,92,6,74,53,34,49,85,6,57,49,57,41,17,84,49,78,19,87,3,41,6,41,77,20,62,97,13,7,90,22,50,21,62,18,13,61,29,6,49,79,55,36
k_20,52,77,26,78,32,3,72,11,78,19,53,49,56,27,73,27,52,76,51,1,79,7,60,8,34,99,91,32,51,37,6,85,11,21,70,37,13,82,51,9,27,70,70,9,89,43,49,11,58,41,93,26,84,33,32,32,94,80,68,76,2,100,59,69,65,98,82,82,33,47,88,85,13,43,74
k_21,98,55,7,45,29,73,86,35,47,42,65,61,26,22,43,85,98,11,42,2,31,89,87,56,32,49,25,79,38,26,9,36,36,64,78,21,41,53,85,54,90,70,60,37,25,84,35,34,56,78,18,93,22,74,15,74,95,16,65,74,90,76,22,39,23,26,22,23,72,29,98,27,58,90,99
k_22,5,41,17,36,61,17,96,25,37,49,57,70,73,39,9,17,90,25,16,13,68,91,44,58,54,67,83,15,63,87,19,79,95,62,58,7,45,51,33,91,6,85,40,4,57,97,84,81,84,85,41,43,88,80,53,35,45,6,68,84,96,35,52,82,64,74,81,32,72,37,52,20,59,4,33
k_23,24,14,49,42,30,13,54,96,59,85,61,19,64,95,52,63,41,83,83,1,68,75,37,44,45,34,34,55,51,95,23,50,60,20,14,96,21,39,90,92,29,34,71,60,16,86,72,53,50,69,5,54,70,69,60,67,83,95,89,90,82,96,36,10,22,64,35,13,12,10,29,34,67,86,71
k_24,80,21,75,83,62,40,8,88,73,98,52,89,62,98,52,75,42,84,39,57,19,19,84,40,5,32,22,27,58,16,17,86,47,91,81,25,24,13,36,66,51,3,32,75,13,85,35,29,7,96,93,18,74,12,89,68,51,59,51,22,49,40,7,67,37,25,37,14,59,70,63,19,91,6,50
