commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_6,e_7,e_8,e_9
k_0,18,29,42,88,14,91,28,12,92,80,17,59,29,56,27,2,52,39,75,80,41,62,37,32,54,51,40,63,18,89,1,29,58,81,30,81,14,80,95,24,58,88,93,63,33,92,28,33,76,24
k_1,63,12,4,81,36,76,75,35,14,94,8,95,67,42,25,32,10,4,36,26,76,28,89,100,47,1,73,49,54,34,66,36,87,9,41,52,50,74,3,41,98,85,1,49,6,3,11,2,19,52
k_2,53,11,85,28,47,31,23,68,3,72,76,62,52,59,75,38,13,66,98,65,1,73,87,13,61,21,32,50,66,5,41,50,9,42,23,57,45,30,49,75,7,94,92,28,33,78,32,15,13,71
k_3,38,8,97,79,78,19,55,11,79,53,53,8,96,83,95,75,39,16,30,45,71,66,18,78,32,48,57,42,29,95,56,86,22,49,90,7,100,22,64,38,90,68,84,72,73,90,38,5,57,19
k_4,1,43,45,85,18,52,24,39,90,15,34,36,26,5,80,47,40,11,20,94,100,3,63,43,55,37,9,71,67,97,21,83,9,55,58,36,92,92,93,6,47,63,51,74,84,72,65,46,23,2
k_5,96,43,90,71,86,56,58,76,9,67,28,57,66,42,12,14,93,87,68,67,85,97,66,77,27,74,6,65,64,25,8,14,75,35,15,12,11,66,31,51,65,79,21,45,91,44,17,82,60,23
k_6,70,82,69,19,33,33,87,89,66,53,75,24,67,58,43,26,7,46,88,20,40,83,36,83,57,58,47,24,57,31,96,41,69,24,92,16,77,90,31,3,47,60,14,26,94,3,32,50,48,81
k_7,29,4,67,69,78,26,87,14,72,63,17,31,5,67,47,27,9,93,22,78,2,19,4,17,55,22,84,58,93,100,39,32,4,74,3,96,94,16,93,52,31,40,65,39,14,13,96,88,79,29
k_8,72,4,74,28,58,94,52,62,80,83,91,40,30,53,80,18,3,18,83,7,60,70,16,39,74,39,47,50,91,45,88,76,5,6,31,45,47,21,78,77,24,59,16,64,10,97,38,37,61,16
k_9,98,93,55,16,76,38,84,53,14,50,54,60,18,89,82,14,28,18,22,60,68,31,51,4,59,22,87,65,56,54,68,64,58,72,26,33,19,12,11,78,49,63,15,90,86,58,24,15,21,55
k_10,8,43,62,65,17,53,34,45,67,80,46,40,18,14,83,92,30,54,80,91,64,61,9,50,46,23,42,98,91,96,25,58,92,19,10,3,23,14,78,99,89,61,84,55,32,24,11,5,44,11
k_11,67,77,65,4,2,18,99,67,22,71,22,21,85,67,62,7,9,29,81,14,13,14,94,91,18,95,27,45,77,73,81,85,27,11,70,56,68,6,71,28,31,19,47,83,5,60,79,46,43,88
k_12,47,63,62,95,66,38,86,72,2,23,42,84,96,91,98,98,52,69,53,22,59,95,44,46,74,92,51,88,76,80,96,92,14,51,65,24,3,5,80,37,33,58,90,45,52,85,33,24,43,37
k_13,57,22,62,32,78,97,7,53,92,48,24,18,87,52,73,67,57,44,73,30,84,44,89,2,56,100,82,98,67,28,3,38,40,97,78,27,89,82,58,91,59,69,58,20,48,100,84,47,100,56
k_14,76,58,80,60,32,63,56,32,76,66,54,55,85,40,12,87,14,10,93,51,37,36,23,64,13,44,100,10,52,19,4,40,10,57,41,42,85,62,82,56,17,90,41,79,75,39,21,84,94,62
k_15,7,27,62,99,3,82,60,83,48,19,68,30,53,67,47,92,4,66,99,59,46,95,26,48,93,19,50,9,71,26,22,68,92,64,13,13,24,13,91,46,90,40,78,29,95,80,41,38,25,87
k_16,55,68,12,18,95,4,93,29,34,56,47,10,70,2,44,76,67,84,84,1,69,87,43,88,38,46,92,11,50,17,32,16,84,44,65,4,83,17,18,14,87,4,91,54,75,3,34,72,88,68
k_17,7,12,37,94,99,90,57,72,66,3,93,91,53,16,32,22,60,55,9,68,76,46,72,41,23,6,91,4,51,4,79,35,37,55,4,17,64,95,81,35,64,61,45,41,64,88,61,36,93,65
k_18,85,16,66,33,97,93,77,21,95,49,99,44,16,67,95,7,14,8,69,96,77,30,57,58,22,1,51,44,32,58,87,77,82,35,58,84,92,98,62,80,50,39,29,57,98,93,38,85,26,39
k_19,67,20,4,77,48,80,53,84,27,47,5,77,44,93,96,13,36,92,88,25,56,83,66,83,72,95,24,3,57,90,34,62,39,93,10,36,85,47,100,83,96,87,81,84,66,88,32,8,60,6
k_20,85,7,32,59,2,97,45,62,53,33,71,69,46,90,38,29,83,54,43,34,13,86,90,38,71,32,84,64,81,82,60,82,82,46,46,47,2,16,44,90,12,20,4,50,79,62,75,47,57,28
