commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_7,e_8,e_9
k_0,28,47,17,73,16,81,67,90,69,86,100,35,80,15,52,76,85,31,81,100,3,91,84,52,10,72,31,30,68,65,78,14,4,43,41,77,96,58,51,4,82,35,92,42,60,93,33,92,71,60,5,70,96,24,44,40,11,59,62,73
k_1,5,43,77,68,70,80,37,18,12,97,62,42,53,80,97,32,18,70,2,97,13,25,95,71,25,46,56,65,58,84,65,37,12,38,97,82,77,70,14,10,55,92,17,2,59,76,80,78,2,63,38,24,47,41,82,75,66,44,12,84
k_2,96,37,59,44,96,3,61,53,58,32,74,100,6,53,52,90,28,32,6,81,28,3,27,47,87,65,16,92,46,35,63,33,1,78,90,16,74,39,1,95,24,45,77,51,77,6,47,65,95,30,25,39,87,89,30,27,29,43,38,76
k_3,2,63,84,31,92,84,64,12,100,51,96,11,1,43,95,54,13,28,8,93,68,34,52,98,72,29,27,96,62,70,79,80,63,14,5,34,25,14,62,32,37,67,4,95,98,76,8,24,58,7,19,30,49,54,13,89,47,7,16,49
k_4,94,2,73,30,82,69,93,93,67,86,49,59,28,88,14,41,55,93,47,86,51,54,11,14,7,76,17,27,57,25,15,28,17,56,5,24,50,93,31,34,20,57,4,3,68,21,35,83,7,48,68,2,81,77,70,83,61,76,19,13
k_5,36,27,66,22,73,10,58,8,29,15,74,72,23,8,64,39,43,10,59,89,80,91,2,43,22,79,51,5,60,4,54,51,66,57,46,12,22,69,85,37,63,79,26,13,56,41,34,2,89,1,90,7,19,94,52,30,49,43,22,41
k_6,70,58,93,18,24,7,2,92,20,13,51,87,32,28,42,92,79,31,45,26,13,3,83,88,93,82,9,38,57,28,14,2,98,61,93,44,95,41,46,6,40,7,62,64,3,90,19,58,8,30,46,96,85,66,13,7,55,59,51,18
k_7,55,24,35,18,82,45,28,88,62,62,88,21,82,41,24,31,1,12,2,3,74,72,99,84,19,83,48,77,99,64,18,64,20,36,74,10,62,81,14,47,11,97,99,57,3,13,91,95,53,4,34,90,75,36,78,98,21,53,15,66
k_8,8,52,61,70,47,11,85,78,94,50,15,36,22,4,64,57,66,76,67,70,91,27,77,50,22,50,27,95,30,75,21,60,3,49,91,4,2,77,73,46,4,75,39,46,3,31,91,31,48,38,4,55,93,15,35,78,29,42,76,85
k_9,48,38,25,10,99,79,16,72,86,33,87,21,26,6,25,22,46,69,43,25,96,52,81,16,95,50,29,7,77,75,62,56,71,46,12,6,61,63,75,11,90,39,35,12,50,30,42,38,64,42,83,41,27,12,86,36,8,8,58,69
k_10,29,9,1,4,44,12,2,50,33,47,11,3,55,83,39,3,74,70,97,73,11,7,47,70,25,76,51,85,50,5,28,44,91,52,38,95,73,61,17,21,37,17,86,69,86,12,55,44,73,17,54,42,76,41,4,27,37,69,77,50
k_11,68,52,56,74,55,46,34,13,82,8,28,29,76,26,91,60,77,73,2,23,11,80,7,9,23,9,17,58,94,27,92,62,74,99,50,28,40,88,36,59,98,75,3,96,95,76,25,22,3,96,75,23,65,66,67,98,1,80,18,13
k_12,34,90,33,74,75,78,78,27,66,70,86,94,45,26,83,73,90,72,83,22,29,29,98,3,85,26,42,62,86,74,44,50,38,10,100,13,90,77,17,98,2,99,73,31,94,31,13,44,7,36,17,92,7,98,67,21,82,35,65,78
k_13,80,8,2,61,28,98,11,2,58,41,55,92,58,73,74,19,62,78,18,73,33,47,55,26,38,79,19,23,41,19,64,15,70,50,84,41,73,68,55,58,91,69,57,7,12,51,90,19,64,56,80,58,52,15,42,9,22,13,60,20
k_14,57,26,14,12,32,97,99,27,6,4,39,59,2,5,23,94,65,98,68,97,87,23,49,57,91,52,39,32,9,80,90,88,31,77,42,72,58,55,75,24,71,66,60,67,63,98,55,27,82,40,82,39,66,96,62,33,60,86,57,22
