commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_60,e_61,e_62,e_63,e_64,e_65,e_66,e_67,e_68,e_69,e_7,e_8,e_9
k_0,1,35,27,15,32,43,71,83,16,53,8,48,27,49,71,21,79,99,60,3,68,60,9,44,30,14,60,64,20,16,81,68,66,42,97,20,80,96,14,97,67,54,61,45,90,90,21,39,66,44,32,14,41,73,46,63,49,64,94,33,4,42,35,82,66,95,96,82,17,41
k_1,8,32,95,11,53,74,15,54,27,3,47,10,23,95,55,44,13,16,16,42,97,71,21,32,76,21,72,47,50,51,91,18,72,41,59,76,36,42,18,22,75,51,86,84,2,20,33,83,30,24,39,71,69,69,49,46,55,70,96,64,27,83,100,80,15,27,99,66,31,10
k_2,15,64,84,71,95,18,72,12,74,48,10,59,71,31,38,82,76,39,7,9,6,9,56,1,51,17,41,90,85,78,22,100,14,36,9,94,44,96,55,64,55,37,74,46,88,100,58,94,72,100,73,77,4,74,39,87,95,40,64,92,55,16,11,87,19,70,30,24,79,8
k_3,86,41,53,76,33,20,21,51,11,21,70,72,86,51,6,37,46,80,49,17,39,89,93,78,96,46,70,35,45,45,99,58,74,3,17,8,97,60,65,91,62,96,67,33,16,59,94,75,4,25,96,84,9,3,72,85,37,93,48,91,44,26,11,21,24,97,28,43,90,80
k_4,24,86,7,87,46,20,18,81,25,75,54,31,18,2,56,57,58,27,66,35,34,61,61,31,20,33,81,3,26,12,55,93,73,52,31,93,7,3,2,57,94,10,91,56,4,9,19,44,96,28,72,4,42,83,17,20,38,79,67,89,6,5,36,11,2,33,74,87,100,58
k_5,30,80,34,33,75,28,64,3,19,98,20,87,57,44,40,53,52,32,79,22,54,20,76,6,85,69,98,27,12,70,42,47,22,33,35,61,19,49,60,19,63,8,35,51,6,29,37,31,58,15,99,84,89,1,62,73,34,91,25,8,73,93,97,43,35,19,52,58,54,17
k_6,66,55,88,59,89,24,35,53,16,3,98,15,30,15,18,30,18,85,63,53,84,47,67,38,15,89,46,51,52,82,2,28,68,37,33,73,77,45,43,34,89,100,94,63,14,21,30,99,52,33,72,23,30,51,89,37,48,93,28,41,1,15,57,22,90,69,36,25,40,57
k_7,5,33,18,62,40,64,60,62,55,61,36,95,19,36,92,87,74,12,62,14,24,35,19,12,48,84,7,8,52,87,30,81,33,39,40,60,55,79,70,53,62,56,83,88,2,70,32,75,29,18,79,87,91,50,42,72,99,46,98,66,63,100,35,82,48,16,87,2,59,69
k_8,54,32,99,64,25,10,56,85,72,76,50,93,66,49,98,98,36,13,80,92,29,38,63,40,67,55,42,66,71,74,43,90,26,27,3,72,59,16,57,65,98,68,80,17,41,83,80,18,97,6,2,99,92,70,97,68,44,48,86,50,44,72,98,51,98,9,74,17,54,6
k_9,23,22,61,68,18,56,69,75,4,5,36,62,77,66,69,7,16,88,94,79,2,33,63,73,24,92,34,11,82,29,67,43,31,54,53,27,58,59,95,93,2,22,37,54,1,4,44,66,63,90,40,49,44,60,83,35,28,98,64,41,19,16,65,12,13,75,48,37,58,53
k_10,32,5,67,98,15,91,70,16,22,93,41,77,71,81,76,29,95,98,79,62,10,74,50,40,30,97,93,4,32,70,55,6,80,79,100,23,85,92,32,24,69,90,95,8,16,43,10,88,49,40,86,44,69,9,9,38,83,28,90,91,5,4,56,9,7,7,20,55,31,48
k_11,83,5,74,37,32,35,43,65,15,26,28,80,76,47,65,88,2,99,87,97,51,45,81,71,36,83,56,49,67,71,67,99,32,45,5,57,74,22,36,90,43,42,94,60,50,52,77,76,89,74,96,92,100,20,82,12,67,49,55,39,73,79,97,79,81,33,85,47,64,11
k_12,78,98,44,64,100,51,19,83,82,95,94,86,18,41,96,19,43,87,18,44,10,65,18,46,84,69,20,41,21,87,93,50,38,46,24,54,93,30,93,91,18,37,13,1,21,92,6,96,88,68,55,29,16,9,39,18,76,77,54,25,96,18,13,42,73,32,20,78,13,28
k_13,64,28,96,11,76,13,70,24,83,19,11,44,72,45,53,34,81,39,3,84,9,50,69,21,60,38,45,81,59,14,84,66,38,74,86,54,34,77,40,13,84,90,76,36,36,89,49,25,24,26,63,98,50,17,2,52,12,37,15,29,4,72,93,56,60,38,56,64,92,23
k_14,52,57,82,24,84,26,78,18,55,74,39,39,74,74,56,64,31,36,57,73,64,97,65,60,18,75,17,72,17,82,31,25,7,30,11,49,96,61,91,94,93,22,79,74,14,34,9,16,14,59,74,46,66,56,47,71,54,47,7,21,15,83,30,23,7,83,30,13,37,19
k_15,11,41,51,46,24,95,56,12,70,83,18,89,2,85,29,49,6,67,6,39,8,3,57,92,2,61,95,100,76,60,84,57,70,53,8,44,97,92,22,55,36,9,89,89,98,13,66,44,22,94,34,12,63,34,97,46,76,29,83,4,69,21,64,51,30,68,29,26,19,65
k_16,28,8,33,89,31,44,38,95,50,84,41,41,97,91,23,46,69,91,99,38,49,32,52,84,81,99,47,2,42,67,55,52,7,17,22,98,60,24,36,96,87,12,42,75,96,42,73,56,72,31,4,20,55,21,92,2,93,87,33,86,19,37,28,4,100,97,92,68,32,88
k_17,84,69,89,90,6,94,34,46,50,78,66,24,82,95,44,68,85,18,23,65,37,63,17,17,94,55,1,84,93,71,81,58,44,5,55,44,90,82,32,24,82,68,48,65,39,82,76,79,37,42,31,23,25,27,56,96,71,24,92,58,21,53,24,8,16,9,8,48,34,69
k_18,12,57,69,85,95,35,35,75,57,44,14,49,9,65,48,26,45,27,51,42,8,99,6,76,24,46,40,33,36,51,16,79,33,94,80,75,12,53,70,63,64,72,1,54,67,94,32,13,70,79,26,66,14,46,18,25,89,52,32,5,15,87,74,84,7,73,18,66,72,42
k_19,78,21,8,68,35,86,65,29,53,63,43,61,5,43,26,94,96,96,61,46,65,99,86,45,7,64,95,37,94,46,26,27,54,43,13,57,73,37,5,44,92,17,20,95,83,25,87,25,61,91,20,94,73,39,58,66,45,97,45,22,73,14,64,72,16,30,52,11,57,18
k_20,56,79,97,88,22,47,12,53,98,85,61,15,97,89,70,70,2,81,38,49,71,27,57,15,77,4,42,75,32,64,37,97,27,67,96,91,20,59,80,37,55,4,96,50,60,76,35,71,72,36,75,31,72,63,32,86,60,36,91,23,99,75,6,65,25,72,38,29,83,38
k_21,27,61,83,32,95,76,40,30,77,44,94,88,37,91,30,25,18,10,69,61,99,37,90,2,26,69,62,10,59,44,21,39,81,100,7,98,73,60,6,80,17,55,81,15,66,29,51,32,2,26,89,50,7,74,60,92,13,1,88,62,99,69,88,42,83,60,42,11,55,55
k_22,59,30,52,65,36,22,70,11,53,29,83,86,23,14,31,11,100,86,66,38,11,14,54,78,63,94,48,16,50,73,39,47,27,26,32,62,37,28,82,34,44,4,28,94,100,64,17,99,79,72,60,34,17,60,59,89,68,49,40,71,37,62,39,81,49,44,28,5,82,23
k_23,76,34,29,99,88,41,92,71,75,12,8,100,71,44,68,51,6,21,22,95,67,73,18,44,6,12,34,58,96,89,46,69,34,37,51,15,29,90,80,34,45,32,50,1,22,56,76,87,37,73,29,63,84,18,84,67,72,96,23,94,99,1,5,52,53,84,100,75,44,30
k_24,92,52,25,22,2,25,36,79,52,23,50,62,61,59,88,66,33,8,69,3,65,60,88,47,75,96,97,73,12,85,36,42,22,76,52,61,60,35,32,46,88,75,21,82,86,63,13,95,97,70,54,98,64,98,88,28,34,30,26,44,12,1,42,46,39,66,99,7,88,52
k_25,56,20,86,72,42,50,16,66,80,2,78,3,88,24,37,83,33,84,77,22,75,61,94,5,34,52,16,36,76,24,20,84,52,71,31,91,15,5,5,64,91,15,19,56,94,93,37,61,2,17,23,13,45,33,1,69,12,89,21,29,26,71,57,10,43,52,75,50,11,64
k_26,47,26,29,83,58,93,9,36,36,38,32,49,89,77,65,26,28,78,26,93,86,83,39,36,96,71,74,4,72,74,18,62,70,59,35,35,18,65,97,92,18,23,72,73,6,71,9,79,50,15,11,92,94,34,14,80,37,21,78,26,91,47,44,43,15,8,74,26,25,58
k_27,56,73,48,10,65,79,44,31,49,96,43,71,11,54,61,98,69,79,34,26,78,85,93,33,11,92,42,3,54,83,68,97,16,97,33,11,27,13,63,93,8,41,98,64,59,38,67,2,92,87,64,52,72,45,12,27,97,69,48,86,3,64,83,58,52,84,97,36,36,50
k_28,7,74,52,34,43,27,78,76,8,23,35,1,20,43,96,95,3,96,53,91,68,29,97,78,32,28,46,62,53,39,2,46,5,91,33,89,50,68,26,93,83,91,68,54,35,73,53,24,53,17,68,22,74,67,31,16,91,62,6,10,94,44,26,78,17,82,28,17,28,40
k_29,2,42,85,16,58,65,45,9,1,86,52,74,35,29,28,60,82,20,6,65,91,95,64,42,28,69,53,45,36,1,22,38,81,68,27,6,100,82,12,58,70,25,99,77,14,70,6,13,49,24,68,76,28,3,51,52,84,43,58,35,84,78,92,42,82,34,85,43,40,73
k_30,9,87,5,14,28,15,75,4,11,76,71,20,33,37,63,9,90,76,97,62,96,7,86,99,87,22,31,7,4,71,40,36,75,38,67,14,6,74,60,92,97,41,45,69,86,97,94,73,88,74,37,74,96,17,91,62,14,66,40,49,43,54,3,44,84,36,64,2,20,68
k_31,72,96,69,29,16,3,100,29,2,13,59,49,51,64,88,92,10,88,34,79,2,53,55,34,71,21,10,82,49,70,19,84,28,76,2,22,30,75,50,39,5,5,53,84,17,17,34,91,52,72,44,76,56,65,9,50,42,25,40,94,37,13,74,10,26,69,27,55,99,91
k_32,91,33,28,41,70,42,16,57,12,1,59,59,17,6,55,35,97,30,67,38,41,70,40,99,2,52,84,26,67,13,35,85,98,69,26,34,86,19,34,34,61,54,13,43,99,52,23,12,66,63,29,42,89,67,42,48,54,90,23,37,19,76,78,30,11,22,92,58,59,39
k_33,25,40,57,21,8,4,90,19,95,86,48,80,61,38,17,69,51,98,66,24,73,38,28,5,80,30,1,98,48,95,94,59,63,35,38,18,97,78,53,61,52,83,56,48,8,24,16,39,61,3,36,23,56,6,59,32,32,93,60,80,38,40,18,57,34,83,40,84,56,17
k_34,5,86,16,19,51,79,89,35,17,88,69,89,1,67,71,30,4,11,41,26,63,28,21,56,98,6,41,17,65,57,87,93,96,98,42,67,100,21,17,98,20,39,75,32,97,27,33,44,25,9,38,13,34,75,95,78,22,39,2,51,3,57,24,17,4,25,20,24,18,96
k_35,17,88,26,16,30,3,2,47,70,60,60,77,21,60,57,50,20,47,4,10,59,10,2,77,53,21,45,56,76,81,49,9,21,80,48,8,26,97,97,40,73,98,63,37,24,76,78,98,94,41,33,85,54,9,80,20,77,21,87,7,87,32,33,91,9,11,36,28,44,83
k_36,43,24,83,80,76,59,77,24,74,62,85,50,87,45,91,66,57,91,64,56,5,3,57,32,29,55,16,19,16,22,74,53,22,90,79,31,33,2,63,86,4,60,39,37,84,81,65,48,25,4,45,94,90,25,28,19,9,31,47,7,69,43,49,70,90,52,17,84,94,82
k_37,10,75,91,33,88,89,94,72,88,37,86,7,84,88,88,60,24,8,61,5,18,29,39,95,9,28,24,8,45,35,43,64,97,81,22,67,44,33,68,52,11,25,52,2,61,64,44,84,85,21,26,67,93,23,84,78,23,89,60,55,97,53,79,49,39,25,2,35,1,22
k_38,23,30,22,58,50,55,84,66,33,60,54,42,50,31,63,27,45,18,47,91,91,32,89,22,74,100,21,51,34,25,23,89,56,95,24,68,97,98,88,1,74,52,71,38,81,60,87,84,53,52,82,69,16,7,31,62,54,81,29,46,19,30,87,81,75,100,98,14,55,82
k_39,23,33,20,52,70,45,73,69,28,92,77,36,43,42,75,61,74,40,73,75,53,9,87,3,49,68,26,90,19,83,44,36,14,88,19,95,1,84,90,72,83,7,85,70,76,8,79,20,45,93,43,20,42,80,23,67,75,18,35,46,46,66,12,11,95,1,44,69,94,39
k_40,98,75,45,2,79,31,20,47,36,100,57,81,22,61,75,74,73,94,12,10,75,22,63,8,77,80,27,62,49,22,63,4,61,11,51,30,22,78,6,43,97,86,70,12,32,4,3,54,43,90,66,39,47,7,46,21,8,46,88,20,65,21,54,2,98,9,89,89,14,21
k_41,43,18,94,77,49,5,24,96,25,88,86,94,3,5,17,70,91,44,68,31,50,99,10,49,55,94,70,44,32,5,22,92,22,89,45,56,95,68,66,68,47,62,75,53,93,59,41,4,59,29,73,90,56,49,13,1,22,66,96,27,50,73,20,23,26,34,99,51,12,19
k_42,34,88,29,31,20,31,100,76,21,27,85,65,15,85,40,67,20,5,68,99,17,100,34,22,95,28,25,12,60,64,94,85,39,44,5,25,14,38,18,37,98,50,79,7,50,23,56,34,15,88,49,44,67,44,34,53,24,97,28,10,7,100,59,70,20,94,21,38,39,97
k_43,33,57,77,2,93,38,33,26,35,32,83,75,13,45,56,1,70,61,42,90,5,5,81,34,79,81,3,78,68,6,34,65,37,21,98,61,4,76,21,76,94,23,72,52,27,83,45,53,35,75,24,72,50,78,95,85,77,97,77,52,9,28,49,42,99,41,33,3,3,10
k_44,85,81,37,89,36,100,48,9,48,93,59,3,98,53,72,13,32,96,24,22,48,39,60,8,74,80,11,16,56,28,31,37,1,87,20,11,36,40,56,52,58,22,62,3,28,50,40,29,56,80,75,96,8,94,67,2,11,6,68,67,16,25,22,8,71,96,63,87,2,97
k_45,13,46,11,62,89,5,76,27,90,91,54,73,59,66,84,78,33,10,8,58,4,78,61,7,44,10,5,43,1,93,43,51,14,81,14,19,41,90,73,7,60,62,23,50,45,95,89,63,38,35,49,34,61,30,5,98,43,75,96,84,59,62,70,28,59,33,51,4,90,94
k_46,93,33,45,61,82,41,12,25,93,18,75,4,25,16,53,65,79,22,26,95,40,61,81,29,38,93,89,60,23,51,49,11,93,30,47,18,86,51,75,38,68,13,76,85,79,32,62,5,41,81,47,100,76,74,38,54,33,48,75,56,87,99,77,25,20,52,24,89,29,2
k_47,66,59,92,83,44,13,80,2,25,62,12,28,74,20,75,43,54,62,53,35,44,5,26,97,9,11,80,12,9,67,70,83,22,94,9,76,28,19,42,6,72,27,32,52,3,99,64,73,86,20,89,10,3,99,77,56,36,77,97,76,63,54,74,53,81,45,8,44,31,42
k_48,26,19,95,53,70,15,65,20,36,39,6,81,11,30,12,75,53,74,79,57,63,52,18,18,12,24,30,66,53,28,49,45,33,32,64,13,80,36,58,35,12,85,62,50,34,58,29,20,6,23,79,98,11,82,84,3,97,25,8,17,1,48,86,6,46,1,47,40,2,54
k_49,14,37,85,76,86,47,56,91,91,22,38,61,69,92,84,62,55,15,34,26,79,71,38,66,21,95,6,59,98,100,39,97,74,90,4,27,58,66,16,28,15,24,61,17,73,80,81,63,9,86,83,8,100,57,86,73,11,42,6,22,15,79,2,85,71,83,46,29,26,51
k_50,20,70,59,95,74,41,97,14,55,2,95,92,22,68,56,77,60,16,12,51,100,18,6,96,57,7,45,76,24,26,18,2,33,39,26,4,35,70,51,28,79,50,6,85,31,15,69,38,57,16,37,3,22,15,2,51,14,43,78,79,90,38,66,85,99,78,86,19,94,16
k_51,84,70,67,22,17,100,29,71,12,89,32,33,41,77,39,23,59,3,37,8,7,20,56,76,16,92,33,16,98,75,20,74,60,58,86,26,39,75,69,48,66,28,46,99,46,33,42,20,8,70,11,1,66,52,40,66,28,37,33,53,40,10,38,67,28,24,65,40,8,93
k_52,57,10,30,4,69,77,9,61,80,81,43,97,72,27,82,36,76,49,2,48,17,9,7,100,24,61,29,36,6,62,47,19,11,31,6,23,6,38,97,89,55,67,27,17,63,71,30,17,57,84,50,88,70,90,63,92,3,63,59,6,88,4,46,99,45,79,28,19,61,43
k_53,80,60,2,1,71,73,2,20,58,44,6,51,23,30,86,2,31,57,8,75,100,75,98,88,77,2,27,51,25,84,49,37,80,6,5,42,8,74,48,84,40,70,96,56,75,96,38,93,42,10,2,79,4,29,29,91,61,15,27,62,70,12,94,63,70,8,63,29,40,3
k_54,89,17,37,18,68,46,14,44,89,83,44,34,47,22,92,1,44,78,11,96,48,43,9,40,13,68,58,9,11,63,82,83,22,50,97,69,16,14,85,56,9,19,34,57,45,81,47,30,84,100,3,27,81,93,52,99,77,29,68,57,88,68,55,57,41,26,47,7,96,9
k_55,90,8,63,43,76,69,46,57,1,75,93,32,17,39,14,54,39,68,94,76,100,60,85,12,45,99,88,40,50,33,98,21,27,45,36,90,39,82,6,92,12,48,22,39,12,18,84,14,45,75,58,48,60,65,25,9,64,57,10,8,45,2,4,85,4,25,97,73,39,7
k_56,33,51,29,28,31,8,1,82,32,75,12,3,55,89,48,24,98,19,50,31,53,9,54,45,1,11,92,79,45,68,31,65,24,2,34,97,45,34,65,36,16,9,83,18,61,14,11,84,46,22,73,13,26,46,14,60,37,53,95,55,43,32,66,55,76,34,55,73,48,15
k_57,36,70,31,73,59,51,99,99,98,73,47,56,95,63,19,49,70,41,77,32,14,12,90,6,54,97,16,37,22,87,99,65,100,16,22,2,1,29,77,20,13,85,67,45,4,6,49,9,11,42,60,41,76,56,97,52,2,4,75,12,59,46,14,72,3,74,16,47,47,53
k_58,96,51,81,68,56,24,67,29,63,90,4,38,42,85,20,34,23,90,88,29,75,51,5,9,24,93,44,75,13,33,39,70,98,36,6,91,76,44,10,47,26,17,53,16,98,48,7,66,54,67,27,98,33,37,16,92,95,86,46,60,52,54,35,16,29,71,16,79,60,49
k_59,90,56,98,68,78,79,13,37,24,23,34,19,71,98,40,48,73,46,5,3,24,63,84,40,34,75,47,93,87,11,53,90,92,55,5,71,91,44,88,67,77,43,67,16,55,95,10,22,91,19,14,87,5,71,43,89,42,42,99,45,51,90,22,43,28,2,48,5,33,9
k_60,79,96,92,29,2,13,6,28,98,64,57,70,13,46,37,64,87,9,75,16,35,82,18,18,15,50,3,11,55,18,35,5,81,81,16,15,86,87,3,78,14,74,21,94,80,42,18,41,97,9,82,74,99,67,18,15,21,64,68,14,16,57,8,32,91,97,61,3,49,41
k_61,69,78,62,1,75,60,36,62,11,7,38,32,38,60,79,67,85,13,79,6,40,55,48,69,44,89,56,32,20,96,29,9,40,8,67,73,37,38,15,4,93,12,48,93,72,41,41,45,22,70,7,53,64,32,53,46,19,66,29,31,50,63,80,44,15,76,23,42,70,72
k_62,39,16,57,86,1,26,45,99,91,93,74,48,89,16,31,53,88,84,11,95,64,69,3,60,56,90,49,51,50,37,22,85,50,53,72,75,12,88,64,92,75,71,68,93,69,68,22,21,26,99,20,46,28,89,9,62,14,70,69,72,58,100,12,14,62,69,92,57,8,4
k_63,68,80,37,73,48,47,89,89,61,64,99,54,51,81,39,68,26,79,61,26,50,100,90,100,10,13,99,4,45,50,72,49,75,34,43,36,73,95,7,93,29,99,87,57,28,40,40,53,69,2,41,94,18,2,57,17,50,6,4,87,82,87,24,77,7,60,9,54,42,16
