commodity,e_0,e_1,e_10,e_100,e_101,e_102,e_103,e_104,e_105,e_106,e_107,e_108,e_109,e_11,e_110,e_111,e_112,e_113,e_114,e_115,e_116,e_117,e_118,e_119,e_12,e_120,e_121,e_122,e_123,e_124,e_125,e_126,e_127,e_128,e_129,e_13,e_130,e_131,e_132,e_133,e_134,e_135,e_136,e_137,e_138,e_139,e_14,e_140,e_141,e_142,e_143,e_144,e_145,e_146,e_147,e_148,e_149,e_15,e_150,e_151,e_152,e_153,e_154,e_155,e_156,e_157,e_158,e_159,e_16,e_160,e_161,e_162,e_163,e_164,e_165,e_166,e_167,e_168,e_169,e_17,e_170,e_171,e_172,e_173,e_174,e_175,e_176,e_177,e_178,e_179,e_18,e_180,e_181,e_182,e_183,e_184,e_185,e_186,e_187,e_188,e_189,e_19,e_190,e_191,e_192,e_193,e_194,e_195,e_196,e_197,e_198,e_199,e_2,e_20,e_200,e_201,e_202,e_203,e_204,e_205,e_206,e_207,e_208,e_209,e_21,e_210,e_211,e_212,e_213,e_214,e_215,e_216,e_217,e_218,e_219,e_22,e_220,e_221,e_222,e_223,e_224,e_225,e_226,e_227,e_228,e_229,e_23,e_230,e_231,e_232,e_233,e_234,e_235,e_236,e_237,e_238,e_239,e_24,e_240,e_241,e_242,e_243,e_244,e_245,e_246,e_247,e_248,e_249,e_25,e_250,e_251,e_252,e_253,e_254,e_255,e_256,e_257,e_258,e_259,e_26,e_260,e_261,e_262,e_263,e_264,e_265,e_266,e_267,e_268,e_269,e_27,e_270,e_271,e_272,e_273,e_274,e_275,e_276,e_277,e_278,e_279,e_28,e_280,e_281,e_282,e_283,e_284,e_285,e_286,e_287,e_288,e_289,e_29,e_290,e_291,e_292,e_293,e_294,e_295,e_296,e_297,e_298,e_299,e_3,e_30,e_300,e_301,e_302,e_303,e_304,e_305,e_306,e_307,e_308,e_309,e_31,e_310,e_311,e_312,e_313,e_314,e_315,e_316,e_317,e_318,e_319,e_32,e_320,e_321,e_322,e_323,e_324,e_325,e_326,e_327,e_328,e_329,e_33,e_330,e_331,e_332,e_333,e_334,e_335,e_336,e_337,e_338,e_339,e_34,e_340,e_341,e_342,e_343,e_344,e_345,e_346,e_347,e_348,e_349,e_35,e_350,e_351,e_352,e_353,e_354,e_355,e_356,e_357,e_358,e_359,e_36,e_360,e_361,e_362,e_363,e_364,e_365,e_366,e_367,e_368,e_369,e_37,e_370,e_371,e_372,e_373,e_374,e_375,e_376,e_377,e_378,e_379,e_38,e_380,e_381,e_382,e_383,e_384,e_385,e_386,e_387,e_388,e_389,e_39,e_390,e_391,e_392,e_393,e_394,e_395,e_396,e_397,e_398,e_399,e_4,e_40,e_400,e_401,e_402,e_403,e_404,e_405,e_406,e_407,e_408,e_409,e_41,e_410,e_411,e_412,e_413,e_414,e_415,e_416,e_417,e_418,e_419,e_42,e_420,e_421,e_422,e_423,e_424,e_425,e_426,e_427,e_428,e_429,e_43,e_430,e_431,e_432,e_433,e_434,e_435,e_436,e_437,e_438,e_439,e_44,e_440,e_441,e_442,e_443,e_444,e_445,e_446,e_447,e_448,e_449,e_45,e_450,e_451,e_452,e_453,e_454,e_455,e_456,e_457,e_458,e_459,e_46,e_460,e_461,e_462,e_463,e_464,e_465,e_466,e_467,e_468,e_469,e_47,e_470,e_471,e_472,e_473,e_474,e_475,e_476,e_477,e_478,e_479,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_60,e_61,e_62,e_63,e_64,e_65,e_66,e_67,e_68,e_69,e_7,e_70,e_71,e_72,e_73,e_74,e_75,e_76,e_77,e_78,e_79,e_8,e_80,e_81,e_82,e_83,e_84,e_85,e_86,e_87,e_88,e_89,e_9,e_90,e_91,e_92,e_93,e_94,e_95,e_96,e_97,e_98,e_99
k_0,92,14,45,56,15,85,31,54,59,27,1,68,65,27,65,45,91,96,67,80,96,47,50,41,39,92,79,99,49,34,19,50,89,90,7,15,79,41,12,76,36,92,55,45,49,12,91,57,72,63,4,21,31,45,19,47,20,89,73,34,97,7,49,38,17,28,70,4,6,71,73,85,36,10,78,34,5,68,52,30,59,70,49,76,55,67,17,53,39,16,57,18,74,6,47,47,34,32,41,38,86,41,83,79,24,36,55,2,2,25,93,18,60,16,3,91,79,69,77,51,10,49,52,27,57,73,49,81,30,67,27,91,75,41,36,99,27,6,74,34,41,94,28,3,81,92,75,84,83,37,94,38,55,73,17,23,88,89,91,58,38,18,20,96,24,6,43,66,66,40,48,73,18,97,84,4,92,28,55,11,98,76,99,55,52,68,11,45,16,96,100,23,92,82,17,49,37,52,18,11,56,23,36,65,27,24,83,21,20,93,13,26,63,51,71,27,12,37,91,83,54,35,58,57,75,4,2,66,22,68,45,28,83,64,86,29,62,64,97,79,64,74,10,5,4,64,93,81,67,31,85,30,69,38,37,5,7,59,36,52,11,92,77,9,39,41,76,18,39,31,54,35,31,40,16,63,91,83,66,37,49,82,19,92,74,72,35,100,79,25,58,69,69,3,100,35,47,9,19,88,25,31,93,46,84,38,63,62,56,78,72,10,38,19,96,84,36,27,89,49,35,32,70,69,52,20,33,89,67,31,20,47,40,42,67,60,2,34,80,8,23,68,42,94,16,38,39,43,73,78,79,83,89,13,57,51,63,53,83,23,66,71,10,28,9,81,70,27,95,98,83,40,45,82,60,44,57,73,34,99,32,25,46,87,6,9,60,67,87,49,34,6,89,98,59,62,17,84,75,73,44,15,51,44,32,21,70,39,50,12,8,34,36,94,3,48,3,85,86,6,31,60,14,19,3,23,86,27,21,73,8,48,42,60,21,55,76,85,50,84,65,49,77,20,66,3,36,62,4,41,28,33,5,63,22,94,1,46,87,18,96,8,52,74,75,28,66,58,85,19,4,86,4,93,65,9,76,49,62,19
k_1,61,46,60,67,30,67,62,23,44,74,77,46,73,34,81,79,22,39,87,16,50,39,39,51,33,1,30,65,45,33,16,100,92,36,39,15,18,100,47,45,22,68,20,83,76,61,56,89,74,63,27,42,80,88,75,12,79,98,78,58,26,41,45,46,5,96,26,67,63,100,28,17,99,23,66,11,38,36,54,51,55,34,66,11,19,20,97,42,9,13,56,58,19,89,69,98,96,74,8,4,42,44,93,82,4,26,68,48,51,98,48,49,33,75,72,27,38,55,85,95,90,12,88,16,28,14,14,91,60,54,26,95,43,11,95,66,81,29,67,52,64,20,87,21,37,38,62,38,46,24,23,69,59,3,7,68,97,29,60,32,52,13,81,34,22,84,72,7,48,57,84,20,14,6,97,57,99,84,21,99,17,79,81,14,47,17,47,49,51,19,9,19,21,42,77,49,5,76,83,70,32,4,100,5,10,89,15,1,40,59,68,52,60,33,100,8,84,8,2,66,97,74,41,18,66,53,88,65,67,82,51,48,30,37,55,34,2,49,99,59,23,83,60,56,32,89,29,5,92,72,18,66,58,40,69,32,1,89,75,40,85,31,70,97,76,65,68,58,52,97,72,88,81,93,93,63,70,47,91,69,58,32,99,21,48,55,67,54,86,13,84,25,75,89,98,9,19,88,95,13,12,11,38,95,55,53,47,72,99,25,62,98,8,20,90,13,20,55,66,96,40,54,46,30,47,67,100,64,37,41,25,72,20,10,20,82,88,68,33,65,51,23,43,60,13,74,67,48,42,23,88,30,93,79,100,28,74,64,58,45,51,58,8,28,48,84,27,11,64,28,46,97,26,9,14,29,67,82,44,17,84,16,23,15,39,77,19,52,13,52,95,38,84,15,5,12,21,88,34,36,99,73,33,8,33,43,1,41,65,96,42,75,17,87,46,78,26,39,86,8,41,40,34,19,76,70,9,91,49,65,35,35,100,83,27,64,54,16,60,33,26,44,94,34,76,96,8,38,79,58,46,26,34,51,21,85,63,28,10,9,77,51,77,90,29,67,48,24,36,42,53,63,6,89,22,62,6,52,89,31
k_2,20,16,84,10,60,20,88,27,81,48,100,8,62,64,64,93,66,45,73,68,45,4,41,53,65,46,92,57,37,11,4,61,34,65,7,70,37,84,66,68,32,84,20,71,80,15,34,64,96,76,26,72,57,5,76,73,6,69,1,17,36,6,80,26,19,19,76,95,18,90,41,62,41,14,41,87,54,72,10,36,87,55,8,36,44,72,16,42,47,20,16,10,86,24,73,64,65,78,66,69,55,56,3,55,61,17,11,33,64,22,32,53,92,13,87,82,19,32,93,91,8,94,72,36,66,36,89,23,77,27,54,7,10,49,67,65,91,90,38,18,92,44,63,86,61,19,16,67,50,79,77,2,33,4,16,76,95,36,42,19,88,23,61,58,66,26,23,58,51,94,6,37,97,88,68,46,3,32,40,59,42,46,51,7,51,98,3,19,90,76,55,37,84,90,29,33,20,53,62,12,52,67,14,83,85,86,94,93,14,69,34,44,82,52,48,39,58,24,18,9,36,23,54,46,51,59,36,32,12,91,100,16,33,8,26,2,77,100,78,31,4,55,84,16,76,79,60,32,23,15,81,100,63,73,38,83,48,89,46,12,46,51,63,86,38,9,92,60,20,61,15,66,5,88,28,8,11,4,38,12,85,50,52,62,41,78,41,8,42,73,1,89,21,58,23,28,37,88,89,94,99,16,97,33,41,28,48,34,34,85,20,49,4,97,93,95,19,49,54,71,32,75,3,83,15,53,95,93,92,62,48,27,92,49,25,41,100,33,79,4,31,2,57,87,53,62,86,34,57,45,14,14,38,65,90,14,40,76,38,95,95,62,25,63,28,10,67,63,85,27,2,1,70,31,49,40,74,49,12,87,15,8,2,49,73,75,34,39,6,35,86,96,36,15,22,46,19,64,11,32,73,30,100,99,91,20,85,14,51,82,20,59,24,84,13,77,23,88,51,59,7,72,9,45,29,68,63,19,44,40,11,79,49,70,81,55,97,54,58,46,24,11,30,69,92,48,91,75,37,51,89,56,84,90,62,68,19,75,62,55,67,3,53,87,19,68,53,66,24,27,87,39,20,47,79,87,51,39,37,91
k_3,41,88,16,78,52,43,75,62,58,95,89,8,7,8,16,67,87,58,9,81,14,54,37,25,20,35,91,86,4,43,69,19,72,40,95,21,88,92,39,53,64,58,92,68,64,92,13,12,5,5,66,75,5,27,88,5,39,43,89,58,54,31,96,58,74,28,81,7,55,75,25,83,64,14,50,32,68,91,23,85,91,23,45,13,83,34,98,43,5,7,51,37,53,6,9,56,77,1,80,90,85,48,83,68,89,6,32,68,74,29,38,41,57,18,67,56,57,96,89,68,4,35,4,74,98,78,78,56,41,66,38,6,69,98,5,88,55,17,37,61,42,67,75,4,38,36,96,29,8,34,79,92,10,72,89,54,20,84,65,61,11,16,41,86,50,41,99,67,35,11,20,6,69,29,97,38,96,6,100,92,51,11,12,4,14,50,98,85,24,56,74,54,6,54,12,99,86,61,56,14,11,36,11,96,96,40,21,62,78,3,46,55,72,23,85,86,5,37,31,87,99,26,13,31,1,81,2,68,66,88,81,43,89,13,97,83,63,9,46,64,42,61,61,45,53,69,64,70,85,66,21,26,56,33,31,92,39,73,37,29,89,65,29,86,46,88,87,4,16,27,15,76,26,15,78,26,92,96,7,68,27,100,23,92,38,35,74,20,85,34,66,5,5,15,85,84,60,7,59,56,47,30,53,41,60,33,47,44,74,46,73,34,77,31,56,95,35,98,61,70,12,36,42,46,5,69,67,100,94,96,16,44,28,35,65,88,5,65,16,91,95,94,3,24,35,9,32,55,57,32,46,93,98,58,47,3,11,3,91,14,73,98,36,70,21,34,5,8,83,64,14,78,84,41,86,16,75,27,96,97,39,36,39,51,90,25,8,85,6,90,56,38,82,66,99,26,73,64,20,47,44,1,67,6,72,83,52,71,60,18,88,37,92,92,46,44,55,11,59,11,29,78,68,93,16,42,81,10,19,84,90,18,44,22,80,59,85,39,18,70,72,35,63,58,14,95,40,54,7,69,72,47,12,81,47,37,39,1,32,62,10,86,33,67,17,22,87,90,59,59,11,82,88,30,63,29,53,34,96,4
k_4,56,9,82,63,1,65,97,52,47,75,32,76,54,59,26,49,93,98,7,88,86,89,46,90,26,25,72,6,98,48,30,98,24,38,45,1,34,52,8,28,39,79,72,80,76,89,79,1,34,66,70,66,7,74,3,7,35,95,37,85,33,84,87,52,59,35,2,90,63,52,56,46,62,82,41,78,45,56,69,46,67,16,49,57,94,87,91,63,3,45,46,29,43,22,52,80,49,35,79,13,55,33,70,2,98,13,75,19,91,10,17,22,39,28,19,89,62,91,76,45,57,24,69,19,81,74,96,63,51,86,34,86,53,48,7,28,1,86,58,72,42,69,5,85,94,76,14,76,45,85,60,13,55,35,72,94,67,12,84,51,11,51,10,92,9,7,71,66,45,78,77,33,49,17,36,32,89,38,29,47,59,46,38,2,16,62,94,57,4,73,78,44,33,67,10,43,11,59,79,15,79,31,87,44,76,4,72,35,60,17,56,47,100,90,72,91,86,6,73,84,84,99,19,25,22,60,31,81,47,82,79,25,69,57,11,99,60,31,69,62,32,55,90,75,5,84,66,74,27,66,30,55,25,3,26,45,22,13,91,57,30,56,65,38,94,69,55,51,1,45,2,40,100,65,37,25,84,97,11,89,14,60,10,72,95,26,30,4,58,55,6,62,52,84,8,6,87,75,17,39,82,30,92,5,74,56,41,55,41,16,62,96,98,10,23,18,29,96,19,58,70,86,64,83,79,80,70,14,77,82,72,96,100,55,5,58,74,64,13,1,6,42,93,10,44,58,23,56,1,17,68,45,8,81,7,63,17,68,24,28,98,87,64,68,56,63,40,70,50,68,14,71,3,33,41,13,54,41,81,34,39,72,90,67,66,59,86,60,26,46,75,98,51,57,60,23,42,33,15,33,2,45,10,92,71,11,76,8,25,55,65,21,66,22,99,56,28,35,30,14,58,24,19,79,38,45,14,69,72,97,1,16,38,25,80,44,54,19,59,8,18,86,43,56,86,12,96,78,56,64,80,66,77,97,45,58,91,78,5,54,97,54,5,19,45,82,90,75,96,59,50,12,99,100,72,25,96,24,67,83
k_5,10,27,57,16,91,45,100,78,61,30,76,54,31,19,13,13,73,43,94,44,81,18,44,84,70,70,33,98,15,83,82,23,59,10,55,88,46,70,81,72,5,96,55,47,4,36,13,24,89,61,35,80,35,11,39,88,71,91,57,5,67,46,65,21,6,1,69,100,62,69,66,20,8,44,21,81,72,69,86,31,26,22,2,56,16,94,72,22,62,8,70,70,80,47,66,44,48,58,55,49,90,59,93,29,97,56,44,20,49,19,71,16,5,29,7,83,3,67,98,93,54,67,22,18,46,86,86,40,70,16,22,42,76,88,75,3,41,80,25,10,11,25,45,72,83,39,11,22,91,80,7,45,63,83,76,92,64,15,23,29,73,45,61,34,2,13,93,16,9,41,58,95,90,2,58,65,61,64,43,60,27,30,99,16,43,25,21,55,16,27,80,16,75,63,28,22,51,35,9,49,43,80,18,63,48,39,77,86,29,8,90,40,80,68,20,56,62,70,28,40,23,15,54,99,19,10,38,74,19,71,44,15,40,92,81,44,97,81,22,40,99,49,9,82,48,60,21,48,45,33,20,43,1,56,91,65,14,75,6,90,29,87,2,69,52,76,76,73,60,2,88,9,35,10,90,100,46,46,31,8,66,5,84,69,43,57,61,14,6,65,79,43,26,65,100,96,64,97,61,95,59,46,71,1,37,14,55,91,20,41,92,58,1,10,85,59,10,53,66,79,54,19,61,18,13,32,87,11,51,7,83,24,46,28,63,53,70,73,48,61,2,18,85,15,98,97,51,19,86,72,77,88,49,53,76,22,55,20,11,31,30,9,27,65,43,4,56,91,27,78,29,25,83,11,14,10,36,60,38,57,32,31,32,65,5,71,99,57,43,41,21,36,35,13,94,76,47,82,23,88,14,31,98,54,19,15,54,5,46,42,63,19,86,27,75,24,27,36,45,84,91,46,92,52,16,97,31,69,17,24,9,57,64,17,48,32,56,65,26,38,2,92,10,92,22,30,95,53,26,62,17,22,81,29,44,55,71,39,63,91,45,72,5,32,14,37,91,51,31,78,40,74,67,47,99,9,76,84,78,94
k_6,35,99,2,9,78,38,21,57,86,87,14,30,59,38,25,15,6,4,81,75,57,52,42,9,32,18,32,61,12,90,37,83,67,4,43,18,16,93,41,60,11,13,98,2,10,55,68,1,93,49,42,37,13,82,72,90,90,37,16,82,25,23,5,6,97,38,76,4,37,93,1,72,31,31,33,94,70,43,31,44,81,21,81,42,57,67,3,69,73,56,61,35,42,35,90,73,77,11,34,33,8,100,41,58,22,67,30,9,34,37,28,4,48,32,13,40,47,24,28,48,76,13,21,14,19,82,82,33,13,6,41,34,5,54,7,19,10,5,31,89,41,19,27,74,14,56,78,6,14,34,45,24,52,60,81,76,19,86,8,14,56,78,99,63,81,79,90,84,57,64,95,99,97,78,54,96,70,90,50,100,50,99,66,50,66,62,69,28,97,90,27,73,81,55,86,11,45,23,55,21,68,42,52,86,19,23,96,5,13,23,44,42,77,7,60,75,99,41,19,29,88,25,81,94,27,11,74,6,29,49,84,58,57,56,96,79,38,37,34,58,84,8,39,39,93,20,28,76,90,28,70,11,76,19,79,86,48,41,2,76,63,49,16,5,30,98,25,97,74,75,56,65,22,95,76,10,33,27,2,2,62,12,89,73,69,30,21,32,34,20,51,31,70,29,40,65,25,38,6,81,36,35,81,46,34,84,15,63,2,58,77,10,99,32,34,23,64,32,75,14,84,80,98,47,59,35,72,7,61,33,8,11,58,73,80,99,55,53,66,31,47,50,71,47,31,50,82,96,93,92,33,33,86,7,16,53,7,67,67,64,71,74,8,50,76,13,22,81,88,65,53,66,46,82,91,79,47,15,88,36,48,90,4,74,18,13,26,64,40,34,40,1,44,87,81,26,61,41,15,43,92,15,5,68,52,86,40,17,29,8,97,34,84,58,9,65,75,74,16,89,28,17,99,37,35,77,15,91,20,37,92,71,95,100,61,21,81,32,68,10,33,66,11,95,85,24,53,81,1,43,13,65,40,21,21,21,15,6,23,89,72,65,4,16,43,12,30,66,53,58,97,52,84,55,55,80,22,59,3,45
k_7,89,16,5,26,34,26,58,17,85,52,60,82,3,92,38,35,63,2,72,94,50,26,32,47,47,92,42,95,89,8,92,70,26,98,40,31,27,2,79,19,83,88,96,12,45,23,58,24,39,71,21,80,60,28,89,71,50,35,22,8,96,58,47,20,97,90,12,67,38,57,94,44,98,34,2,41,63,74,24,95,41,97,60,42,57,66,3,95,99,84,42,21,76,32,96,60,56,35,3,73,38,39,28,98,30,53,52,19,77,80,39,93,34,77,53,51,53,36,75,66,58,21,29,90,36,74,79,94,8,8,99,3,40,61,60,90,51,88,53,26,66,5,94,58,98,67,64,10,57,78,2,75,43,74,60,58,65,2,43,70,10,43,49,15,61,75,97,37,95,85,79,99,14,39,86,46,85,78,18,60,64,48,23,31,45,45,15,80,47,70,37,38,42,96,26,53,36,75,37,55,92,65,76,26,58,98,67,12,71,77,64,3,96,89,8,97,31,93,97,76,84,100,41,76,93,70,38,19,51,49,9,35,97,54,100,87,42,58,77,45,97,35,24,80,27,29,65,53,25,41,100,73,86,72,58,20,21,42,30,15,92,37,69,55,29,76,6,62,45,89,16,4,81,34,95,7,10,29,12,30,69,52,27,97,22,76,62,55,49,67,92,74,90,35,25,26,19,88,41,68,67,90,83,88,23,7,15,56,51,86,67,96,22,35,18,22,25,79,45,76,95,69,52,38,45,52,72,10,88,76,13,90,35,8,8,91,97,56,39,53,40,2,6,41,16,18,78,83,69,97,18,22,67,45,87,13,85,64,90,72,90,90,22,31,82,22,27,36,1,5,43,65,43,25,8,41,27,72,21,17,21,43,37,89,84,99,90,7,82,69,46,47,34,13,21,3,67,77,33,64,54,57,8,37,65,64,99,10,69,100,39,98,48,89,31,87,82,80,98,52,66,84,79,85,55,12,33,59,38,44,88,93,21,94,54,35,70,8,32,38,12,50,58,9,21,30,87,1,22,65,79,19,19,80,28,57,42,60,11,63,100,49,65,16,42,3,61,9,57,32,8,28,9,31,97,9,87,18,25,86
k_8,25,23,37,90,12,4,90,18,73,70,21,97,6,90,31,54,18,44,27,17,42,21,22,33,7,78,37,19,95,100,45,70,61,18,75,79,50,19,49,45,8,90,38,65,53,81,89,35,63,44,66,37,14,67,39,62,27,75,46,40,74,44,64,56,92,75,35,75,87,46,80,79,7,61,28,45,93,70,30,69,40,80,43,88,34,73,100,84,81,67,77,77,61,4,6,63,96,35,77,36,60,96,25,49,59,61,33,27,80,74,32,38,74,49,55,73,41,6,20,56,80,10,92,68,24,86,87,38,25,24,91,43,58,83,50,86,69,28,11,81,58,84,88,69,16,48,100,63,12,78,12,62,49,93,10,92,49,60,21,91,67,49,24,61,15,54,5,1,46,45,83,3,43,4,28,10,15,29,68,29,95,73,61,29,29,98,48,2,23,89,81,75,76,60,51,18,98,63,17,60,27,37,75,3,53,35,25,3,48,43,76,18,5,66,29,66,25,2,63,22,29,55,62,11,59,67,87,18,23,60,37,41,48,88,74,100,87,70,7,16,68,53,43,52,45,61,14,72,49,87,84,2,72,95,49,53,33,18,13,15,81,90,10,42,38,78,57,38,88,93,6,13,40,30,53,95,49,61,52,71,17,67,38,90,58,18,43,61,88,73,58,54,94,51,32,32,60,29,45,86,15,74,9,97,65,86,40,2,67,32,7,12,95,34,57,64,64,8,36,34,4,81,83,61,19,52,36,83,66,36,72,18,28,72,75,54,77,20,99,26,94,46,67,56,58,93,32,33,10,71,88,50,67,17,58,83,58,49,70,51,57,74,81,96,43,23,100,100,66,63,92,55,3,54,84,54,15,97,91,68,67,77,79,96,56,43,85,92,15,36,83,36,68,34,41,55,19,31,80,13,40,45,51,71,16,30,41,86,17,46,36,55,60,51,33,25,54,58,46,21,17,4,23,91,6,72,83,82,97,58,8,72,39,8,92,7,33,43,13,54,12,31,75,31,70,65,28,29,38,34,93,9,93,91,56,28,71,77,11,42,91,78,17,18,89,44,4,98,1,91,23,7,7,69,47,50,56,14,62,59
k_9,39,51,81,12,84,21,61,31,85,12,69,74,47,87,92,59,34,89,34,89,55,46,88,22,51,93,44,11,15,29,78,72,76,94,30,45,95,72,72,94,39,89,55,27,83,89,34,87,24,94,15,60,64,100,50,100,85,99,69,1,100,49,96,57,45,4,83,15,80,39,66,93,72,67,37,18,53,83,50,36,11,31,28,5,69,39,34,60,81,51,13,46,31,67,39,52,60,60,47,97,88,3,91,85,87,93,33,23,44,68,10,79,74,91,85,57,83,50,56,29,22,80,91,46,34,100,39,2,61,34,58,30,91,95,21,56,94,55,65,89,53,55,32,33,99,1,30,20,88,52,5,22,18,49,60,30,96,9,77,49,55,91,98,13,90,70,63,61,69,82,85,58,85,21,62,81,65,27,99,74,39,44,24,53,81,79,57,64,81,80,90,17,41,33,36,90,16,57,51,10,34,60,19,68,19,40,99,20,91,52,89,2,89,69,83,37,60,9,8,53,27,99,93,48,56,25,76,32,83,24,65,15,59,52,18,38,63,40,72,7,77,61,43,99,50,8,25,77,29,82,80,15,24,37,85,5,94,30,35,78,4,79,47,1,74,34,71,24,21,90,50,1,77,91,47,65,24,81,87,89,27,99,30,30,72,56,70,55,90,43,81,54,32,32,79,85,41,15,35,51,89,32,70,92,74,80,71,73,65,8,86,81,11,83,67,90,81,10,87,42,67,52,5,100,7,17,7,41,85,90,54,95,80,2,85,83,3,35,100,48,68,27,77,31,2,70,65,39,78,82,48,94,68,71,83,85,87,43,18,86,52,77,47,79,79,1,65,100,59,89,8,31,23,85,14,12,92,80,7,19,53,53,48,69,45,4,7,75,89,29,38,8,80,90,43,52,10,50,9,59,3,75,88,13,59,28,38,18,29,91,48,37,49,23,58,76,61,67,96,93,69,61,53,12,28,71,25,70,53,18,66,71,74,22,73,4,26,90,79,48,60,57,53,49,25,36,40,38,20,93,71,15,13,24,55,71,78,79,50,91,84,24,49,25,25,68,19,36,73,67,91,31,10,94,4,90,87,16,4,8
