commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_6,e_7,e_8,e_9
k_0,43,20,59,66,4,9,34,34,74,40,59,32,71,59,77,41,26,10,4,62,82,89,37,87,37,94,15,54,35,96,4,2,39,20,61,64,1,79,36,49,94,98,32,63,25,13,40,40,78,32,99,71,22,89,30
k_1,64,15,78,34,73,16,17,83,92,23,86,30,22,99,5,20,74,19,25,65,10,95,4,54,55,91,77,17,9,53,71,97,25,41,55,14,58,50,28,54,11,14,73,33,62,56,45,14,84,63,45,27,78,83,58
k_2,94,50,27,70,32,76,72,40,59,76,40,51,85,29,73,29,83,95,56,95,47,1,82,59,28,77,79,71,87,18,39,40,96,66,93,46,95,5,87,66,75,17,86,3,94,75,65,35,31,61,28,90,68,100,59
k_3,19,68,10,37,16,46,27,100,58,73,72,15,55,65,8,45,35,49,17,76,9,93,56,28,13,51,25,37,39,78,15,72,21,59,79,68,22,78,61,29,23,52,66,58,17,28,42,67,2,19,42,29,6,11,60
k_4,91,44,84,49,4,46,92,92,18,92,16,87,37,30,68,66,30,98,50,32,25,7,33,77,63,61,63,12,35,98,45,49,43,20,91,58,3,62,81,21,6,91,41,98,99,86,69,43,91,68,54,67,34,47,73
k_5,1,15,22,10,47,20,23,26,95,44,31,71,86,57,87,99,1,27,71,51,80,39,77,42,98,44,91,82,94,15,82,33,73,10,6,61,20,49,40,91,88,91,1,27,66,23,100,4,79,82,68,26,68,43,19
k_6,66,35,59,4,9,86,38,72,92,40,46,47,2,11,4,1,17,43,83,8,76,4,74,3,84,98,41,68,78,48,88,19,99,50,90,64,12,64,48,39,10,52,20,33,43,78,1,99,77,44,72,24,40,6,67
k_7,89,78,67,89,2,51,40,29,53,36,58,61,88,88,87,30,92,42,58,78,80,86,9,83,15,78,71,76,97,83,41,66,31,23,62,68,36,87,38,19,63,7,71,39,73,39,35,17,36,62,84,55,41,88,51
k_8,28,57,38,60,71,48,57,26,49,59,70,34,22,22,10,38,73,12,67,1,10,47,65,69,12,12,7,57,65,46,76,55,53,9,49,59,96,60,81,54,2,92,74,40,56,55,65,39,24,16,43,67,32,94,60
k_9,91,89,25,48,46,77,72,97,13,98,38,71,84,72,20,100,6,22,56,3,82,82,15,12,65,1,69,45,34,3,44,99,15,49,27,5,96,6,35,99,31,39,30,90,71,47,90,18,1,7,2,47,40,48,50
k_10,3,57,87,11,16,93,41,65,97,8,54,82,17,2,59,77,88,18,70,69,62,30,56,82,66,97,32,25,78,7,67,54,12,37,3,45,32,91,64,49,98,77,42,22,36,34,26,50,45,43,72,24,13,6,61
k_11,54,57,73,60,84,47,87,82,75,35,14,99,54,88,85,46,31,10,89,53,62,72,87,3,89,5,51,16,98,12,67,37,88,19,45,26,85,28,2,24,80,89,95,79,11,26,100,29,12,79,65,87,33,59,52
k_12,87,93,95,98,80,72,59,58,59,45,65,51,9,12,78,19,84,63,80,77,9,60,44,12,61,39,45,77,31,82,30,36,30,57,21,57,27,44,72,51,11,64,6,51,83,93,24,70,78,5,50,40,89,8,52
k_13,32,36,9,45,48,41,95,22,55,39,87,40,24,52,80,9,35,64,22,94,89,42,31,54,61,65,25,51,89,92,33,78,33,81,59,31,94,30,69,72,66,37,37,48,71,96,9,91,37,53,61,25,48,29,6
k_14,34,28,45,84,79,17,41,24,3,48,20,49,87,27,42,29,44,77,26,61,55,15,43,17,75,95,66,28,87,27,99,85,98,11,73,48,52,61,53,19,86,81,7,63,59,79,78,63,88,100,89,25,72,44,24
k_15,2,25,86,12,43,56,23,100,81,49,58,57,20,20,30,51,28,74,19,30,25,15,12,56,33,51,4,35,85,82,100,12,44,50,20,1,10,28,49,46,94,35,47,77,91,86,21,50,68,27,31,16,18,9,99
k_16,92,15,56,81,57,94,67,67,63,26,58,1,47,83,76,75,4,18,23,92,9,94,49,92,69,50,75,74,42,71,72,96,96,42,6,7,13,95,73,38,30,13,47,19,2,22,12,82,29,16,20,56,11,40,57
k_17,74,78,79,40,84,61,12,81,11,45,29,36,42,66,89,50,92,15,73,67,9,54,28,16,78,21,83,87,54,42,12,9,8,20,48,2,34,37,48,49,53,26,45,53,19,27,78,13,75,48,34,55,45,81,62
k_18,17,97,28,34,82,47,1,56,55,66,51,62,97,63,70,90,18,91,37,14,47,75,76,39,70,35,14,30,20,14,3,35,19,20,56,6,65,72,88,85,19,5,78,69,76,15,62,5,81,41,48,52,14,46,48
k_19,42,73,82,66,20,96,75,5,39,47,85,9,48,60,97,76,4,53,61,60,27,42,70,70,1,56,71,48,87,99,29,22,25,47,39,33,52,27,2,71,89,13,12,68,45,45,36,67,86,46,89,21,28,91,42
k_20,33,11,43,12,67,16,19,49,4,46,67,44,2,68,43,29,100,72,92,13,52,48,42,7,93,67,98,99,1,97,6,16,23,27,88,22,57,33,11,60,95,10,26,57,50,30,27,64,56,76,78,24,79,87,94
k_21,27,14,1,100,100,42,48,95,84,76,82,4,23,93,85,87,16,38,43,58,74,18,71,24,22,8,32,94,18,80,19,56,29,34,71,23,72,7,34,88,18,34,93,36,31,12,14,13,18,66,50,61,31,79,66
k_22,45,5,77,51,90,43,89,71,71,33,32,15,92,25,64,2,54,51,50,13,82,22,98,99,79,3,76,33,99,79,47,83,82,37,26,35,84,42,16,56,6,28,62,61,6,66,43,81,93,81,5,47,63,84,99
k_23,55,11,14,88,94,83,61,99,35,80,45,60,29,30,57,66,86,82,2,41,10,6,100,69,88,27,59,30,77,91,60,61,32,100,50,54,15,42,48,93,25,42,6,80,10,98,46,94,15,30,35,65,25,65,84
k_24,35,85,83,80,19,36,46,59,51,8,37,44,29,50,43,57,58,10,56,39,22,90,36,35,67,76,30,80,31,66,100,74,87,19,40,76,82,51,67,32,19,56,84,12,67,76,14,84,38,51,43,61,97,31,99
k_25,39,67,2,12,50,63,4,86,74,18,51,64,51,88,12,100,3,54,17,26,30,56,50,57,74,67,2,43,86,79,62,97,87,52,30,99,33,76,22,89,13,36,13,3,65,5,16,60,6,81,64,61,100,73,19
k_26,24,53,54,34,77,28,21,49,49,93,83,29,21,87,62,58,53,46,40,71,73,8,68,87,72,55,5,57,98,75,41,38,36,55,97,50,20,49,38,53,73,37,39,50,42,4,87,79,94,66,65,89,80,17,95
k_27,19,35,56,1,97,26,6,85,75,17,58,70,81,60,35,1,4,70,88,42,5,72,97,30,49,52,1,40,49,6,20,24,33,51,15,25,42,2,38,22,21,56,3,57,6,29,79,75,96,43,90,43,83,82,21
k_28,16,74,89,3,50,77,90,28,94,24,73,87,28,21,37,98,36,34,65,45,16,39,8,45,14,36,94,77,94,87,52,9,19,19,83,74,63,40,7,61,6,83,83,32,54,7,27,86,91,57,66,4,14,35,98
