commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_60,e_61,e_62,e_63,e_64,e_65,e_66,e_67,e_68,e_69,e_7,e_70,e_71,e_72,e_73,e_74,e_8,e_9
k_0,32,34,7,52,32,13,32,72,23,11,9,78,56,100,22,59,29,36,84,49,6,7,77,39,29,85,98,16,63,44,9,44,76,71,1,91,72,30,55,50,12,6,81,73,62,8,3,28,32,21,38,42,31,32,28,8,26,29,95,21,45,31,42,88,16,68,78,38,69,69,9,13,21,71,55
k_1,62,58,22,36,82,66,49,37,90,48,79,91,58,29,59,65,66,44,70,55,73,70,40,10,28,43,28,81,59,82,36,38,4,6,26,97,25,27,78,97,34,70,84,5,36,23,51,44,3,95,68,79,32,22,8,80,81,52,40,46,59,67,2,61,85,82,32,79,59,39,59,2,10,62,31
k_2,53,94,23,3,97,36,47,16,70,18,20,50,61,36,38,16,96,16,19,32,71,22,87,65,55,81,48,72,6,67,29,37,28,19,58,87,72,19,22,83,26,88,43,34,1,7,58,56,24,41,23,58,29,53,27,1,55,74,71,30,11,68,19,13,72,1,25,79,20,72,12,86,90,10,15
k_3,21,24,29,87,39,65,74,40,59,86,72,38,92,67,43,58,93,98,44,76,78,77,91,55,79,73,100,34,10,67,89,52,28,25,19,92,49,52,82,92,17,97,21,9,42,100,51,42,48,51,97,71,80,5,36,47,14,76,59,74,70,21,30,92,21,72,75,97,40,83,95,27,94,93,4
k_4,30,63,53,20,87,33,84,80,85,58,20,92,84,52,67,36,74,59,81,5,12,8,98,79,94,79,28,83,18,72,13,71,56,23,63,75,63,40,98,74,36,13,4,58,1,89,57,20,64,97,23,81,4,75,66,51,45,95,88,4,46,14,43,14,95,76,48,57,21,95,30,88,74,83,49
k_5,66,39,77,15,87,89,29,69,87,20,48,32,54,97,10,41,62,31,23,30,69,97,16,29,4,35,77,34,10,87,50,72,93,49,81,54,12,71,34,51,32,95,37,18,45,3,86,91,19,63,9,39,39,38,75,3,51,35,58,41,35,10,52,61,83,26,7,11,18,20,50,79,13,85,7
k_6,56,91,88,54,55,50,48,24,21,12,89,84,4,14,26,80,91,83,46,55,84,11,96,71,36,64,80,78,62,13,49,100,17,36,69,18,1,55,3,48,44,38,36,86,4,47,71,86,10,40,91,90,25,86,58,90,12,56,42,67,72,29,19,29,57,62,61,27,42,97,16,62,95,35,76
k_7,9,79,42,52,91,43,67,23,97,4,9,72,42,94,45,75,27,93,47,40,51,83,11,97,6,76,36,60,19,15,9,45,89,95,9,55,86,55,59,49,45,67,73,41,5,55,87,54,22,74,19,30,4,77,87,61,11,8,55,16,100,46,6,29,36,18,89,96,93,76,93,93,82,24,74
k_8,43,95,81,21,48,35,38,98,45,23,30,24,54,21,62,76,60,15,30,91,34,80,49,7,67,94,73,17,34,6,13,16,37,36,55,13,59,57,13,54,15,40,75,99,99,47,6,93,3,20,12,45,87,33,66,26,50,86,54,28,67,39,87,66,86,46,30,86,94,98,57,3,13,72,24
k_9,24,82,58,27,92,98,15,47,77,17,79,25,70,61,10,97,42,46,100,31,65,61,82,9,54,40,86,13,95,42,55,62,10,31,25,46,19,63,18,41,46,78,97,20,19,22,22,80,94,95,9,72,48,56,89,99,98,20,85,67,12,82,37,30,29,46,84,11,11,96,11,6,38,60,68
k_10,22,60,61,100,33,55,92,62,67,43,81,81,60,75,71,9,98,18,16,59,2,18,62,36,81,19,12,34,98,49,35,95,20,13,80,14,18,67,10,3,64,31,48,21,86,62,14,82,20,24,87,29,16,58,17,74,86,6,30,70,35,84,71,99,91,100,15,42,3,50,32,97,92,16,14
k_11,73,27,81,99,74,41,14,65,84,28,27,72,46,64,46,51,73,90,33,85,99,70,57,71,76,6,16,23,75,51,63,45,47,52,42,86,22,5,73,32,96,76,97,9,73,3,24,86,94,98,23,69,93,37,98,40,86,2,22,98,92,37,15,68,2,60,45,1,39,96,4,91,86,45,45
k_12,12,14,43,64,77,21,55,95,69,66,18,19,57,14,21,3,89,43,16,92,47,63,61,53,16,67,63,56,68,37,3,77,51,46,97,15,52,81,36,68,94,68,68,74,78,2,87,46,56,47,68,87,20,98,41,51,73,45,54,27,88,57,29,34,87,12,5,4,94,85,24,42,81,33,59
k_13,98,40,24,47,35,63,77,76,93,53,1,98,58,30,13,80,18,93,81,45,29,9,18,39,10,99,13,2,72,80,16,62,93,69,37,62,8,25,97,79,48,64,3,17,54,14,26,41,42,99,44,6,68,12,84,89,25,95,12,72,76,83,74,22,27,40,86,71,34,86,24,91,61,29,31
k_14,88,18,8,77,48,89,1,76,72,49,32,70,3,12,63,10,26,38,69,87,13,42,83,49,5,23,85,3,17,69,49,96,41,97,68,85,10,37,42,76,54,89,25,63,80,3,77,53,25,83,40,12,31,19,46,47,45,64,92,47,28,41,17,16,43,82,100,48,5,82,26,53,46,67,49
k_15,32,62,62,17,18,5,9,78,99,83,24,50,98,62,83,74,75,25,73,64,84,15,16,93,38,83,100,10,67,94,16,25,2,63,12,67,56,1,94,45,40,19,76,9,62,64,51,88,36,71,48,87,9,31,14,26,12,95,65,80,44,54,90,75,23,1,37,61,15,49,8,81,56,30,48
k_16,44,12,53,20,82,46,26,15,14,12,42,2,51,16,62,22,7,60,95,6,87,56,100,93,32,13,70,8,1,47,40,75,71,52,96,66,8,21,52,57,10,65,88,57,84,19,62,16,45,78,12,61,20,88,26,50,24,20,97,73,11,20,42,93,60,90,45,52,41,13,6,37,75,30,92
k_17,83,36,35,10,19,72,32,33,62,54,40,67,9,41,84,78,7,28,53,35,12,83,67,88,72,75,45,63,5,83,42,32,25,79,97,91,2,21,38,51,15,34,62,9,66,87,86,86,3,32,9,45,37,100,41,96,58,48,45,27,46,95,75,82,40,49,82,47,20,9,34,87,33,75,80
k_18,88,35,46,49,50,5,97,91,59,31,25,40,70,50,66,95,42,82,57,28,68,65,67,89,25,20,16,67,6,5,55,82,9,31,53,80,52,97,51,72,5,54,33,64,82,90,59,12,32,39,66,50,64,35,66,94,94,66,34,39,19,65,12,50,78,78,53,93,10,78,13,38,92,93,39
k_19,39,76,58,62,13,55,73,77,62,51,56,55,81,46,54,48,62,68,17,89,100,19,72,44,57,33,6,32,39,54,61,4,53,10,56,70,97,17,6,87,52,15,30,10,85,76,100,22,99,15,97,95,22,32,19,71,10,20,83,67,44,35,93,5,52,74,2,97,9,10,55,35,53,53,34
k_20,1,23,60,43,50,82,61,44,20,22,29,35,64,17,90,24,65,1,61,56,58,37,30,79,81,99,27,61,15,77,78,42,46,3,18,54,54,14,20,42,28,12,73,27,36,97,89,6,20,25,21,63,72,53,4,80,31,57,65,10,100,51,84,7,78,35,55,44,38,99,54,53,80,93,92
k_21,15,9,57,42,12,54,87,63,74,73,75,85,92,90,29,97,7,80,43,62,29,62,8,67,7,60,3,54,89,11,76,82,55,19,28,92,83,80,58,20,96,11,76,20,95,33,28,86,72,39,23,3,12,73,90,100,66,8,22,27,39,6,48,39,48,73,49,37,76,34,58,69,100,81,42
k_22,63,88,36,31,35,24,33,72,2,34,89,89,62,34,60,23,28,51,64,73,51,79,58,53,46,66,23,70,29,36,74,64,70,61,10,68,52,19,60,6,74,88,26,66,7,41,10,42,10,13,15,46,4,16,83,48,18,15,36,40,44,39,22,81,96,8,53,100,89,77,5,38,28,65,71
k_23,42,27,21,34,53,45,91,88,16,28,47,73,59,43,32,75,72,57,78,58,43,47,85,59,9,49,100,64,93,84,18,11,34,50,64,64,87,72,78,48,31,18,50,59,60,23,19,90,29,70,85,88,39,93,99,75,51,87,78,69,96,98,14,44,66,68,44,22,66,27,86,94,94,73,92
k_24,78,25,76,53,8,36,14,83,4,50,22,50,24,37,84,48,57,57,57,23,91,13,9,45,95,7,67,50,85,50,74,65,74,22,72,39,44,37,19,38,5,77,74,19,97,2,55,56,66,67,36,16,14,65,58,48,71,40,52,72,65,64,24,98,87,41,79,43,25,45,41,19,98,88,13
k_25,16,14,40,95,66,70,42,80,78,63,59,41,80,84,94,63,40,41,9,88,14,43,56,30,93,6,36,84,36,19,75,82,19,8,57,82,24,38,28,63,71,47,39,12,93,98,45,6,16,82,16,2,32,88,98,92,72,8,70,64,46,4,29,84,22,16,59,89,97,35,4,20,94,92,62
k_26,66,59,40,83,30,45,97,80,63,9,10,56,56,74,48,54,78,60,35,89,23,55,87,39,33,30,17,63,13,18,49,35,84,62,82,70,74,44,41,94,17,41,37,92,7,66,52,23,23,97,9,54,26,59,9,56,78,45,67,16,79,96,75,61,84,13,98,5,8,2,60,76,94,78,17
k_27,10,1,33,33,7,93,27,61,8,13,32,34,80,78,24,16,12,41,84,48,44,22,18,48,30,62,86,5,86,13,37,20,40,88,5,40,59,27,49,93,14,38,63,5,99,10,15,63,3,84,47,72,97,25,37,34,86,57,21,9,94,78,52,16,48,52,83,20,29,48,71,13,55,5,59
k_28,50,31,73,87,75,88,99,59,53,83,10,43,88,66,65,46,1,81,100,87,72,69,88,72,10,75,20,26,2,35,11,52,54,46,36,26,3,81,91,98,42,99,94,84,2,65,83,94,100,39,41,35,47,20,62,85,75,13,42,45,57,71,7,58,81,42,78,99,24,52,55,7,14,77,3
k_29,57,74,45,6,36,98,40,25,85,52,7,24,93,79,77,20,40,34,78,23,56,84,22,56,91,35,67,9,75,98,11,31,70,63,14,91,1,86,86,66,94,9,26,28,22,53,71,16,15,34,37,89,19,28,32,49,17,24,59,50,85,73,16,40,84,98,60,53,47,27,20,71,93,11,9
k_30,97,57,90,74,34,96,67,5,75,58,39,77,86,70,44,91,26,74,43,28,72,87,15,31,43,90,69,85,98,18,18,39,93,86,4,52,1,25,40,96,16,1,51,4,65,91,85,94,49,51,33,97,67,20,42,36,54,83,51,76,85,77,11,10,90,39,33,66,45,75,27,61,7,84,20
k_31,43,82,63,29,43,71,16,67,44,37,11,72,87,93,4,90,91,33,50,68,25,51,14,35,33,62,66,66,66,12,77,6,11,59,50,64,3,59,71,22,95,36,46,31,67,89,12,79,15,28,43,86,60,43,25,55,100,71,56,11,63,76,68,7,3,38,22,96,66,73,5,77,88,5,13
k_32,23,58,87,96,38,45,66,50,51,39,80,75,82,50,57,72,79,37,97,18,70,26,48,13,35,95,33,15,99,80,90,10,97,68,97,26,59,74,58,18,93,6,33,44,10,16,100,40,41,27,20,19,37,57,32,41,87,26,14,80,54,91,80,83,51,88,73,67,14,3,60,16,14,93,86
k_33,28,34,23,58,92,95,57,24,64,50,92,12,41,36,72,73,59,61,30,15,34,79,55,24,75,12,71,33,21,29,75,24,61,74,87,71,1,38,35,58,19,43,74,24,81,44,40,26,78,38,32,18,91,8,68,33,89,1,10,18,56,64,97,60,82,91,34,31,71,92,33,37,6,55,80
k_34,8,22,5,98,91,61,49,61,46,87,93,4,37,53,85,97,2,75,13,51,80,43,20,98,6,88,41,62,14,3,32,61,42,50,40,27,24,57,8,50,48,26,12,65,68,96,75,7,21,19,8,46,80,86,20,20,6,34,61,43,67,76,82,48,49,82,8,62,66,47,55,38,23,30,86
k_35,41,92,55,57,84,30,97,1,49,98,80,39,40,82,36,100,99,5,1,12,97,51,84,60,50,10,77,89,97,85,69,95,90,72,71,75,96,49,57,25,13,59,18,95,64,11,21,16,11,26,57,79,61,69,58,10,82,72,78,18,5,100,44,68,24,37,91,67,9,56,70,49,28,89,8
k_36,27,71,72,59,19,31,98,57,54,87,73,99,90,57,14,96,1,65,48,51,6,11,17,2,85,33,62,37,11,7,10,56,100,19,76,63,32,6,62,38,35,16,68,68,32,46,52,41,96,75,85,22,87,32,67,34,10,37,27,35,39,46,57,78,26,94,48,17,26,64,34,24,53,53,30
k_37,3,49,95,21,43,19,58,77,58,34,97,92,5,46,85,35,76,62,72,90,51,21,74,23,56,59,25,79,41,31,67,67,5,30,73,67,47,67,23,66,40,62,53,35,60,5,80,68,2,46,72,32,86,32,76,43,80,19,38,80,61,55,34,85,26,12,81,61,40,32,85,24,59,52,100
k_38,73,72,40,8,31,60,31,88,43,75,85,39,98,22,97,17,61,31,60,37,27,5,32,90,57,73,25,63,93,22,3,76,39,55,44,1,68,63,22,96,74,65,3,52,67,25,27,59,56,90,39,52,15,41,33,15,28,84,86,77,55,58,61,88,24,63,60,52,9,38,92,4,95,38,99
k_39,18,88,89,88,79,68,62,18,57,57,23,72,56,99,86,22,78,85,61,46,95,16,96,79,46,46,57,47,99,74,77,36,82,75,45,80,7,60,65,35,18,79,56,13,32,20,23,88,81,77,95,4,83,70,97,16,11,52,4,27,70,59,13,93,83,48,96,70,35,2,61,15,48,1,23
k_40,32,27,73,68,87,19,53,87,29,71,54,39,13,57,71,32,48,74,95,4,88,87,7,54,7,94,5,6,58,29,92,79,61,8,20,93,24,14,74,82,9,14,30,12,80,31,59,66,37,8,49,8,19,34,77,40,37,30,31,52,16,21,100,59,68,76,64,99,44,57,37,27,95,43,14
k_41,30,6,39,17,90,37,64,54,70,13,53,95,23,50,15,33,94,49,15,6,39,2,58,20,44,57,34,11,39,74,97,58,27,82,49,3,56,68,7,79,92,14,85,96,74,79,69,20,85,93,9,32,70,82,92,52,47,90,31,56,53,54,4,35,86,35,2,32,50,83,36,34,5,50,22
k_42,18,87,89,44,85,9,49,53,77,10,36,72,40,42,58,76,90,73,100,100,49,66,8,70,40,9,90,38,71,55,26,91,5,23,21,20,22,30,3,77,29,18,66,41,52,69,71,5,60,86,20,58,45,48,53,74,58,4,57,76,31,33,57,6,93,57,1,95,15,96,99,44,88,26,10
k_43,16,47,78,34,47,61,43,94,90,70,28,57,10,32,5,84,1,64,7,47,50,30,55,43,47,11,100,48,40,41,59,100,25,82,84,15,80,2,68,18,30,88,92,60,93,65,91,83,27,43,97,68,19,69,84,41,100,34,89,38,45,4,41,1,49,1,74,63,80,19,63,8,91,31,73
k_44,55,85,57,87,77,58,85,54,85,100,7,60,63,8,31,17,92,2,38,55,87,62,73,80,23,93,78,32,17,28,75,63,65,54,71,33,30,11,41,88,61,5,75,45,87,42,61,58,87,1,88,17,82,22,1,17,91,46,33,88,8,45,28,20,38,60,95,10,34,85,1,56,42,79,33
k_45,86,57,51,1,17,20,98,72,38,14,49,69,60,4,82,37,86,38,6,34,99,100,73,37,1,48,80,79,11,57,75,40,15,35,67,49,95,10,27,67,59,71,32,27,28,52,15,20,72,16,31,57,23,3,11,73,17,59,94,93,32,79,91,61,18,5,66,73,39,89,35,37,13,27,64
k_46,60,95,26,89,99,37,45,11,83,32,11,25,52,30,33,67,15,30,76,100,86,12,62,32,62,97,58,79,33,90,22,48,57,40,84,6,61,73,33,49,60,27,41,74,84,13,64,71,63,91,13,6,10,8,88,47,26,18,36,52,88,18,29,44,25,63,74,68,19,51,83,72,77,18,76
k_47,89,53,13,41,85,53,69,30,39,2,36,87,88,32,46,72,26,74,86,47,55,54,68,7,50,93,57,90,29,96,29,14,48,42,32,74,94,59,12,25,24,85,35,71,43,39,25,22,34,95,92,76,83,26,83,67,35,47,21,52,7,69,82,68,22,61,15,4,33,43,99,55,64,94,96
k_48,13,89,21,4,63,37,36,36,62,69,8,82,88,58,89,95,84,43,6,30,93,79,39,20,38,8,25,33,72,82,85,90,88,44,74,96,38,66,83,87,37,26,43,63,67,29,8,64,4,16,66,18,39,97,52,59,22,49,89,19,14,43,59,60,28,15,18,2,63,3,46,83,85,99,90
k_49,57,4,52,77,54,19,95,63,58,81,36,20,36,61,34,77,43,87,41,54,90,16,18,44,41,15,56,87,32,54,69,86,43,34,30,78,94,70,57,90,63,67,19,17,31,100,23,67,11,55,22,78,2,55,84,87,22,63,16,30,26,70,47,48,27,84,67,25,30,28,74,32,47,29,45
k_50,59,57,95,63,58,44,79,84,65,100,41,19,57,39,24,48,45,87,58,69,76,81,30,85,53,43,20,3,25,47,1,39,63,60,34,7,59,8,84,42,77,31,59,59,62,34,58,94,78,66,61,43,93,27,19,85,75,26,78,58,88,32,30,53,1,49,70,15,3,42,89,5,5,54,61
k_51,13,61,41,74,30,32,37,98,63,94,27,20,1,54,87,97,36,73,9,76,98,80,47,48,88,3,39,88,35,25,40,43,51,36,98,70,38,57,1,57,90,91,90,40,99,96,9,42,59,75,69,48,60,93,82,23,70,77,88,13,96,84,43,75,91,9,86,42,1,99,83,26,44,75,45
k_52,58,59,68,55,89,97,53,82,21,85,43,47,42,28,12,62,41,4,9,30,97,75,100,37,80,49,78,13,74,42,28,35,89,83,41,87,26,54,87,78,46,40,60,58,86,37,53,75,16,44,21,86,82,95,68,84,22,91,52,37,10,8,95,81,10,34,44,49,97,97,41,90,67,16,7
