commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_5,e_6,e_7,e_8,e_9
k_0,73,72,29,2,100,80,73,36,14,82,51,66,12,100,17,22,25,34,77,96,23,96,64,42,53,22,36,71,63,66,26,49,53,78,25,81,49,85,52,68,65,34,31,49,59
k_1,99,38,5,4,73,86,95,42,84,28,76,91,61,35,6,26,81,35,90,47,66,70,82,80,63,70,4,89,90,43,44,61,56,8,75,64,97,4,20,29,99,8,74,4,5
k_2,26,49,98,32,19,50,90,10,91,40,51,99,31,50,53,25,15,45,30,15,10,49,80,52,27,81,78,66,89,76,20,17,42,62,50,16,26,42,96,95,54,9,11,66,6
k_3,10,7,63,51,91,82,90,64,94,29,73,21,16,24,80,61,10,81,77,94,69,57,45,29,47,41,97,72,63,62,1,52,94,25,92,23,40,29,98,79,61,78,27,49,66
k_4,12,83,81,21,54,59,58,67,71,79,37,40,92,11,70,18,65,17,32,98,11,60,87,60,52,57,92,29,46,98,95,98,58,28,60,8,37,62,92,59,83,59,46,87,35
k_5,49,59,42,91,52,23,12,47,51,93,22,27,23,25,45,65,15,61,45,51,72,7,27,42,18,69,82,100,17,21,43,66,15,2,60,49,79,34,29,64,17,43,98,91,50
k_6,32,28,58,72,7,61,93,16,1,55,57,26,91,7,18,76,38,26,32,64,51,47,47,87,63,59,97,66,65,25,54,43,49,15,34,90,80,73,73,92,56,51,44,42,26
k_7,53,76,3,16,94,12,49,17,20,92,79,27,4,75,75,81,1,67,93,97,80,18,37,89,61,58,93,66,39,94,19,63,15,86,91,49,99,79,47,58,44,83,8,100,22
k_8,9,21,82,67,60,7,60,19,50,58,26,13,9,12,48,66,4,56,72,73,65,58,51,23,85,11,55,32,43,15,27,60,72,88,83,88,52,20,63,54,66,49,76,25,29
k_9,28,50,61,62,45,67,65,77,9,28,37,96,76,50,32,99,57,77,60,29,40,3,7,22,97,58,76,67,33,49,22,29,99,48,57,57,2,77,8,27,68,23,69,50,91
k_10,91,76,75,17,39,22,75,83,83,13,21,94,17,48,63,5,58,52,20,14,95,54,67,90,84,47,87,21,86,89,58,16,1,53,19,26,93,80,81,44,69,83,84,100,95
k_11,74,42,82,88,17,17,33,42,3,100,95,3,65,61,20,25,34,81,5,8,97,9,93,69,43,27,49,61,39,100,33,88,60,18,75,67,73,74,24,20,10,60,88,86,4
k_12,59,16,41,97,18,90,40,76,75,30,48,48,59,16,58,75,94,12,16,83,46,30,26,77,100,62,86,47,13,21,27,46,61,46,76,84,40,82,43,62,92,93,7,74,58
k_13,16,27,48,88,29,4,41,83,43,86,59,27,44,21,79,88,5,65,38,13,66,59,97,99,65,53,36,42,9,50,99,3,78,86,62,46,52,82,19,96,73,7,34,94,73
k_14,5,70,32,21,84,57,51,14,26,21,2,72,5,74,83,48,14,95,44,8,20,18,10,20,86,50,76,15,40,16,64,50,74,66,83,80,49,62,100,8,97,22,56,67,48
k_15,69,51,96,78,53,88,81,88,42,66,1,92,27,26,98,54,16,16,40,43,15,27,81,60,8,45,41,9,16,97,32,40,18,51,61,20,32,50,24,48,45,6,77,9,99
k_16,3,46,39,100,93,35,55,73,89,93,2,46,93,32,57,24,44,33,50,78,12,58,20,89,5,36,65,7,92,88,74,10,22,69,12,65,44,35,97,53,78,5,33,69,17
