commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_60,e_61,e_62,e_63,e_64,e_65,e_66,e_67,e_68,e_69,e_7,e_70,e_71,e_72,e_73,e_74,e_75,e_76,e_77,e_78,e_79,e_8,e_80,e_81,e_82,e_83,e_84,e_85,e_86,e_87,e_88,e_89,e_9,e_90,e_91,e_92,e_93,e_94
k_0,27,49,5,12,18,87,28,62,40,76,97,97,45,48,91,79,36,57,52,55,94,17,67,81,21,60,58,4,40,91,49,7,74,65,60,37,45,63,49,2,2,72,2,2,26,93,41,72,89,5,97,100,60,69,65,77,77,37,33,71,23,45,98,8,28,92,21,78,48,36,54,70,6,25,54,7,36,55,48,28,77,58,94,75,78,35,42,17,16,49,50,68,42,59,43
k_1,94,90,46,73,89,29,23,71,24,82,30,7,13,7,52,30,61,14,15,7,1,21,61,84,77,84,9,96,27,74,91,100,39,49,83,18,71,62,81,87,71,14,4,37,5,49,94,49,6,85,79,56,49,63,42,36,88,70,44,51,50,93,4,52,93,12,13,64,35,26,12,21,98,100,72,99,5,88,27,73,59,61,92,39,41,7,25,11,50,39,7,14,28,16,58
k_2,56,37,3,98,54,50,64,55,44,23,63,15,43,12,9,8,100,88,38,15,64,17,5,91,62,37,26,45,91,100,50,31,79,11,72,85,58,60,90,40,27,97,52,21,7,86,76,71,100,73,22,58,87,64,35,64,69,26,54,31,77,9,16,42,47,38,51,78,64,27,63,37,81,66,98,4,65,53,30,45,60,33,78,9,24,57,75,24,18,73,72,84,38,31,23
k_3,99,20,5,82,89,82,39,72,77,80,52,96,23,11,44,34,61,28,21,73,91,7,46,56,90,53,98,45,88,11,34,39,25,85,69,62,66,18,31,52,2,59,70,76,18,76,3,61,45,28,56,4,56,41,11,62,19,31,44,83,96,75,71,25,77,82,95,47,56,1,92,41,70,10,6,91,41,94,73,23,83,13,45,74,91,15,18,61,77,60,82,11,87,44,17
k_4,66,59,49,93,37,56,3,52,18,19,2,17,63,18,39,74,22,16,91,56,90,15,90,70,63,64,25,45,80,5,74,40,34,22,7,33,8,19,34,18,61,48,34,13,9,13,81,78,40,80,55,65,76,32,17,43,11,7,70,15,99,35,68,95,79,61,42,14,14,88,95,46,37,99,85,62,27,66,79,27,67,43,87,94,79,92,55,36,27,64,32,84,54,60,37
k_5,20,40,75,54,2,19,3,75,99,86,72,5,71,57,22,38,41,81,6,29,23,73,90,49,28,22,1,3,2,58,74,62,35,16,28,39,20,53,91,28,21,86,65,68,37,18,29,73,8,78,92,84,98,90,54,82,58,41,89,49,8,99,46,61,50,5,34,67,5,47,45,7,44,33,42,20,17,91,74,11,18,19,10,85,64,26,23,88,56,28,56,40,11,98,62
k_6,12,18,59,88,33,44,56,49,23,7,60,65,9,85,12,91,56,95,71,97,10,3,70,72,12,36,68,52,6,75,17,60,11,81,97,44,86,6,31,3,45,60,86,59,20,65,51,11,3,98,45,75,35,32,5,79,7,92,53,10,94,15,4,56,55,33,99,31,10,31,73,96,60,19,39,21,38,38,22,93,17,91,46,29,28,16,89,2,88,62,68,49,77,97,80
k_7,20,3,53,81,36,100,90,49,60,17,77,69,54,69,65,89,57,19,80,49,100,27,23,45,13,74,25,63,72,40,69,46,46,26,28,69,3,73,91,70,33,89,33,95,33,98,4,12,2,60,1,16,78,53,36,8,35,48,10,100,35,16,23,14,9,46,42,24,11,12,74,63,14,4,3,31,69,48,13,12,32,61,83,57,11,5,70,32,96,61,95,67,1,81,88
k_8,48,32,51,94,9,19,87,39,5,35,85,54,39,46,70,100,18,27,19,62,73,90,33,41,27,79,21,42,22,7,4,25,8,88,43,54,17,35,23,80,88,67,51,89,42,31,58,25,98,49,99,71,21,83,56,6,61,66,10,92,39,76,8,69,90,42,10,44,51,57,73,3,6,44,3,43,66,7,49,10,25,83,36,91,67,80,37,46,93,72,80,13,47,75,12
k_9,45,67,19,97,34,13,69,9,32,79,20,4,69,85,10,25,24,85,74,61,31,92,9,31,68,41,28,96,50,13,58,6,34,11,29,88,38,65,58,98,84,82,35,69,39,84,89,53,66,63,90,94,100,81,77,4,30,61,25,53,75,49,29,80,53,54,41,79,3,45,87,17,98,81,64,87,36,17,63,29,1,56,38,12,30,46,53,26,39,82,41,16,64,23,65
k_10,5,88,93,17,57,77,73,78,11,93,88,44,38,10,56,43,69,26,92,2,43,37,53,82,39,90,62,97,83,11,59,76,69,35,53,20,68,81,41,51,88,98,36,60,4,97,49,5,15,17,53,52,29,57,75,59,76,38,18,15,25,45,5,75,79,73,16,62,85,10,7,80,73,27,59,74,60,92,10,29,61,63,80,83,87,77,26,77,88,81,39,68,87,27,72
k_11,17,6,77,88,3,53,88,22,7,79,36,99,72,23,27,73,83,34,20,45,73,79,78,31,71,75,76,63,41,93,61,61,35,54,81,53,63,23,80,22,70,46,4,61,13,6,61,20,53,16,28,4,63,28,83,66,56,7,40,44,4,60,63,87,14,11,25,68,96,57,76,41,4,31,2,39,45,17,66,91,97,70,63,77,66,82,21,5,39,25,95,80,21,3,17
k_12,86,28,4,68,56,38,45,60,24,1,11,92,93,38,15,15,78,13,57,12,24,50,68,80,83,53,40,10,62,65,6,12,89,30,84,56,3,74,55,27,100,95,96,87,99,15,99,18,78,100,74,43,30,29,47,56,77,74,13,1,22,50,95,26,51,70,65,11,9,59,17,64,76,53,51,53,91,91,47,92,3,87,76,43,69,81,68,70,23,89,3,8,8,13,72
k_13,4,12,70,86,18,8,5,2,44,81,70,82,27,10,23,18,77,52,6,96,1,86,68,66,13,54,3,76,90,90,54,18,24,19,56,10,12,41,46,84,90,100,22,7,94,19,53,13,26,46,39,94,19,35,84,92,33,74,6,10,10,91,69,81,15,70,36,26,92,6,54,4,26,69,17,68,90,53,91,68,16,41,95,80,93,79,18,19,7,84,60,6,92,41,48
