commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_6,e_7,e_8,e_9
k_0,69,96,17,80,23,37,85,36,67,58,86,32,22,73,89,90,13,28,90,91,83,30,24,77,82,83,30,63,52,64,12,29,53,52,73,3,63,38,82,79,19,72,13,6,59,26,19,21,25,20,80,87,7,9,13
k_1,55,32,43,4,80,25,60,89,51,46,4,2,48,68,81,97,28,30,13,36,70,68,71,93,10,18,66,35,75,13,72,66,77,4,33,81,92,67,26,6,70,27,17,45,25,28,8,21,11,18,6,80,38,6,10
k_2,48,88,50,79,70,93,37,98,65,32,76,72,79,95,84,46,15,5,56,79,56,8,78,2,28,47,73,61,93,61,55,77,91,85,84,88,81,32,88,84,24,69,96,69,21,52,52,19,58,22,49,99,63,57,26
k_3,91,16,24,12,2,33,32,20,48,34,63,13,91,54,15,87,78,11,13,34,42,69,69,18,51,88,31,11,25,3,5,87,65,18,89,52,29,48,14,99,9,40,62,23,62,66,64,55,79,15,89,30,89,10,67
k_4,83,34,28,77,26,97,4,52,65,69,44,42,7,77,11,40,2,61,79,8,15,74,11,76,81,46,50,28,93,80,66,84,61,48,23,51,38,78,29,87,65,67,51,50,92,64,88,68,48,68,75,16,28,62,47
k_5,62,61,78,33,29,83,84,66,92,11,58,46,62,17,87,83,16,12,67,76,96,52,31,15,63,3,65,91,54,84,99,50,41,55,54,76,100,72,9,14,12,29,45,40,24,72,17,64,28,24,88,90,58,68,57
k_6,98,74,64,89,79,29,12,7,45,38,9,50,39,78,22,58,23,85,7,69,74,14,69,75,94,89,40,44,43,36,4,62,43,64,96,36,9,7,46,95,32,53,82,11,76,66,61,16,33,68,55,32,81,10,67
k_7,57,72,54,91,28,48,34,63,22,6,82,22,35,1,67,26,49,27,12,33,66,15,90,31,44,24,17,11,39,43,29,67,82,82,59,52,95,55,17,85,75,89,12,92,64,81,17,86,39,83,12,40,65,93,46
k_8,65,92,17,36,73,43,20,98,9,74,44,64,36,61,13,100,66,61,59,8,15,62,19,53,25,48,97,43,58,89,51,53,2,61,2,83,1,74,21,55,85,14,60,2,97,77,50,100,99,17,46,18,60,36,86
k_9,4,90,52,54,97,55,34,34,50,47,46,49,76,22,8,44,52,63,91,6,96,8,73,21,36,99,86,87,66,88,82,15,4,54,39,47,57,42,48,40,89,11,76,80,26,78,86,49,46,77,36,75,76,78,15
k_10,20,81,18,68,47,70,72,25,61,41,86,29,90,19,41,92,1,79,52,22,21,54,42,60,10,17,45,63,19,24,78,67,39,20,98,85,25,24,29,13,54,58,82,100,61,21,46,20,71,78,96,56,76,10,72
k_11,2,25,16,44,73,99,87,8,54,86,9,88,59,35,34,84,66,64,73,39,69,60,64,49,17,26,20,11,22,77,93,11,44,44,24,15,84,21,28,67,75,23,42,92,79,59,94,5,68,14,50,91,69,20,62
k_12,43,88,24,10,30,34,64,54,30,28,4,96,22,47,31,35,47,1,99,40,59,20,8,46,80,23,21,40,13,62,71,57,80,39,55,92,45,54,30,16,86,17,99,72,84,41,43,27,52,5,80,2,87,35,50
k_13,18,15,59,36,31,77,56,56,49,78,48,68,14,52,36,7,50,100,36,50,85,11,98,41,73,92,88,34,26,8,24,66,30,44,69,39,18,95,82,100,34,75,79,98,40,69,78,74,96,46,68,41,63,12,60
k_14,46,75,92,52,77,41,6,42,52,67,66,76,44,97,26,66,64,46,93,67,76,69,73,96,60,81,58,56,85,64,86,5,26,62,99,65,49,10,37,60,70,97,32,42,81,13,5,96,65,57,88,42,64,39,30
k_15,93,21,2,60,67,41,43,33,73,70,87,94,87,2,49,21,34,65,53,12,38,29,75,14,38,8,69,17,51,57,92,23,15,30,89,81,96,13,30,91,43,24,40,92,92,94,89,97,86,24,48,27,81,45,24
k_16,10,82,10,73,89,14,30,83,65,32,42,16,40,47,63,77,87,90,17,22,45,72,81,33,35,1,76,39,26,64,30,100,71,9,87,5,15,80,43,3,76,53,41,100,54,75,72,7,37,4,83,98,85,43,93
k_17,23,29,30,80,37,6,82,63,77,6,86,69,70,30,67,70,80,98,98,72,99,74,85,43,64,34,9,38,73,20,91,93,85,77,72,62,55,59,19,42,21,1,29,44,6,43,63,42,28,81,85,94,74,52,45
