id,origin,destination,demand,release_time,deadline
k_0,node_16,node_7,91,0,22
k_1,node_16,node_14,88,0,24
k_2,node_17,node_7,26,0,22
k_3,node_19,node_0,91,0,35
k_4,node_9,node_10,77,0,43
k_5,node_0,node_5,79,0,20
k_6,node_1,node_11,44,0,26
k_7,node_10,node_4,7,0,20
k_8,node_17,node_4,34,0,20
k_9,node_12,node_2,19,0,18
k_10,node_2,node_8,15,0,39
k_11,node_17,node_7,16,0,22
k_12,node_19,node_12,27,0,25
k_13,node_7,node_17,4,0,25
k_14,node_10,node_0,41,0,25
k_15,node_8,node_5,14,0,36
k_16,node_12,node_8,10,0,11
k_17,node_7,node_12,63,0,25
k_18,node_5,node_18,24,0,17
k_19,node_1,node_4,77,0,12
k_20,node_18,node_12,65,0,25
k_21,node_0,node_6,77,0,25
k_22,node_3,node_7,53,0,22
k_23,node_16,node_15,59,0,33
k_24,node_16,node_11,32,0,26
k_25,node_5,node_10,99,0,23
k_26,node_14,node_1,35,0,28
k_27,node_15,node_8,60,0,27
k_28,node_19,node_11,35,0,18
k_29,node_16,node_8,98,0,27
k_30,node_8,node_11,65,0,26
k_31,node_17,node_14,48,0,24
k_32,node_8,node_2,81,0,18
k_33,node_18,node_8,26,0,27
k_34,node_2,node_3,76,0,35
k_35,node_5,node_11,33,0,26
k_36,node_0,node_6,54,0,25
k_37,node_18,node_10,99,0,23
k_38,node_8,node_17,43,0,25
k_39,node_13,node_3,27,0,15
k_40,node_7,node_0,16,0,35
k_41,node_7,node_1,30,0,15
k_42,node_14,node_19,49,0,24
k_43,node_15,node_0,22,0,25
k_44,node_14,node_11,91,0,31
k_45,node_12,node_6,44,0,14
k_46,node_0,node_14,25,0,24
k_47,node_12,node_7,96,0,22
k_48,node_3,node_14,82,0,24
k_49,node_8,node_10,9,0,29
k_50,node_6,node_19,4,0,24
k_51,node_9,node_3,86,0,15
k_52,node_15,node_17,56,0,25
k_53,node_6,node_0,37,0,35
k_54,node_3,node_14,57,0,24
k_55,node_0,node_16,83,0,15
k_56,node_17,node_8,37,0,27
k_57,node_5,node_12,56,0,25
k_58,node_13,node_0,74,0,25
k_59,node_19,node_6,97,0,25
k_60,node_7,node_5,50,0,36
k_61,node_18,node_17,3,0,25
k_62,node_5,node_0,88,0,35
k_63,node_2,node_4,27,0,45
k_64,node_5,node_0,51,0,35
k_65,node_8,node_17,71,0,25
k_66,node_5,node_3,28,0,15
k_67,node_2,node_0,21,0,35
k_68,node_19,node_7,94,0,30
k_69,node_3,node_16,47,0,33
k_70,node_5,node_4,70,0,33
k_71,node_5,node_15,49,0,33
k_72,node_13,node_0,98,0,25
k_73,node_19,node_16,3,0,33
k_74,node_1,node_19,51,0,16
k_75,node_15,node_0,80,0,25
k_76,node_4,node_8,33,0,11
k_77,node_6,node_16,51,0,22
k_78,node_12,node_17,51,0,18
k_79,node_17,node_10,77,0,43
k_80,node_5,node_13,99,0,31
k_81,node_14,node_10,28,0,16
k_82,node_5,node_3,16,0,22
k_83,node_8,node_12,52,0,25
k_84,node_16,node_6,100,0,25
k_85,node_9,node_2,26,0,18
k_86,node_8,node_16,2,0,33
k_87,node_15,node_14,55,0,30
k_88,node_2,node_14,4,0,30
k_89,node_6,node_11,1,0,18
k_90,node_7,node_18,70,0,28
k_91,node_10,node_13,83,0,31
k_92,node_9,node_18,9,0,45
k_93,node_5,node_8,70,0,27
k_94,node_13,node_11,39,0,18
k_95,node_16,node_6,89,0,25
k_96,node_19,node_14,3,0,24
k_97,node_6,node_9,81,0,35
k_98,node_17,node_0,3,0,11
k_99,node_4,node_2,28,0,18
k_100,node_12,node_18,79,0,45
k_101,node_2,node_17,1,0,25
k_102,node_13,node_10,57,0,43
k_103,node_15,node_7,62,0,22
k_104,node_8,node_12,22,0,25
k_105,node_5,node_0,27,0,35
k_106,node_5,node_7,25,0,22
k_107,node_15,node_3,27,0,35
k_108,node_0,node_6,25,0,25
k_109,node_2,node_6,80,0,40
k_110,node_17,node_0,91,0,11
k_111,node_19,node_5,21,0,18
k_112,node_6,node_17,20,0,30
k_113,node_9,node_5,25,0,36
k_114,node_18,node_19,100,0,16
k_115,node_3,node_16,67,0,33
k_116,node_14,node_15,25,0,22
k_117,node_9,node_10,90,0,43
k_118,node_4,node_17,27,0,25
k_119,node_13,node_18,91,0,45
k_120,node_15,node_8,88,0,27
k_121,node_0,node_4,53,0,20
k_122,node_19,node_15,20,0,33
k_123,node_19,node_8,99,0,27
k_124,node_8,node_10,67,0,29
k_125,node_17,node_1,71,0,28
k_126,node_15,node_4,41,0,12
k_127,node_1,node_16,9,0,22
k_128,node_15,node_17,5,0,18
k_129,node_3,node_7,5,0,22
k_130,node_0,node_10,36,0,43
k_131,node_12,node_16,93,0,22
k_132,node_14,node_16,72,0,33
k_133,node_12,node_14,27,0,24
k_134,node_17,node_12,86,0,15
