commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_6,e_7,e_8,e_9
k_0,92,88,62,85,18,96,35,74,73,69,40,72,28,46,59,13,9,72,79,1,97,55,5,2,8,6,72,6,93,19,19,20,46,23,86,8,32,85,9,64,91,26,54,2,20,22,62,76,47,78
k_1,87,86,74,5,37,58,31,35,76,18,26,18,48,13,31,36,14,86,52,84,46,32,70,31,84,52,40,100,28,14,88,8,64,68,13,40,56,97,67,85,74,21,31,75,8,47,77,90,34,13
k_2,73,40,28,78,46,37,28,8,75,19,86,38,1,22,53,44,61,72,42,24,83,18,12,70,72,26,25,68,71,67,17,33,89,26,60,83,67,95,86,77,82,79,64,64,53,5,97,37,53,57
k_3,14,1,14,20,57,3,10,20,53,12,38,64,35,83,1,10,80,13,11,75,64,82,84,49,99,84,89,51,61,62,18,46,17,57,39,81,21,57,34,24,53,100,19,52,100,15,99,56,74,23
k_4,56,100,100,21,38,42,60,12,12,44,88,70,78,70,96,35,15,81,30,47,3,25,51,40,26,91,36,77,16,12,30,35,54,16,44,12,82,52,29,6,95,62,13,95,84,77,87,20,24,55
k_5,71,45,61,2,45,32,47,19,31,24,36,49,33,30,56,1,33,26,24,51,26,94,16,9,45,62,50,36,86,8,48,42,70,51,30,4,26,20,99,69,49,15,45,39,50,84,44,67,6,73
k_6,99,12,70,77,69,44,76,12,30,84,41,13,99,60,15,91,86,80,75,12,69,65,57,2,88,33,14,54,80,59,96,92,66,97,7,24,35,87,27,46,37,73,21,17,57,85,47,43,98,93
k_7,24,65,56,93,94,95,35,73,80,19,1,69,1,34,23,34,78,18,68,92,15,96,62,41,27,11,21,6,94,41,72,29,38,13,49,35,27,64,60,65,34,28,93,48,51,43,20,66,85,74
k_8,57,88,32,23,56,87,37,83,46,64,53,27,49,91,11,43,6,13,80,76,36,63,51,33,82,18,22,30,14,77,41,64,85,15,51,42,3,50,31,82,61,97,100,21,100,88,12,84,56,47
k_9,37,99,39,38,93,52,81,31,56,85,4,16,43,11,41,48,42,29,72,17,35,29,93,25,67,37,56,79,28,87,81,88,20,57,36,13,72,54,94,45,30,52,72,98,89,97,96,27,62,12
k_10,91,50,55,52,13,98,40,26,24,56,93,29,36,74,36,55,51,25,37,14,66,57,35,45,95,85,16,71,85,81,98,25,13,64,49,27,49,36,58,67,91,34,98,98,50,24,17,72,18,35
k_11,58,16,30,77,1,99,89,87,32,11,19,38,65,65,32,33,23,59,68,1,92,9,35,94,66,2,50,14,27,55,71,49,83,5,88,8,63,44,76,79,5,54,38,72,88,3,73,22,68,73
k_12,78,87,4,53,18,24,62,46,54,57,9,54,43,42,69,88,31,90,62,38,79,51,6,52,68,65,28,21,98,89,42,61,75,73,51,65,37,77,56,25,25,40,29,81,18,50,58,89,84,60
k_13,71,17,26,96,71,9,24,65,96,1,32,45,23,9,35,15,36,6,51,1,94,26,79,6,5,94,89,15,95,13,44,7,56,3,76,73,62,79,49,40,72,13,43,48,75,66,73,20,66,73
k_14,53,51,67,7,45,84,67,98,15,74,12,97,17,99,9,61,45,40,79,70,90,47,18,97,2,20,84,88,98,2,40,46,52,26,88,97,33,27,81,5,26,91,59,97,21,93,12,35,76,59
k_15,5,8,47,67,74,42,76,41,47,83,47,71,80,8,48,67,41,71,18,60,77,42,16,18,97,38,21,72,3,72,65,23,70,49,90,79,31,81,52,50,52,93,12,87,70,85,11,81,90,64
