commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_6,e_7,e_8,e_9
k_0,86,58,20,69,97,47,86,70,9,8,56,54,30,11,55,98,15,59,77,62,94,40,88,80,22,66,35,20,10,7,64,37,3,92,8,24,74,14,20,54,1,65,22,70,25,6,23,78,16,97,12,67,2,96,21
k_1,81,44,53,96,8,59,93,42,67,48,11,53,61,42,52,45,11,65,62,35,87,88,42,28,60,32,27,84,16,54,67,62,69,41,97,60,5,55,80,86,42,20,10,54,37,20,42,69,28,45,66,19,86,45,27
k_2,18,14,93,66,52,97,6,99,52,85,41,23,98,82,69,92,1,63,58,15,27,76,18,42,22,89,79,79,79,26,90,65,49,2,66,28,60,18,82,46,17,46,77,79,8,100,23,37,72,13,27,31,2,19,5
k_3,95,53,10,63,62,98,45,52,38,57,24,91,25,100,86,41,21,65,50,65,94,60,9,11,69,27,4,77,77,57,13,82,13,58,17,13,28,94,51,35,42,64,7,81,50,32,98,99,8,6,42,55,51,73,7
k_4,84,93,69,32,3,39,93,41,11,13,34,83,43,26,9,10,7,100,42,15,66,82,22,25,38,99,58,64,24,60,10,15,82,34,89,93,9,3,83,23,89,64,97,62,76,2,42,63,21,97,71,55,64,29,2
k_5,22,4,14,48,74,36,4,30,10,77,21,50,81,32,50,58,54,66,96,74,68,7,3,74,76,47,18,15,80,92,94,10,70,4,84,76,58,91,16,51,13,7,53,43,34,99,52,29,90,79,91,82,35,29,33
k_6,100,90,43,70,3,46,94,32,8,80,38,62,26,16,87,26,44,57,35,26,45,92,68,84,10,90,15,56,55,40,67,83,94,51,36,95,56,98,19,3,35,31,43,50,94,81,90,28,87,59,8,98,52,69,31
k_7,67,7,27,66,52,99,94,51,29,45,54,66,27,17,90,38,17,4,82,43,15,37,78,20,89,33,27,77,54,6,8,7,100,98,88,17,54,78,69,20,93,22,60,95,18,22,13,8,4,62,50,70,27,3,49
k_8,44,10,24,30,45,85,87,96,80,81,54,47,67,35,97,83,35,52,46,80,90,64,91,35,60,32,100,14,61,62,91,32,48,92,9,51,72,10,19,56,79,44,14,26,46,34,40,24,95,81,80,83,27,87,54
k_9,53,32,16,81,37,65,31,63,40,9,27,98,68,9,62,74,36,82,43,14,27,3,79,15,75,36,90,30,67,62,29,66,87,14,79,26,86,92,45,15,19,93,14,37,100,36,3,88,85,81,72,16,25,84,100
k_10,13,78,39,23,62,53,38,21,98,28,76,48,75,55,94,8,62,46,20,27,12,85,99,15,30,71,86,42,46,47,28,8,2,93,12,77,30,60,26,60,92,64,80,11,21,2,10,76,13,31,80,52,85,39,20
k_11,63,98,39,99,60,31,27,20,45,67,14,58,25,33,16,80,51,49,82,51,84,95,21,72,62,83,18,3,63,27,57,99,52,62,50,68,64,93,76,7,91,79,48,11,40,66,71,67,43,36,30,57,38,3,59
k_12,46,10,1,4,77,72,10,40,15,54,59,2,6,50,72,46,6,90,78,74,19,83,94,80,30,32,90,92,48,97,53,83,10,27,81,97,66,86,10,12,81,55,46,82,37,52,93,24,6,54,3,22,11,96,6
