commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_60,e_61,e_62,e_63,e_64,e_65,e_66,e_67,e_68,e_69,e_7,e_70,e_71,e_72,e_73,e_74,e_75,e_76,e_77,e_78,e_79,e_8,e_80,e_81,e_82,e_83,e_84,e_85,e_86,e_87,e_88,e_89,e_9,e_90,e_91,e_92,e_93,e_94
k_0,27,15,71,34,36,58,32,38,38,43,61,46,31,72,55,6,2,2,1,92,67,5,94,12,95,73,41,96,96,64,6,52,64,8,49,89,85,28,32,87,81,22,29,16,97,86,92,16,71,8,29,63,51,86,34,53,97,56,72,17,8,26,35,90,98,31,28,38,19,49,44,15,24,87,41,31,62,8,78,55,40,39,26,86,6,3,91,53,56,22,11,45,2,22,39
k_1,64,63,81,51,37,22,76,56,35,55,23,89,51,18,13,83,65,46,28,41,62,93,95,29,40,49,3,94,99,84,54,36,35,81,47,96,32,88,47,24,64,85,91,90,73,79,9,5,68,53,60,13,42,70,50,34,80,26,95,96,29,27,57,28,100,91,48,89,84,46,69,98,86,89,27,23,23,40,86,79,53,14,68,17,46,63,40,68,2,48,61,44,29,90,84
k_2,15,100,53,3,84,26,76,48,56,39,56,67,45,16,88,91,10,79,13,100,24,25,31,38,1,85,84,50,38,43,9,43,62,38,12,81,91,94,34,57,7,72,82,51,98,11,55,22,15,20,97,89,77,19,29,42,96,26,78,65,10,63,41,78,7,15,73,19,3,60,7,11,55,47,40,66,13,71,77,73,58,90,66,39,66,16,17,70,51,65,15,16,99,78,67
k_3,90,69,27,26,98,42,34,67,30,6,54,93,2,30,92,62,72,12,96,87,96,32,33,10,94,32,95,67,82,41,13,12,96,26,49,98,38,56,44,37,53,18,75,41,75,22,7,28,94,14,99,100,86,78,95,68,82,58,68,37,57,51,59,35,24,7,12,27,8,69,64,42,55,73,41,88,58,39,99,55,87,82,62,92,26,10,52,34,94,35,1,87,27,34,12
k_4,46,44,39,8,95,82,10,99,68,55,89,25,10,100,65,8,41,85,59,84,32,23,88,100,67,20,57,63,36,36,92,48,84,34,78,84,23,54,30,41,61,97,24,80,55,36,65,44,13,27,75,33,7,80,63,20,5,35,42,93,59,1,23,47,67,79,65,56,66,25,81,96,11,40,22,16,22,24,97,19,72,78,78,65,52,12,96,56,48,78,24,99,84,87,53
k_5,31,27,98,98,59,68,64,5,51,7,18,1,56,12,96,43,97,15,44,11,78,17,25,7,43,10,89,65,27,10,73,62,87,35,58,41,95,14,12,90,55,47,10,33,3,2,71,13,81,82,43,20,51,10,6,34,83,66,80,92,91,97,13,46,56,16,15,16,60,60,68,59,73,69,92,69,23,37,96,6,16,78,49,28,73,27,7,35,43,77,86,64,28,58,80
k_6,20,66,38,92,74,91,58,63,3,40,34,86,11,30,7,66,58,10,47,10,26,58,30,8,44,65,49,38,71,23,46,93,100,24,54,19,61,100,17,44,5,81,92,16,9,54,2,20,31,56,66,81,54,33,51,24,71,20,100,55,33,98,34,76,59,40,20,24,13,95,81,45,83,8,57,4,95,59,86,73,12,75,30,21,90,21,56,63,15,27,17,33,8,44,22
k_7,95,72,70,18,39,59,86,78,97,95,72,30,67,54,70,24,95,68,4,63,88,25,99,35,41,36,9,30,82,23,79,84,35,50,70,67,83,92,86,23,79,69,57,69,16,23,79,45,20,77,51,47,25,51,79,75,55,77,78,63,31,82,73,37,81,36,62,13,61,68,13,32,3,72,61,16,8,88,51,85,19,9,35,86,12,91,19,24,4,72,92,32,87,52,15
k_8,81,71,97,41,59,64,3,6,100,74,93,15,80,45,49,12,49,13,69,20,72,15,75,83,3,10,81,81,53,23,42,29,30,68,46,98,39,81,31,26,76,26,83,51,60,39,8,74,41,79,88,37,57,72,23,66,81,23,20,17,35,23,15,12,93,16,57,38,1,28,54,48,8,40,39,27,78,35,44,28,100,16,84,67,6,67,8,75,83,28,90,46,28,65,39
k_9,27,33,80,15,30,67,11,21,46,66,59,62,98,85,7,71,51,14,49,66,25,40,76,4,46,55,7,65,6,44,75,73,93,65,87,1,31,95,89,29,22,85,97,81,14,26,100,43,62,49,19,41,76,76,80,26,5,62,33,75,29,63,95,34,26,35,85,67,50,94,15,46,19,85,24,87,24,59,94,7,86,65,74,78,64,53,59,89,87,64,22,19,5,19,78
k_10,94,11,69,39,74,57,88,64,67,46,56,2,69,83,69,9,57,10,1,35,92,49,22,73,63,82,4,72,60,96,52,65,6,78,15,53,76,31,5,64,70,2,13,87,54,14,14,96,89,44,62,27,50,63,85,32,68,55,74,68,45,1,3,1,69,69,44,28,19,78,83,30,45,79,72,25,32,13,58,4,20,75,8,33,100,23,12,16,10,35,9,45,22,12,4
k_11,37,68,29,46,64,42,18,15,61,20,41,49,9,20,68,91,33,82,98,72,63,60,60,9,51,25,64,3,34,96,81,81,77,21,28,100,24,38,81,77,32,58,98,69,9,47,69,89,28,92,53,80,9,35,38,91,54,98,95,64,97,33,94,69,83,3,95,93,77,56,3,92,18,11,69,26,100,66,3,91,26,11,79,86,98,40,71,46,17,13,80,1,86,56,86
k_12,38,47,50,94,81,71,78,33,98,7,35,56,90,14,94,31,98,21,43,51,65,11,79,93,30,42,4,18,9,45,5,75,34,50,44,1,26,5,84,34,96,67,43,35,88,33,89,72,41,91,87,97,91,96,16,19,81,32,24,43,8,58,49,66,50,77,97,62,21,79,84,48,90,6,30,16,43,19,36,30,1,6,88,55,99,22,49,12,69,80,69,27,60,86,84
